ep,cp,window,ret_pct,sharpe,max_dd_pct,trades,win_rate,pass
22,13,2,-39.2624,-1.4885,41.92,79,0.0000,0
22,14,0,-57.6787,-2.0897,58.05,100,0.0000,0
22,14,1,-74.4669,-2.4768,74.49,111,0.0000,0
22,14,2,-41.6680,-1.5657,43.59,80,0.0000,0
22,15,0,-58.6122,-2.1012,59.03,104,0.0000,0
22,15,1,-72.8157,-2.4280,72.86,112,0.0000,0
22,15,2,-38.8840,-1.5076,42.16,82,0.0000,0
22,16,0,-59.9545,-2.1770,60.37,105,0.0000,0
22,16,1,-71.5392,-2.3610,71.65,111,0.0000,0
22,16,2,-40.3107,-1.5607,41.39,83,0.0000,0
22,17,0,-57.3469,-2.1107,57.62,105,0.0000,0
22,17,1,-69.4448,-2.3605,69.62,109,0.0000,0
22,17,2,-39.0901,-1.5453,40.19,83,0.0000,0
22,18,0,-56.6807,-2.1308,57.01,103,0.0000,0
22,18,1,-66.8762,-2.2686,68.35,111,0.0000,0
22,18,2,-37.9536,-1.4852,39.34,85,0.0000,0
22,19,0,-57.0782,-2.1190,57.40,104,0.0000,0
22,19,1,-67.2299,-2.2724,68.52,113,0.0000,0
22,19,2,-34.4604,-1.3122,37.84,85,0.0000,0
22,20,0,-54.8462,-2.0494,55.30,104,0.0000,0
22,20,1,-67.5966,-2.2749,68.79,112,0.0000,0
22,20,2,-38.0706,-1.4283,39.39,83,0.0000,0
23,5,0,-58.6034,-1.8230,59.33,84,0.0000,0
23,5,1,-73.9520,-2.2376,74.35,88,0.0000,0
23,5,2,-31.8460,-1.1973,36.26,69,0.0000,0
23,6,0,-63.5477,-2.0240,64.01,89,0.0000,0
23,6,1,-74.5129,-2.2944,74.62,92,0.0000,0
23,6,2,-38.5543,-1.4918,40.51,69,0.0000,0
23,7,0,-60.9280,-2.0469,61.49,89,0.0000,0
23,7,1,-74.6894,-2.3683,74.69,93,0.0000,0
23,7,2,-37.8431,-1.5200,38.90,69,0.0000,0
23,8,0,-59.7285,-2.0840,60.14,92,0.0000,0
23,8,1,-73.9745,-2.3630,73.97,94,0.0000,0
23,8,2,-38.9450,-1.5357,40.89,72,0.0000,0
23,9,0,-57.0647,-2.0416,57.53,92,0.0000,0
23,9,1,-73.0651,-2.3847,73.07,96,0.0000,0
23,9,2,-39.0658,-1.3745,42.04,72,0.0000,0
23,10,0,-58.9410,-2.1950,59.38,93,0.0000,0
23,10,1,-74.5882,-2.4499,74.59,101,0.0000,0
23,10,2,-36.1478,-1.2468,40.90,72,0.0000,0
23,11,0,-57.4701,-2.1422,57.91,94,0.0000,0
23,11,1,-74.7309,-2.5012,74.73,105,0.0000,0
23,11,2,-38.5542,-1.4810,40.30,73,0.0000,0
23,12,0,-55.3335,-2.0445,55.73,93,0.0000,0
23,12,1,-75.7847,-2.4806,75.79,107,0.0000,0
23,12,2,-37.2151,-1.4605,39.84,75,0.0000,0
23,13,0,-58.1264,-2.1564,58.48,97,0.0000,0
23,13,1,-74.0867,-2.4547,74.10,109,0.0000,0
23,13,2,-37.1424,-1.4249,40.02,73,0.0000,0
23,14,0,-59.2017,-2.1549,59.56,98,0.0000,0
23,14,1,-74.4860,-2.4726,74.51,110,0.0000,0
23,14,2,-41.4330,-1.5496,43.35,75,0.0000,0
23,15,0,-60.0945,-2.1689,60.50,102,0.0000,0
23,15,1,-72.8238,-2.4222,72.87,111,0.0000,0
23,15,2,-38.7058,-1.5003,41.98,78,0.0000,0
23,16,0,-60.2791,-2.1990,60.69,103,0.0000,0
23,16,1,-71.5681,-2.3556,71.69,110,0.0000,0
23,16,2,-41.0574,-1.5999,42.10,79,0.0000,0
23,17,0,-58.0529,-2.1510,58.33,102,0.0000,0
23,17,1,-69.4320,-2.3514,69.62,108,0.0000,0
23,17,2,-38.2958,-1.5142,39.39,79,0.0000,0
23,18,0,-57.0515,-2.1522,57.38,100,0.0000,0
23,18,1,-66.8620,-2.2551,68.03,110,0.0000,0
23,18,2,-37.0483,-1.4505,39.03,81,0.0000,0
23,19,0,-57.8938,-2.1594,58.22,101,0.0000,0
23,19,1,-67.1051,-2.2523,68.18,112,0.0000,0
23,19,2,-34.7653,-1.3270,37.57,81,0.0000,0
23,20,0,-55.8376,-2.0975,56.29,102,0.0000,0
23,20,1,-67.4980,-2.2566,68.50,111,0.0000,0
23,20,2,-38.6502,-1.4609,39.94,79,0.0000,0
24,5,0,-58.4800,-1.8215,59.21,84,0.0000,0
24,5,1,-74.0558,-2.2436,74.45,86,0.0000,0
24,5,2,-30.1336,-1.1449,34.91,67,0.0000,0
24,6,0,-60.3042,-1.9553,60.93,88,0.0000,0
24,6,1,-74.5697,-2.2982,74.68,90,0.0000,0
