day,ad_equity,small_equity,ddbudget_equity,turtle_equity
389,0.982509,1.460957,1.880216,8.074320
390,0.975510,1.449306,1.889561,8.074320
391,0.968561,1.437748,1.898952,8.074320
392,0.961662,1.423255,1.908390,8.074320
393,0.954811,1.408908,1.901354,8.074320
394,0.948010,1.394705,1.895605,8.074320
395,0.941256,1.380645,1.889873,8.074320
396,0.934551,1.366728,1.884159,8.074320
397,0.927894,1.357695,1.878462,12.711347
398,0.921284,1.348722,1.873434,12.711347
399,0.921284,1.351542,1.867530,12.711347
400,0.920128,1.355418,1.865487,12.711347
401,0.918974,1.359306,1.863201,12.711347
402,0.917822,1.363204,1.860918,12.711347
403,0.916670,1.367114,1.858637,12.711347
404,0.915521,1.366283,1.856359,12.711347
405,0.914372,1.365453,1.853439,12.711347
406,0.913225,1.364623,1.850524,12.711347
407,0.912080,1.363794,1.847613,12.711347
408,0.910936,1.362966,1.845080,12.711347
409,0.909793,1.362137,1.841222,12.711347
410,0.908652,1.361310,1.837372,12.711347
411,0.907513,1.360483,1.833529,12.711347
412,0.906374,1.359656,1.827448,12.711347
413,0.905238,1.362581,1.821388,12.711347
414,0.904102,1.365513,1.819734,13.019994
415,0.902968,1.368451,1.818599,13.019994
416,0.901836,1.371395,1.817454,13.019994
417,0.900704,1.374345,1.815416,13.019994
418,0.899575,1.377302,1.813381,13.019994
419,0.898446,1.380265,1.811348,15.637421
420,0.897319,1.383235,1.809318,15.637421
421,0.897319,1.385070,1.808646,15.637421
422,0.903357,1.387013,1.808204,15.637421
423,0.909435,1.387068,1.809803,15.637421
424,0.915554,1.387123,1.811157,15.637421
425,0.921714,1.387178,1.812512,15.637421
426,0.927916,1.387233,1.813868,15.637421
427,0.934159,1.396318,1.814412,15.676226
428,0.940445,1.405462,1.816136,15.676226
429,0.946773,1.414666,1.817863,15.676226
430,0.953143,1.423931,1.819228,15.676226
431,0.959556,1.433256,1.821558,15.676226
432,0.966012,1.442642,1.826674,15.676226
433,0.972512,1.446245,1.831568,15.676226
434,0.979055,1.450774,1.834001,15.676226
435,0.985643,1.455318,1.836826,15.676226
436,0.992275,1.459876,1.839655,15.676226
437,0.998951,1.464448,1.842488,15.676226
438,1.005672,1.469035,1.845053,15.676226
439,1.012439,1.473635,1.848651,15.676226
440,1.019251,1.478251,1.852256,15.676226
441,1.026109,1.482880,1.855867,15.676226
442,1.033013,1.487525,1.857820,16.365477
443,1.033013,1.492184,1.861345,16.365477
444,1.040533,1.498168,1.863625,16.365477
445,1.048107,1.505494,1.870975,16.365477
446,1.055736,1.512856,1.878903,16.365477
447,1.063421,1.520253,1.886864,16.365477
448,1.071162,1.516473,1.894859,16.365477
449,1.078960,1.516299,1.898228,16.365477
450,1.086814,1.516125,1.903105,16.365477
451,1.094725,1.515950,1.907994,16.365477
452,1.102694,1.515776,1.911602,16.365477
453,1.110721,1.515602,1.917563,16.365477
454,1.118806,1.515428,1.923543,16.365477
455,1.126950,1.514566,1.931406,16.365477
456,1.135154,1.513703,1.939009,16.365477
457,1.143417,1.512842,1.946641,16.365477
458,1.151740,1.509809,1.954304,16.365477
459,1.160124,1.506782,1.961061,16.365477
460,1.168569,1.499824,1.975619,16.365477
461,1.177075,1.492898,1.988565,17.653548
462,1.185643,1.486004,2.001595,17.653548
463,1.194274,1.479141,2.014711,17.653548
464,1.202968,1.472311,2.026141,15.605937
465,1.202968,1.465512,2.037636,15.605937
466,1.202057,1.458744,2.044252,15.605937
467,1.201147,1.455366,2.050374,15.605937
468,1.200238,1.451995,2.058088,15.605937
469,1.199330,1.448632,2.065830,15.605937
470,1.198422,1.439328,2.073602,15.605937
471,1.197515,1.430085,2.078565,15.605937
472,1.196609,1.420901,2.083539,15.605937
473,1.195703,1.411776,2.091648,15.605937
474,1.194798,1.402709,2.095840,15.605937
475,1.193893,1.393701,2.100264,15.605937
476,1.192990,1.384751,2.098635,15.605937
477,1.192087,1.377610,2.096529,15.605937
478,1.191185,1.370506,2.094691,15.605937
479,1.190283,1.362117,2.093408,15.605937
480,1.189382,1.357377,2.091924,15.605937
481,1.188482,1.352653,2.088716,13.925855
482,1.187582,1.347946,2.085513,13.925855
483,1.186683,1.343255,2.082315,13.925855
484,1.185785,1.333886,2.079122,13.925855
485,1.184888,1.324583,2.075208,13.925855
486,1.183991,1.315344,2.071301,13.925855
487,1.183991,1.306170,2.067401,13.925855
488,1.177437,1.297060,2.064030,13.925855
489,1.170919,1.288013,2.056856,13.925855
490,1.164437,1.279030,2.049707,13.925855
491,1.157992,1.270109,2.042583,13.925855
492,1.151582,1.261251,2.034534,13.925855
493,1.145207,1.252454,2.026516,13.925855
494,1.138868,1.243718,2.018530,13.925855
495,1.132563,1.235044,2.010576,13.925855
496,1.126294,1.226430,2.002946,13.925855
497,1.120059,1.217876,1.997965,13.925855
498,1.113859,1.206593,1.993954,13.925855
499,1.107693,1.195415,1.989312,13.925855
500,1.101562,1.184340,1.984681,13.925855
501,1.095464,1.173646,1.980061,13.925855
502,1.089400,1.163049,1.978183,13.925855
503,1.083369,1.170211,1.973175,13.925855
504,1.077372,1.177417,1.973175,17.911815
505,1.071408,1.196466,1.975723,17.911815
506,1.065478,1.215822,1.981574,17.911815
507,1.059580,1.235492,1.987442,17.911815
508,1.053714,1.255480,1.993327,17.911815
509,1.053714,1.275791,1.999230,17.911815
510,1.043572,1.278011,2.004101,17.911815
511,1.033526,1.286430,2.004161,17.911815
512,1.023578,1.294906,2.005193,17.911815
513,1.013725,1.303437,2.006225,17.911815
514,1.003967,1.312024,2.007258,17.911815
515,0.994304,1.320668,2.008292,17.911815
516,0.984733,1.329368,2.009325,17.911815
517,0.975254,1.338126,2.010360,17.911815
518,0.965866,1.346942,2.005996,17.911815
519,0.956569,1.355816,2.001643,17.911815
520,0.947362,1.360548,1.994924,17.911815
521,0.938243,1.365296,1.987610,17.911815
522,0.929211,1.370061,1.980323,17.911815
523,0.920267,1.374843,1.973063,17.911815
524,0.911409,1.370129,1.967249,17.911815
525,0.902636,1.365430,1.958703,17.911815
