vl,universe,window,bar_idx,equity
8,Legacy4,4,45,0.931696
8,Legacy4,4,50,0.931696
8,Legacy4,4,55,0.931696
8,Legacy4,4,60,0.931696
8,Legacy4,4,65,0.924614
8,Legacy4,4,70,0.924614
8,Legacy4,4,75,0.924614
8,Legacy4,4,80,0.924614
8,Legacy4,4,85,0.924614
8,Legacy4,4,90,0.924614
8,Legacy4,4,95,0.882156
8,Legacy4,4,100,0.882156
8,Legacy4,4,105,0.882156
8,Legacy4,4,110,0.882156
8,Legacy4,4,115,0.882156
8,Legacy4,4,120,0.882156
8,Legacy4,4,125,0.882156
8,Legacy4,4,126,1.043408
8,Legacy4,5,0,1.000000
8,Legacy4,5,5,1.000000
8,Legacy4,5,10,1.000000
8,Legacy4,5,15,1.000000
8,Legacy4,5,20,1.000000
8,Legacy4,5,25,0.918501
8,Legacy4,5,30,0.910782
8,Legacy4,5,35,0.910782
8,Legacy4,5,40,0.910782
8,Legacy4,5,45,0.833277
8,Legacy4,5,50,0.833277
8,Legacy4,5,55,1.044894
8,Legacy4,5,60,1.044894
8,Legacy4,5,65,1.044894
8,Legacy4,5,70,1.044894
8,Legacy4,5,75,1.044894
8,Legacy4,5,80,0.893823
8,Legacy4,5,85,0.893823
8,Legacy4,5,90,0.893823
8,Legacy4,5,95,0.893823
8,Legacy4,5,100,0.835990
8,Legacy4,5,105,0.835990
8,Legacy4,5,110,0.793136
8,Legacy4,5,115,0.793136
8,Legacy4,5,120,0.793136
8,Legacy4,5,125,0.793136
8,Legacy4,5,130,0.793136
8,Legacy4,5,132,0.773803
8,Legacy5BNB,0,0,1.000000
8,Legacy5BNB,0,5,1.000000
8,Legacy5BNB,0,10,1.000000
8,Legacy5BNB,0,15,0.997686
8,Legacy5BNB,0,20,0.997686
8,Legacy5BNB,0,25,0.997686
8,Legacy5BNB,0,30,1.110870
8,Legacy5BNB,0,35,0.995873
8,Legacy5BNB,0,40,0.889213
8,Legacy5BNB,0,45,1.133193
8,Legacy5BNB,0,50,1.049131
8,Legacy5BNB,0,55,1.330832
8,Legacy5BNB,0,60,2.002500
8,Legacy5BNB,0,65,2.467735
8,Legacy5BNB,0,70,2.467735
8,Legacy5BNB,0,73,3.467064
8,Legacy5BNB,1,0,1.000000
8,Legacy5BNB,1,5,1.000000
8,Legacy5BNB,1,10,1.000000
8,Legacy5BNB,1,15,1.000000
8,Legacy5BNB,1,20,1.000000
8,Legacy5BNB,1,25,1.000000
8,Legacy5BNB,1,30,1.000000
8,Legacy5BNB,1,35,0.994667
8,Legacy5BNB,1,40,0.862424
8,Legacy5BNB,1,45,0.862424
8,Legacy5BNB,1,50,0.862424
8,Legacy5BNB,1,55,0.862424
8,Legacy5BNB,1,60,0.862424
8,Legacy5BNB,1,65,0.754974
8,Legacy5BNB,1,70,0.691765
8,Legacy5BNB,1,75,0.727445
8,Legacy5BNB,1,80,0.602002
8,Legacy5BNB,1,85,0.602002
8,Legacy5BNB,1,90,0.602002
8,Legacy5BNB,1,95,0.602002
8,Legacy5BNB,1,100,0.602002
8,Legacy5BNB,1,105,0.602002
8,Legacy5BNB,1,110,0.602002
8,Legacy5BNB,1,115,0.772869
8,Legacy5BNB,1,120,0.742385
8,Legacy5BNB,1,125,0.647279
8,Legacy5BNB,2,0,1.000000
8,Legacy5BNB,2,5,1.000000
8,Legacy5BNB,2,10,1.000000
