mult,universe,pases,avg_sharpe,return_pct,dd_pct,trades
2.00,Legacy4,5,4.1618,1061.29,61.81,120
2.00,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.00,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.00,LargeCaps5,3,4.9219,1276.84,64.45,92
2.00,Legacy3,5,3.2603,1033.47,61.81,123
2.00,LowVolume5,6,18.3043,2032.57,70.43,110
2.00,OldGuard4,4,-5.7770,134.53,61.81,110
2.05,Base5,6,22.9786,820.89,56.33,92
2.05,NoDOGE,3,4.9219,1276.84,64.45,92
2.05,Legacy4,5,4.1618,1061.29,61.81,120
2.05,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.05,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.05,LargeCaps5,3,4.9219,1276.84,64.45,92
2.05,Legacy3,5,3.2603,1033.47,61.81,123
2.05,LowVolume5,6,18.3043,2032.57,70.43,110
2.05,OldGuard4,4,-5.7770,134.53,61.81,110
2.10,Base5,6,22.9786,820.89,56.33,92
2.10,NoDOGE,3,4.9219,1276.84,64.45,92
2.10,Legacy4,5,4.1618,1061.29,61.81,120
2.10,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.10,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.10,LargeCaps5,3,4.9219,1276.84,64.45,92
2.10,Legacy3,5,3.2603,1033.47,61.81,123
2.10,LowVolume5,6,18.3043,2032.57,70.43,110
2.10,OldGuard4,4,-5.7770,134.53,61.81,110
2.15,Base5,6,22.9786,820.89,56.33,92
2.15,NoDOGE,3,4.9219,1276.84,64.45,92
2.15,Legacy4,5,4.1618,1061.29,61.81,120
2.15,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.15,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.15,LargeCaps5,3,4.9219,1276.84,64.45,92
2.15,Legacy3,5,3.2603,1033.47,61.81,123
2.15,LowVolume5,6,18.3043,2032.57,70.43,110
2.15,OldGuard4,4,-5.7770,134.53,61.81,110
2.20,Base5,6,22.9786,820.89,56.33,92
2.20,NoDOGE,3,4.9219,1276.84,64.45,92
2.20,Legacy4,5,4.1618,1061.29,61.81,120
2.20,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.20,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.20,LargeCaps5,3,4.9219,1276.84,64.45,92
2.20,Legacy3,5,3.2603,1033.47,61.81,123
2.20,LowVolume5,6,18.3043,2032.57,70.43,110
2.20,OldGuard4,4,-5.7770,134.53,61.81,110
