vl,universe,window,bar_idx,equity
1,Legacy5BNB,5,135,0.810643
1,OldGuardNoBNB,0,0,1.000000
1,OldGuardNoBNB,0,5,1.394578
1,OldGuardNoBNB,0,10,1.394578
1,OldGuardNoBNB,0,15,1.394578
1,OldGuardNoBNB,0,20,1.394578
1,OldGuardNoBNB,0,25,1.394578
1,OldGuardNoBNB,0,30,1.681876
1,OldGuardNoBNB,0,35,1.501744
1,OldGuardNoBNB,0,40,1.449465
1,OldGuardNoBNB,0,45,1.252636
1,OldGuardNoBNB,0,50,2.537126
1,OldGuardNoBNB,0,55,3.312228
1,OldGuardNoBNB,0,60,3.734111
1,OldGuardNoBNB,1,0,1.000000
1,OldGuardNoBNB,1,5,0.889053
1,OldGuardNoBNB,1,10,0.889053
1,OldGuardNoBNB,1,15,0.649536
1,OldGuardNoBNB,1,20,0.575865
1,OldGuardNoBNB,1,25,0.575865
1,OldGuardNoBNB,1,30,0.575865
1,OldGuardNoBNB,1,35,0.575865
1,OldGuardNoBNB,1,40,0.575865
1,OldGuardNoBNB,1,45,0.504118
1,OldGuardNoBNB,1,50,0.458662
1,OldGuardNoBNB,1,55,0.458662
1,OldGuardNoBNB,1,60,0.560558
1,OldGuardNoBNB,1,65,0.560558
1,OldGuardNoBNB,1,70,0.560558
1,OldGuardNoBNB,1,75,0.560558
1,OldGuardNoBNB,1,80,0.560558
1,OldGuardNoBNB,1,85,0.560558
1,OldGuardNoBNB,1,90,0.560558
1,OldGuardNoBNB,1,95,0.463270
1,OldGuardNoBNB,1,100,0.458037
1,OldGuardNoBNB,1,105,0.458037
1,OldGuardNoBNB,1,108,0.458037
1,OldGuardNoBNB,2,0,1.000000
1,OldGuardNoBNB,2,5,1.000000
1,OldGuardNoBNB,2,10,1.000000
1,OldGuardNoBNB,2,15,1.000000
1,OldGuardNoBNB,2,20,1.000000
1,OldGuardNoBNB,2,25,0.972612
1,OldGuardNoBNB,2,30,1.066983
1,OldGuardNoBNB,2,35,1.066983
1,OldGuardNoBNB,2,40,1.066983
1,OldGuardNoBNB,2,45,0.932823
1,OldGuardNoBNB,2,50,0.932823
1,OldGuardNoBNB,2,55,0.932823
1,OldGuardNoBNB,2,60,0.932823
1,OldGuardNoBNB,2,65,0.836029
1,OldGuardNoBNB,2,70,0.780949
1,OldGuardNoBNB,2,75,0.622627
1,OldGuardNoBNB,2,80,0.622627
1,OldGuardNoBNB,2,85,0.473898
1,OldGuardNoBNB,2,90,0.541208
1,OldGuardNoBNB,2,95,0.535633
1,OldGuardNoBNB,2,96,0.561708
1,OldGuardNoBNB,3,0,1.000000
1,OldGuardNoBNB,3,5,0.992395
1,OldGuardNoBNB,3,10,2.295434
1,OldGuardNoBNB,3,15,2.295434
1,OldGuardNoBNB,3,20,2.715445
1,OldGuardNoBNB,3,25,2.715445
1,OldGuardNoBNB,3,30,2.453456
1,OldGuardNoBNB,3,35,3.026525
1,OldGuardNoBNB,3,40,3.606052
1,OldGuardNoBNB,3,45,3.606052
1,OldGuardNoBNB,3,50,3.606052
1,OldGuardNoBNB,3,55,3.606052
1,OldGuardNoBNB,3,60,3.162173
1,OldGuardNoBNB,3,65,3.162173
1,OldGuardNoBNB,3,70,3.162173
1,OldGuardNoBNB,3,75,3.162173
1,OldGuardNoBNB,3,80,3.162173
1,OldGuardNoBNB,3,85,3.162173
1,OldGuardNoBNB,3,88,2.960314
1,OldGuardNoBNB,4,0,1.000000
1,OldGuardNoBNB,4,5,1.064632
1,OldGuardNoBNB,4,10,0.868868
1,OldGuardNoBNB,4,15,0.868868
1,OldGuardNoBNB,4,20,0.742745
1,OldGuardNoBNB,4,25,0.759908
1,OldGuardNoBNB,4,30,0.760376
1,OldGuardNoBNB,4,35,0.760376
1,OldGuardNoBNB,4,40,0.760376
