bar,pct_0,pct_10,pct_16,pct_17,pct_20,pct_25,pct_30,pct_40,pct_49,pct_50,pct_60,pct_70,pct_75,pct_80,pct_90,pct_100
56,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
57,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
58,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
59,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
60,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
61,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
62,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
63,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
64,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
65,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
66,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
67,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
68,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
69,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
70,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
71,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
72,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
73,3.052363,3.052363,3.052363,3.571995,3.781636,3.781636,4.213197,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058
74,3.052363,3.052363,3.052363,3.571995,3.781636,3.781636,4.213197,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058
75,3.052363,3.052363,3.052363,3.571995,3.781636,3.781636,4.213197,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058
76,3.052363,3.052363,3.052363,3.571995,3.781636,3.781636,4.213197,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058
77,3.052363,3.052363,3.052363,3.571995,3.781636,3.781636,4.213197,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058,4.469058
