symbol,entry_bar,exit_bar,entry_date,exit_date,bars_held,entry_price,exit_price,size,pct_ret,equity_mult,exit_reason,hedge_active
BTCUSDT,1583,1591,2024-12-11 00:00:00,2024-12-19 00:00:00,8,101125.00000000,97461.86000000,0.133333,-0.0369945939,0.9950673875,TURTLE_ATR,true
XRPUSDT,1614,1618,2025-01-11 00:00:00,2025-01-15 00:00:00,4,2.57640000,3.14290000,0.133333,0.2189049392,1.0291873252,TURTLE_ATR,true
SOLUSDT,1620,1621,2025-01-17 00:00:00,2025-01-18 00:00:00,1,219.51000000,261.97000000,0.133333,0.1924764603,1.0256635280,TURTLE_ATR,true
XRPUSDT,1619,1622,2025-01-16 00:00:00,2025-01-19 00:00:00,3,3.24510000,2.95870000,0.133333,-0.0889852435,0.9881353009,TURTLE_ATR,true
BTCUSDT,1620,1623,2025-01-17 00:00:00,2025-01-20 00:00:00,3,104077.48000000,102260.01000000,0.133333,-0.0182483790,0.9975668828,TURTLE_ATR,true
BTCUSDT,1624,1630,2025-01-21 00:00:00,2025-01-27 00:00:00,6,106143.82000000,102082.83000000,0.133333,-0.0390284014,0.9947962131,TURTLE_ATR,true
XRPUSDT,1664,1665,2025-03-02 00:00:00,2025-03-03 00:00:00,1,2.93960000,2.38730000,0.133333,-0.1885321392,0.9748623814,TURTLE_ATR,true
ADAUSDT,1664,1665,2025-03-02 00:00:00,2025-03-03 00:00:00,1,1.13500000,0.85780000,0.133333,-0.2448334499,0.9673555400,TURTLE_ATR,true
SOLUSDT,1710,1722,2025-04-17 00:00:00,2025-04-29 00:00:00,12,134.83000000,146.31000000,0.133333,0.0842764874,1.0112368650,HOLD_MAX,true
DOGEUSDT,1715,1723,2025-04-22 00:00:00,2025-04-30 00:00:00,8,0.17863000,0.17224000,0.133333,-0.0365433405,0.9951275546,TURTLE_ATR,true
BTCUSDT,1714,1726,2025-04-21 00:00:00,2025-05-03 00:00:00,12,87516.23000000,95856.42000000,0.133333,0.0944228919,1.0125897189,HOLD_MAX,true
BTCUSDT,1730,1731,2025-05-07 00:00:00,2025-05-08 00:00:00,1,97030.50000000,103261.60000000,0.133333,0.0633669181,1.0084489224,TURTLE_ATR,true
ETHUSDT,1731,1732,2025-05-08 00:00:00,2025-05-09 00:00:00,1,2207.39000000,2345.04000000,0.133333,0.0615091661,1.0082012221,TURTLE_ATR,true
XRPUSDT,1731,1735,2025-05-08 00:00:00,2025-05-12 00:00:00,4,2.32720000,2.54390000,0.133333,0.0922420478,1.0122989397,TURTLE_ATR,true
SOLUSDT,1731,1736,2025-05-08 00:00:00,2025-05-13 00:00:00,5,164.46000000,183.75000000,0.133333,0.1163994818,1.0155199309,TURTLE_ATR,true
XRPUSDT,1736,1738,2025-05-13 00:00:00,2025-05-15 00:00:00,2,2.58290000,2.38560000,0.133333,-0.0771256018,0.9897165864,TURTLE_ATR,true
ETHUSDT,1736,1740,2025-05-13 00:00:00,2025-05-17 00:00:00,4,2679.71000000,2475.08000000,0.133333,-0.0771013551,0.9897198193,TURTLE_ATR,true
BTCUSDT,1741,1752,2025-05-18 00:00:00,2025-05-29 00:00:00,11,106454.26000000,105589.75000000,0.333333,-0.0089141386,0.9970286205,TURTLE_ATR,false
ETHUSDT,1764,1767,2025-06-10 00:00:00,2025-06-13 00:00:00,3,2816.40000000,2579.19000000,0.133333,-0.0849568694,0.9886724174,TURTLE_ATR,true
BTCUSDT,1786,1794,2025-07-02 00:00:00,2025-07-10 00:00:00,8,108849.60000000,116010.00000000,0.333333,0.0649302258,1.0216434086,TURTLE_ATR,false
BTCUSDT,1798,1799,2025-07-14 00:00:00,2025-07-15 00:00:00,1,119841.18000000,117758.09000000,0.333333,-0.0181678685,0.9939440438,TURTLE_ATR,false
ETHUSDT,1799,1800,2025-07-15 00:00:00,2025-07-16 00:00:00,1,3137.89000000,3371.35000000,0.333333,0.0735411370,1.0245137123,TURTLE_ATR,false
XRPUSDT,1798,1801,2025-07-14 00:00:00,2025-07-17 00:00:00,3,2.95820000,3.48140000,0.333333,0.1759231944,1.0586410648,TURTLE_ATR,false
ADAUSDT,1799,1801,2025-07-15 00:00:00,2025-07-17 00:00:00,2,0.74660000,0.82160000,0.333333,0.0995753855,1.0331917952,TURTLE_ATR,false
DOGEUSDT,1800,1802,2025-07-16 00:00:00,2025-07-18 00:00:00,2,0.21270000,0.23580000,0.333333,0.1077171388,1.0359057129,TURTLE_ATR,false
DOGEUSDT,1803,1804,2025-07-19 00:00:00,2025-07-20 00:00:00,1,0.24143000,0.27375000,0.333333,0.1329622978,1.0443207659,TURTLE_ATR,false
SOLUSDT,1802,1805,2025-07-18 00:00:00,2025-07-21 00:00:00,3,177.28000000,195.72000000,0.333333,0.1031333856,1.0343777952,TURTLE_ATR,false
SOLUSDT,1806,1807,2025-07-22 00:00:00,2025-07-23 00:00:00,1,205.70000000,189.40000000,0.333333,-0.0799779262,0.9733406913,TURTLE_ATR,false
ADAUSDT,1803,1807,2025-07-19 00:00:00,2025-07-23 00:00:00,4,0.82980000,0.81600000,0.333333,-0.0174168944,0.9941943685,TURTLE_ATR,false
BTCUSDT,1806,1816,2025-07-22 00:00:00,2025-08-01 00:00:00,10,119954.42000000,113297.93000000,0.333333,-0.0562471321,0.9812509560,TURTLE_ATR,false
ETHUSDT,1811,1816,2025-07-27 00:00:00,2025-08-01 00:00:00,5,3872.10000000,3488.20000000,0.333333,-0.0998655624,0.9667114792,TURTLE_ATR,false
ETHUSDT,1822,1827,2025-08-07 00:00:00,2025-08-12 00:00:00,5,3910.31000000,4590.52000000,0.333333,0.1730141734,1.0576713911,TURTLE_ATR,false
BTCUSDT,1827,1829,2025-08-12 00:00:00,2025-08-14 00:00:00,2,120134.08000000,118295.09000000,0.333333,-0.0160952515,0.9946349162,TURTLE_ATR,false
SOLUSDT,1827,1829,2025-08-12 00:00:00,2025-08-14 00:00:00,2,191.78000000,192.47000000,0.333333,0.0027953153,1.0009317718,TURTLE_ATR,false
ADAUSDT,1827,1829,2025-08-12 00:00:00,2025-08-14 00:00:00,2,0.84110000,0.92580000,0.333333,0.0998212533,1.0332737511,TURTLE_ATR,false
ADAUSDT,1830,1834,2025-08-15 00:00:00,2025-08-19 00:00:00,4,0.94530000,0.84640000,0.133333,-0.1053388863,0.9859548152,TURTLE_ATR,true
