slip_bps,bar,equity_mean,equity_min,equity_max
50,144,0.998138,0.757734,1.227295
50,145,0.998138,0.757734,1.227295
50,146,1.063626,0.757734,1.227295
50,147,1.063626,0.757734,1.227295
50,148,1.063626,0.757734,1.227295
50,149,1.063626,0.757734,1.227295
50,150,1.107362,0.757734,1.337058
50,151,0.992515,0.757734,1.227295
50,152,0.992515,0.757734,1.227295
50,153,0.992515,0.757734,1.227295
50,154,0.992515,0.757734,1.227295
50,155,0.992515,0.757734,1.227295
50,156,0.992515,0.757734,1.227295
50,157,0.992515,0.757734,1.227295
50,158,0.992515,0.757734,1.227295
50,159,0.992515,0.757734,1.227295
50,160,0.992515,0.757734,1.227295
50,161,1.227295,1.227295,1.227295
50,162,1.360839,1.360839,1.360839
100,0,1.000000,1.000000,1.000000
100,1,0.987373,0.871135,1.016183
100,2,1.000248,0.748640,1.281225
100,3,0.970850,0.748640,1.043710
100,4,0.973718,0.748640,1.067790
100,5,0.998911,0.748640,1.366962
100,6,1.010641,0.748640,1.705902
100,7,1.013729,0.654321,1.972885
100,8,1.052196,0.654321,2.825095
100,9,1.071084,0.654321,2.697639
100,10,1.064517,0.654321,2.897428
100,11,1.069391,0.654321,3.034464
100,12,1.056782,0.654321,2.758895
100,13,1.065986,0.654321,1.752909
100,14,1.056951,0.654321,1.752909
100,15,1.038691,0.606649,2.736153
100,16,1.058003,0.482641,2.034700
100,17,1.065029,0.657531,2.034700
100,18,1.076533,0.657531,2.300990
100,19,1.073878,0.657531,2.396139
100,20,1.062110,0.657531,2.396139
100,21,1.105281,0.657531,2.901692
100,22,1.098326,0.624082,2.523901
100,23,1.096591,0.479622,2.523901
100,24,1.101463,0.479622,2.523901
100,25,1.110019,0.546855,2.523901
100,26,1.102391,0.546855,2.628869
100,27,1.117542,0.546855,3.207671
100,28,1.097978,0.546855,2.628869
100,29,1.105059,0.546855,2.628869
100,30,1.149158,0.492485,3.898506
100,31,1.135593,0.492485,3.898506
100,32,1.115279,0.492485,3.350933
100,33,1.102551,0.492485,2.774131
100,34,1.108809,0.492485,2.774131
100,35,1.114295,0.492485,2.890220
100,36,1.119523,0.492485,3.920679
100,37,1.140686,0.492485,4.309043
100,38,1.168006,0.467362,4.309043
100,39,1.168425,0.467362,4.309043
100,40,1.160778,0.366458,4.309043
100,41,1.131029,0.366458,3.850733
100,42,1.143044,0.366458,3.850733
100,43,1.146174,0.303363,3.941158
100,44,1.152850,0.303363,3.941158
100,45,1.151289,0.303363,3.941158
100,46,1.178791,0.303363,3.941158
100,47,1.209366,0.223486,3.941158
100,48,1.210935,0.223486,4.793405
100,49,1.194510,0.223486,3.941158
100,50,1.196177,0.223486,3.941158
100,51,1.202083,0.223486,3.941158
100,52,1.207465,0.223486,3.941158
100,53,1.181116,0.223486,3.941158
100,54,1.169171,0.223486,3.941158
100,55,1.179916,0.223486,3.941158
100,56,1.196231,0.223486,3.941158
100,57,1.175988,0.223486,3.941158
100,58,1.175770,0.223486,3.941158
