hedge_size_mult,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.3,Legacy5BNB,4,0.97553327,-2.4467,0.001786,26.3902,57,45.6140,false
0.3,Legacy5BNB,5,1.03774182,3.7742,0.562487,7.5872,43,30.2326,true
0.3,Legacy5BNB,6,1.11696364,11.6964,1.550479,6.0495,68,48.5294,true
0.3,OldGuardNoBNB,0,1.42893124,42.8931,2.462123,7.8431,43,51.1628,true
0.3,OldGuardNoBNB,1,1.34539353,34.5394,3.074276,5.2482,66,57.5758,true
0.3,OldGuardNoBNB,2,1.56038346,56.0383,2.935035,5.8794,52,50.0000,true
0.3,OldGuardNoBNB,3,1.20618557,20.6186,1.290933,8.2026,44,50.0000,true
0.3,OldGuardNoBNB,4,0.85501522,-14.4985,-0.677815,33.0764,61,39.3443,false
0.3,OldGuardNoBNB,5,1.03919702,3.9197,0.549148,8.1618,46,32.6087,true
0.3,OldGuardNoBNB,6,1.05424274,5.4243,0.762843,8.3633,62,45.1613,true
0.3,LargeCaps5,0,1.48770614,48.7706,2.703701,5.6809,53,49.0566,true
0.3,LargeCaps5,1,1.19781888,19.7819,1.582551,7.9799,80,47.5000,true
0.3,LargeCaps5,2,1.65986032,65.9860,3.338743,8.1018,72,58.3333,true
0.3,LargeCaps5,3,1.08061192,8.0612,0.758506,13.6903,38,52.6316,true
0.3,LargeCaps5,4,1.16220702,16.2207,0.914169,19.0614,54,53.7037,true
0.3,LargeCaps5,5,1.17784379,17.7844,1.791486,5.6840,46,43.4783,true
0.3,Legacy3,0,1.27337015,27.3370,2.269336,6.2433,33,48.4848,true
0.3,Legacy3,1,1.29104862,29.1049,3.382085,5.2933,55,60.0000,true
0.3,Legacy3,2,1.29045895,29.0459,2.270908,4.7082,34,52.9412,true
0.3,Legacy3,3,1.05557518,5.5575,0.549181,8.1814,26,53.8462,true
0.3,Legacy3,4,0.86110232,-13.8898,-1.066797,26.3001,44,40.9091,false
0.3,Legacy3,5,1.06347407,6.3474,1.049215,8.1406,34,29.4118,true
0.3,Legacy3,6,1.05165460,5.1655,0.972171,4.9047,48,47.9167,true
0.3,LowVolume5,0,1.29083861,29.0839,1.987745,9.0450,45,51.1111,true
0.3,LowVolume5,1,1.16187328,16.1873,1.762324,10.4515,65,50.7692,true
0.3,LowVolume5,2,1.21265472,21.2655,1.685392,6.4931,47,44.6809,true
0.3,LowVolume5,3,1.05026326,5.0263,0.424706,16.3478,45,42.2222,true
0.3,LowVolume5,4,0.84552392,-15.4476,-0.977905,27.1522,49,38.7755,false
0.3,LowVolume5,5,1.30004502,30.0045,2.513580,8.3096,46,39.1304,true
0.3,LowVolume5,6,0.91561592,-8.4384,-1.627770,9.2333,45,40.0000,false
0.3,OldGuard4,0,1.19234746,19.2347,1.570903,8.4533,37,45.9459,true
0.3,OldGuard4,1,1.23608996,23.6090,2.752067,5.2933,58,56.8966,true
0.3,OldGuard4,2,1.35362406,35.3624,2.518342,5.7185,44,47.7273,true
0.3,OldGuard4,3,1.18383883,18.3839,1.190023,8.1814,40,47.5000,true
0.3,OldGuard4,4,0.86636501,-13.3635,-0.840627,30.4537,51,39.2157,false
0.3,OldGuard4,5,1.05616882,5.6169,0.804316,8.5303,42,30.9524,true
0.3,OldGuard4,6,0.99945023,-0.0550,0.032409,6.5162,54,42.5926,false
0.35,Base5,0,1.61294177,61.2942,2.617684,5.3383,55,47.2727,true
0.35,Base5,1,1.28819925,28.8199,2.049140,9.1383,77,49.3506,true
0.35,Base5,2,1.81598795,81.5988,3.888015,4.9794,67,64.1791,true
0.35,Base5,3,1.19102206,19.1022,1.591668,11.7347,36,55.5556,true
0.35,Base5,4,1.01848922,1.8489,0.242152,15.7072,61,50.8197,true
0.35,Base5,5,1.24439667,24.4397,2.156399,5.6276,54,48.1481,true
0.35,NoDOGE,0,1.35618838,35.6188,2.164645,5.6809,44,47.7273,true
0.35,NoDOGE,1,1.28702970,28.7030,2.074324,8.4572,71,50.7042,true
0.35,NoDOGE,2,1.59741239,59.7412,3.229988,6.9757,60,61.6667,true
0.35,NoDOGE,3,1.14694098,14.6941,1.295077,12.9074,31,54.8387,true
0.35,NoDOGE,4,0.95283297,-4.7167,-0.113416,19.8182,50,50.0000,false
0.35,NoDOGE,5,1.19290259,19.2903,1.876040,5.4376,41,46.3415,true
0.35,Legacy4,0,1.51621552,51.6216,2.885148,6.8028,40,52.5000,true
0.35,Legacy4,1,1.45709802,45.7098,3.588213,6.0967,64,60.9375,true
0.35,Legacy4,2,1.55326287,55.3263,2.819668,6.2717,43,55.8140,true
0.35,Legacy4,3,1.08066257,8.0663,0.720846,8.1814,30,56.6667,true
0.35,Legacy4,4,0.83491901,-16.5081,-0.907402,28.9646,55,40.0000,false
