step,cap_1,cap_2,cap_3,cap_4,cap_5,cap_6,cap_7,cap_8,cap_9,cap_10
115,3.141828,6.345958,6.994026,2.028962,17.419991,12.440413,12.440413,12.440413,12.440413,12.440413
116,3.141828,6.345958,6.994026,4.033115,17.419991,11.863050,11.863050,11.863050,11.863050,11.863050
117,2.878936,6.345958,6.994026,3.370234,17.419991,10.396066,10.396066,10.396066,10.396066,10.396066
118,2.878936,6.345958,6.994026,3.370234,17.419991,11.524243,11.524243,11.524243,11.524243,11.524243
119,2.878936,6.345958,6.994026,3.370234,18.307547,11.524243,11.524243,11.524243,11.524243,11.524243
120,2.878936,6.345958,6.994026,3.370234,17.292250,11.524243,11.524243,11.524243,11.524243,11.524243
121,2.878936,6.345958,6.994026,3.370234,17.292250,11.524243,11.524243,11.524243,11.524243,11.524243
122,2.878936,6.345958,6.994026,3.370234,17.292250,11.524243,11.524243,11.524243,11.524243,11.524243
123,2.878936,6.345958,6.994026,3.370234,17.292250,11.524243,11.524243,11.524243,11.524243,11.524243
124,2.878936,6.345958,6.537616,3.370234,17.292250,11.524243,11.524243,11.524243,11.524243,11.524243
125,2.878936,6.345958,6.537616,3.370234,17.292250,11.524243,11.524243,11.524243,11.524243,11.524243
126,2.878936,6.345958,6.537616,3.370234,17.292250,11.524243,11.524243,11.524243,11.524243,11.524243
127,2.878936,6.345958,6.537616,3.370234,17.292250,11.524243,11.524243,11.524243,11.524243,11.524243
128,2.878936,6.345958,6.537616,3.370234,17.292250,11.524243,11.524243,11.524243,11.524243,11.524243
129,3.611860,6.345958,6.537616,3.076115,16.127794,10.721859,10.721859,10.721859,10.721859,10.721859
130,3.611860,6.345958,6.537616,2.843542,16.148638,11.693707,11.693707,11.693707,11.693707,11.693707
131,3.611860,6.345958,6.537616,2.843542,19.688973,13.333450,13.333450,13.333450,13.333450,13.333450
132,3.611860,6.345958,6.537616,18.053542,19.688973,15.319940,15.319940,15.319940,15.319940,15.319940
133,3.611860,6.345958,6.537616,18.053542,22.275646,31.053357,31.053357,31.053357,31.053357,31.053357
134,3.611860,6.345958,6.537616,18.053542,23.130642,31.053357,31.053357,31.053357,31.053357,31.053357
135,3.611860,6.345958,6.537616,18.053542,23.130642,31.053357,31.053357,31.053357,31.053357,31.053357
136,3.611860,6.345958,6.537616,18.053542,23.130642,31.053357,31.053357,31.053357,31.053357,31.053357
137,3.611860,6.345958,6.537616,18.053542,23.130642,31.053357,31.053357,31.053357,31.053357,31.053357
138,3.611860,6.345958,6.537616,18.053542,23.130642,32.261334,32.261334,32.261334,32.261334,32.261334
139,3.611860,6.345958,6.537616,18.053542,23.130642,45.450419,45.450419,45.450419,45.450419,45.450419
140,3.611860,6.345958,6.537616,18.053542,22.322063,54.270858,54.270858,54.270858,54.270858,54.270858
141,3.611860,6.345958,6.537616,18.053542,22.322063,54.270858,54.270858,54.270858,54.270858,54.270858
142,3.611860,6.345958,12.995293,18.053542,22.322063,54.270858,54.270858,54.270858,54.270858,54.270858
143,3.611860,6.345958,12.995293,18.053542,22.322063,54.270858,54.270858,54.270858,54.270858,54.270858
144,3.611860,6.345958,12.995293,18.053542,22.322063,54.270858,54.270858,54.270858,54.270858,54.270858
145,3.611860,6.345958,12.995293,18.053542,22.322063,54.270858,54.270858,54.270858,54.270858,54.270858
146,3.611860,6.345958,14.345371,21.009706,22.322063,54.270858,54.270858,54.270858,54.270858,54.270858
147,3.611860,6.345958,14.345371,21.009706,22.322063,54.270858,54.270858,54.270858,54.270858,54.270858
