atr_mult,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.65,OldGuardNoBNB,4,1.01641815,1.6418,0.241619,6.4796,94,44.6809,true
0.65,OldGuardNoBNB,5,0.84365541,-15.6345,-3.732331,15.6345,93,32.2581,false
0.65,OldGuardNoBNB,6,0.91102587,-8.8974,-2.114978,10.3971,110,42.7273,false
0.65,LargeCaps5,0,1.29971391,29.9714,2.468408,4.2054,94,53.1915,true
0.65,LargeCaps5,1,1.49523650,49.5237,4.080696,3.2548,134,52.2388,true
0.65,LargeCaps5,2,1.34784969,34.7850,3.016719,6.6882,131,53.4351,true
0.65,LargeCaps5,3,0.99294535,-0.7055,-0.037636,7.0346,74,48.6486,false
0.65,LargeCaps5,4,1.11780735,11.7807,1.098541,7.6574,98,50.0000,true
0.65,LargeCaps5,5,0.97543433,-2.4566,-0.509311,10.4804,92,33.6957,false
0.65,Legacy3,0,1.08133104,8.1331,1.002945,5.6560,62,46.7742,true
0.65,Legacy3,1,1.19018219,19.0182,2.598263,2.7928,90,53.3333,true
0.65,Legacy3,2,1.13978043,13.9780,1.479113,5.4888,68,44.1176,true
0.65,Legacy3,3,0.92050578,-7.9494,-1.130744,9.5161,43,39.5349,false
0.65,Legacy3,4,1.06035429,6.0354,0.835301,6.1874,66,48.4848,true
0.65,Legacy3,5,0.91394407,-8.6056,-2.789111,9.1344,59,30.5085,false
0.65,Legacy3,6,0.92994807,-7.0052,-1.989154,7.2011,73,41.0959,false
0.65,LowVolume5,0,1.15882793,15.8828,1.558627,5.9503,87,49.4253,true
0.65,LowVolume5,1,1.25578438,25.5784,2.886378,6.4335,92,51.0870,true
0.65,LowVolume5,2,1.17750530,17.7505,1.587989,5.5005,87,51.7241,true
0.65,LowVolume5,3,0.90013439,-9.9866,-0.843949,18.0055,62,37.0968,false
0.65,LowVolume5,4,0.98434508,-1.5655,-0.132593,6.0395,79,48.1013,false
0.65,LowVolume5,5,0.92639771,-7.3602,-1.677000,10.3455,83,40.9639,false
0.65,LowVolume5,6,0.86662461,-13.3375,-3.051552,13.3375,71,30.9859,false
0.65,OldGuard4,0,1.05474465,5.4745,0.684394,8.0724,73,46.5753,true
0.65,OldGuard4,1,1.17156015,17.1560,2.359872,3.6291,93,51.6129,true
0.65,OldGuard4,2,1.19488594,19.4886,1.803276,5.4888,83,45.7831,true
0.65,OldGuard4,3,0.94575335,-5.4247,-0.520863,12.9550,59,40.6780,false
0.65,OldGuard4,4,1.02295069,2.2951,0.341529,6.4796,78,44.8718,true
0.65,OldGuard4,5,0.85987331,-14.0127,-3.612159,14.0127,77,33.7662,false
0.65,OldGuard4,6,0.89920703,-10.0793,-2.613910,11.3250,85,37.6471,false
0.70,Base5,0,1.31199032,31.1990,1.586006,8.5250,88,47.7273,true
0.70,Base5,1,1.40003646,40.0036,3.487518,4.4223,122,50.0000,true
0.70,Base5,2,1.45617700,45.6177,3.288482,6.1395,117,54.7009,true
0.70,Base5,3,0.95940214,-4.0598,-0.484805,9.3982,69,42.0290,false
0.70,Base5,4,1.16147780,16.1478,1.148207,8.0646,97,43.2990,true
0.70,Base5,5,1.10598159,10.5982,1.347438,7.0157,98,39.7959,true
0.70,NoDOGE,0,1.23755228,23.7552,2.058760,4.1748,75,50.6667,true
0.70,NoDOGE,1,1.47643241,47.6432,4.002077,3.4831,113,53.0973,true
0.70,NoDOGE,2,1.35701543,35.7015,3.007902,5.7148,105,55.2381,true
0.70,NoDOGE,3,0.97357926,-2.6421,-0.299570,8.2999,60,46.6667,false
0.70,NoDOGE,4,1.04373160,4.3732,0.481329,8.0646,82,43.9024,true
0.70,NoDOGE,5,1.05409514,5.4095,0.812145,8.9681,80,38.7500,true
0.70,Legacy4,0,1.18350059,18.3501,1.634311,5.3893,75,48.0000,true
0.70,Legacy4,1,1.29289200,29.2892,3.052817,3.3628,111,53.1532,true
0.70,Legacy4,2,1.25587492,25.5875,2.265285,4.7549,89,49.4382,true
0.70,Legacy4,3,0.92269755,-7.7302,-1.074589,9.3007,54,42.5926,false
0.70,Legacy4,4,1.04501040,4.5010,0.556117,6.3712,82,45.1220,true
0.70,Legacy4,5,0.88414157,-11.5858,-3.477753,12.3295,76,28.9474,false
0.70,Legacy4,6,0.94586186,-5.4138,-1.345062,6.6507,97,45.3608,false
0.70,Legacy5BNB,0,1.19707194,19.7072,1.688377,5.2308,92,48.9130,true
0.70,Legacy5BNB,1,1.30935849,30.9358,3.096284,3.8350,132,52.2727,true
0.70,Legacy5BNB,2,1.26700450,26.7005,2.135243,5.7458,113,47.7876,true
0.70,Legacy5BNB,3,0.94561485,-5.4385,-0.667092,8.1297,67,47.7612,false
0.70,Legacy5BNB,4,1.06770995,6.7710,0.779709,6.6759,97,47.4227,true
0.70,Legacy5BNB,5,0.87545492,-12.4545,-3.749803,12.8187,86,29.0698,false
0.70,Legacy5BNB,6,0.99752633,-0.2474,-0.007770,6.2036,119,47.8992,false
0.70,OldGuardNoBNB,0,1.14890591,14.8906,1.373202,5.6226,86,47.6744,true
0.70,OldGuardNoBNB,1,1.27266293,27.2663,2.862050,3.6500,114,51.7544,true
0.70,OldGuardNoBNB,2,1.29219198,29.2192,2.353083,4.7549,104,48.0769,true
0.70,OldGuardNoBNB,3,0.94800524,-5.1995,-0.488122,12.7950,70,42.8571,false
0.70,OldGuardNoBNB,4,1.00814805,0.8148,0.154332,6.6629,94,42.5532,true
0.70,OldGuardNoBNB,5,0.84070016,-15.9300,-3.808667,15.9300,93,32.2581,false
0.70,OldGuardNoBNB,6,0.91459477,-8.5405,-2.007857,10.0461,109,42.2018,false
0.70,LargeCaps5,0,1.28411799,28.4118,2.334861,4.1748,92,52.1739,true
0.70,LargeCaps5,1,1.49523650,49.5237,4.080696,3.2548,134,52.2388,true
0.70,LargeCaps5,2,1.38729340,38.7293,3.274399,7.8308,128,54.6875,true
0.70,LargeCaps5,3,0.99776032,-0.2240,0.028272,6.5837,73,50.6849,false
0.70,LargeCaps5,4,1.12104966,12.1050,1.124203,7.6574,96,48.9583,true
0.70,LargeCaps5,5,1.02296402,2.2964,0.378496,10.7940,91,35.1648,true
0.70,Legacy3,0,1.05876759,5.8768,0.739751,7.6246,62,45.1613,true
0.70,Legacy3,1,1.19018219,19.0182,2.598263,2.7928,90,53.3333,true
0.70,Legacy3,2,1.11942457,11.9425,1.272056,6.1843,68,44.1176,true
0.70,Legacy3,3,0.92050578,-7.9494,-1.130744,9.5161,43,39.5349,false
0.70,Legacy3,4,1.05172670,5.1727,0.724679,6.3712,66,45.4545,true
0.70,Legacy3,5,0.91235102,-8.7649,-2.841590,9.2928,59,30.5085,false
0.70,Legacy3,6,0.93455454,-6.5445,-1.827740,6.7414,72,41.6667,false
0.70,LowVolume5,0,1.13946235,13.9462,1.370217,7.6223,86,48.8372,true
0.70,LowVolume5,1,1.25578438,25.5784,2.886378,6.4335,92,51.0870,true
0.70,LowVolume5,2,1.17458170,17.4582,1.564600,5.5005,87,50.5747,true
0.70,LowVolume5,3,0.90013439,-9.9866,-0.843949,18.0055,62,37.0968,false
0.70,LowVolume5,4,0.98241584,-1.7584,-0.156424,6.0946,79,46.8354,false
0.70,LowVolume5,5,0.97495318,-2.5047,-0.301689,10.3455,82,42.6829,false
0.70,LowVolume5,6,0.86308161,-13.6918,-3.133673,13.6918,71,30.9859,false
0.70,OldGuard4,0,1.02781896,2.7819,0.378340,9.9906,73,45.2055,true
0.70,OldGuard4,1,1.17156015,17.1560,2.359872,3.6291,93,51.6129,true
0.70,OldGuard4,2,1.17063216,17.0632,1.590350,6.1843,83,44.5783,true
0.70,OldGuard4,3,0.94575335,-5.4247,-0.520863,12.9550,59,40.6780,false
0.70,OldGuard4,4,1.01462743,1.4627,0.239106,6.6629,78,42.3077,true
0.70,OldGuard4,5,0.85837451,-14.1625,-3.653284,14.1625,77,33.7662,false
0.70,OldGuard4,6,0.90366124,-9.6339,-2.464053,10.8857,84,38.0952,false
0.75,Base5,0,1.26605190,26.6052,1.395244,8.5250,87,47.1264,true
0.75,Base5,1,1.40003646,40.0036,3.487518,4.4223,122,50.0000,true
0.75,Base5,2,1.44742085,44.7421,3.234043,6.1395,117,53.8462,true
0.75,Base5,3,0.96463095,-3.5369,-0.408095,8.9045,68,41.1765,false
0.75,Base5,4,1.17770230,17.7702,1.242054,8.0646,97,43.2990,true
0.75,Base5,5,1.10382203,10.3822,1.321743,7.0157,98,38.7755,true
0.75,NoDOGE,0,1.19422026,19.4220,1.730673,4.1748,74,50.0000,true
0.75,NoDOGE,1,1.47643241,47.6432,4.002077,3.4831,113,53.0973,true
0.75,NoDOGE,2,1.34885555,34.8856,2.946792,5.7148,105,54.2857,true
0.75,NoDOGE,3,0.97888534,-2.1115,-0.223391,7.8001,59,45.7627,false
0.75,NoDOGE,4,1.05831133,5.8311,0.609759,8.0646,82,43.9024,true
0.75,NoDOGE,5,1.05203689,5.2037,0.783414,8.9681,80,37.5000,true
0.75,Legacy4,0,1.16375542,16.3755,1.496874,5.3466,74,47.2973,true
0.75,Legacy4,1,1.29289200,29.2892,3.052817,3.3628,111,53.1532,true
