universe,window,threshold,return_pct,sharpe,max_dd_pct,trades,win_rate,pass
Legacy3,4,70,-0.1999,-2.101267,0.1999,3,0.00,0
Legacy3,5,0,-4.6884,-10.740200,4.6884,72,0.00,0
Legacy3,5,20,-1.6534,-6.354138,1.6534,25,0.00,0
Legacy3,5,30,-1.4564,-5.921555,1.4564,22,0.00,0
Legacy3,5,40,-1.3249,-5.621497,1.3249,20,0.00,0
Legacy3,5,50,-0.9293,-4.643384,0.9293,14,0.00,0
Legacy3,5,60,-0.7309,-4.090121,0.7309,11,0.00,0
Legacy3,5,70,-0.5984,-3.684337,0.5984,9,0.00,0
LowVolume5,0,0,96.1180,3.770128,5.9735,99,2.02,1
LowVolume5,0,20,98.8840,3.844196,4.7109,78,2.56,1
LowVolume5,0,30,64.6105,3.472604,3.0214,69,1.45,1
LowVolume5,0,40,65.6016,3.514152,2.4375,60,1.67,1
LowVolume5,0,50,66.2657,3.542026,2.0462,54,1.85,1
LowVolume5,0,60,66.3766,3.546665,1.9809,53,1.89,1
LowVolume5,0,70,-2.6325,-7.477389,2.6325,40,0.00,0
LowVolume5,1,0,-7.0615,-0.320068,22.5745,95,1.05,0
LowVolume5,1,20,-5.4359,-0.219000,21.2202,69,1.45,0
LowVolume5,1,30,-5.2465,-0.207225,21.0624,66,1.52,0
LowVolume5,1,40,-4.2298,-0.144015,20.2154,50,2.00,0
LowVolume5,1,50,-3.8458,-0.120133,19.8955,44,2.27,0
LowVolume5,1,60,-3.5889,-0.104026,19.7886,40,2.50,0
LowVolume5,1,70,-17.6159,-1.514914,18.4942,15,0.00,0
LowVolume5,2,0,-4.0960,-1.791692,6.7634,105,0.00,0
LowVolume5,2,20,-1.8309,-0.790187,4.5613,70,0.00,0
LowVolume5,2,30,-1.6999,-0.732998,4.4339,68,0.00,0
LowVolume5,2,40,-3.7302,-9.020369,3.7302,57,0.00,0
LowVolume5,2,50,-3.2797,-8.359682,3.2797,50,0.00,0
LowVolume5,2,60,-1.9808,-6.785534,1.9808,30,0.00,0
LowVolume5,2,70,-1.5878,-5.944067,1.5878,24,0.00,0
LowVolume5,3,0,1299.5618,5.524101,19.9952,90,7.78,1
LowVolume5,3,20,1299.5618,5.524101,19.9952,90,7.78,1
LowVolume5,3,30,1054.5919,5.172791,19.9952,90,6.67,1
LowVolume5,3,40,1054.5919,5.172791,19.9952,90,6.67,1
LowVolume5,3,50,1119.3829,5.303511,19.9952,86,6.98,1
LowVolume5,3,60,954.1348,5.057483,19.9418,77,6.49,1
LowVolume5,3,70,367.4115,4.195463,19.9418,70,7.14,1
LowVolume5,4,0,-3.5373,-9.362081,3.5373,54,0.00,0
LowVolume5,4,20,-1.9154,-6.654709,1.9154,29,0.00,0
LowVolume5,4,30,-0.9293,-4.329652,0.9293,14,0.00,0
LowVolume5,4,40,-0.6647,-3.541846,0.6647,10,0.00,0
LowVolume5,4,50,-0.5984,-3.322689,0.5984,9,0.00,0
LowVolume5,4,60,-0.4658,-2.845699,0.4658,7,0.00,0
LowVolume5,4,70,-0.3994,-2.582063,0.3994,6,0.00,0
LowVolume5,5,0,-6.4520,-12.702740,6.4520,100,0.00,0
LowVolume5,5,20,-3.2150,-8.957085,3.2150,49,0.00,0
LowVolume5,5,30,-2.9565,-8.474288,2.9565,45,0.00,0
LowVolume5,5,40,-2.6324,-7.857078,2.6324,40,0.00,0
LowVolume5,5,50,-2.3723,-7.349109,2.3723,36,0.00,0
LowVolume5,5,60,-1.7191,-5.996112,1.7191,26,0.00,0
LowVolume5,5,70,-1.5879,-5.705082,1.5879,24,0.00,0
OldGuard4,0,0,94.0988,3.719811,5.5324,115,1.74,1
