chand_mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
2.15,Base5,2,180.23,8.3662,35.07,12,58.33,true
2.15,Base5,3,31.33,3.5450,33.43,15,46.67,true
2.15,Base5,4,75.68,11.9766,18.28,8,62.50,true
2.15,Base5,5,39.67,4.7806,22.08,9,33.33,true
2.15,NoDOGE,0,40.18,4.5479,57.62,12,41.67,true
2.15,NoDOGE,1,-8.85,-1.1780,25.38,7,57.14,false
2.15,NoDOGE,2,437.82,12.6043,16.38,10,60.00,true
2.15,NoDOGE,3,111.95,6.2014,33.43,15,53.33,true
2.15,NoDOGE,4,93.74,16.6686,9.88,7,71.43,true
2.15,NoDOGE,5,-23.37,-4.5186,30.18,8,25.00,false
2.15,Legacy4,0,31.38,3.5400,33.12,13,46.15,true
2.15,Legacy4,1,41.07,6.9679,20.55,9,55.56,true
2.15,Legacy4,2,223.12,10.1908,16.38,9,66.67,true
2.15,Legacy4,3,56.97,5.4232,28.41,11,54.55,true
2.15,Legacy4,4,31.39,9.5137,16.15,5,80.00,true
2.15,Legacy4,5,44.36,9.9343,11.17,6,50.00,true
2.15,Legacy5BNB,0,155.13,7.2347,26.85,15,60.00,true
2.15,Legacy5BNB,1,-11.17,-0.7347,21.85,9,44.44,false
2.15,Legacy5BNB,2,166.85,8.2797,16.38,10,70.00,true
2.15,Legacy5BNB,3,166.71,9.1568,28.41,10,50.00,true
2.15,Legacy5BNB,4,50.46,10.9252,16.15,6,66.67,true
2.15,Legacy5BNB,5,23.89,8.1202,7.81,5,40.00,true
2.15,OldGuardNoBNB,0,12.88,2.2334,36.44,14,42.86,true
2.15,OldGuardNoBNB,1,-23.53,-2.5073,41.29,9,55.56,false
2.15,OldGuardNoBNB,2,232.14,10.4225,16.38,9,77.78,true
2.15,OldGuardNoBNB,3,56.97,5.4232,28.41,11,54.55,true
2.15,OldGuardNoBNB,4,31.39,9.5137,16.15,5,80.00,true
2.15,OldGuardNoBNB,5,147.40,15.1801,11.17,8,62.50,true
2.15,LargeCaps5,0,119.54,6.2309,57.62,13,46.15,true
2.15,LargeCaps5,1,-8.85,-1.1780,25.38,7,57.14,false
2.15,LargeCaps5,2,567.44,12.5513,16.38,10,60.00,true
2.15,LargeCaps5,3,44.08,4.3786,33.43,13,46.15,true
2.15,LargeCaps5,4,117.05,17.6790,13.66,7,71.43,true
2.15,LargeCaps5,5,-23.37,-4.5186,30.18,8,25.00,false
2.15,Legacy3,0,86.75,5.8722,24.53,13,53.85,true
2.15,Legacy3,1,32.90,5.8100,20.55,9,55.56,true
2.15,Legacy3,2,219.50,11.4275,16.38,7,71.43,true
2.15,Legacy3,3,163.50,11.0716,28.41,9,66.67,true
2.15,Legacy3,4,-5.10,0.4914,18.22,8,62.50,false
2.15,Legacy3,5,10.42,3.8000,11.17,6,33.33,true
2.15,LowVolume5,0,28.33,2.7570,30.85,15,53.33,true
2.15,LowVolume5,1,-48.74,-6.3259,50.79,12,25.00,false
2.15,LowVolume5,2,586.50,12.8831,16.38,11,81.82,true
2.15,LowVolume5,3,-34.02,-0.0093,71.71,13,46.15,false
2.15,LowVolume5,4,-22.31,-1.0863,37.10,10,40.00,false
