cp,universe,window,bar,equity
3,Base5,6,46,0.991577
3,Base5,6,47,0.991577
3,Base5,6,48,0.991577
3,Base5,6,49,0.991577
3,Base5,6,50,0.991577
3,Base5,6,51,0.991577
3,Base5,6,52,0.991577
3,Base5,6,53,0.991577
3,Base5,6,54,0.991577
3,Base5,6,55,0.991577
3,Base5,6,56,0.991577
3,Base5,6,57,0.991577
3,Base5,6,58,0.991577
3,Base5,6,59,0.991577
3,Base5,6,60,0.991577
3,Base5,6,61,0.991577
3,Base5,6,62,0.991577
3,Base5,6,63,0.991577
3,Base5,6,64,0.991577
3,Base5,6,65,1.014359
3,Base5,6,66,1.014359
3,Base5,6,67,1.014359
3,Base5,6,68,1.014359
3,Base5,6,69,1.014359
3,Base5,6,70,1.014359
3,Base5,6,71,1.014359
3,Base5,6,72,1.030599
3,Base5,6,73,1.030599
3,Base5,6,74,1.030599
3,Base5,6,75,0.983618
3,Base5,6,76,0.983618
3,Base5,6,77,0.983618
3,Base5,6,78,0.983618
3,Base5,6,79,0.983618
3,Base5,6,80,0.983618
3,Base5,6,81,0.983618
3,Base5,6,82,0.983618
3,Base5,6,83,0.983618
3,Base5,6,84,0.983618
3,Base5,6,85,0.983618
3,Base5,6,86,0.983618
3,Base5,6,87,0.983618
3,Base5,6,88,0.983618
3,Base5,6,89,0.983618
3,Base5,6,90,0.983618
3,Base5,6,91,0.983618
3,Base5,6,92,0.983618
3,Base5,6,93,0.983618
3,Base5,6,94,0.983618
3,Base5,6,95,0.983618
3,Base5,6,96,0.983618
3,Base5,6,97,0.983618
3,Base5,6,98,0.983618
3,Base5,6,99,0.983618
3,Base5,6,100,0.983618
3,Base5,6,101,0.983618
3,Base5,6,102,0.965017
3,Base5,6,103,0.965017
3,Base5,6,104,0.965017
3,Base5,6,105,0.965017
3,Base5,6,106,0.965017
3,Base5,6,107,0.965017
3,Base5,6,108,0.965017
3,Base5,6,109,0.965017
3,Base5,6,110,0.965017
3,Base5,6,111,0.965017
3,Base5,6,112,0.965017
3,Base5,6,113,0.971514
3,Base5,6,114,0.971514
3,Base5,6,115,0.971514
3,Base5,6,116,0.971514
3,Base5,6,117,0.971514
3,Base5,6,118,0.969310
3,Base5,6,119,0.969740
3,Base5,6,120,0.969740
3,NoDOGE,0,0,1.000000
3,NoDOGE,0,0,1.000000
3,NoDOGE,0,1,1.000000
3,NoDOGE,0,2,1.000000
3,NoDOGE,0,3,1.000000
3,NoDOGE,0,4,1.000000
3,NoDOGE,0,5,1.000000
3,NoDOGE,0,6,1.000000
3,NoDOGE,0,7,1.000000
3,NoDOGE,0,8,1.000000
3,NoDOGE,0,9,1.000000
3,NoDOGE,0,10,1.000000
3,NoDOGE,0,11,1.000000
3,NoDOGE,0,12,1.000000
3,NoDOGE,0,13,1.000000
3,NoDOGE,0,14,1.000000
3,NoDOGE,0,15,1.000000
3,NoDOGE,0,16,1.000000
3,NoDOGE,0,17,1.000000
3,NoDOGE,0,18,1.000000
3,NoDOGE,0,19,1.000000
3,NoDOGE,0,20,1.000000
3,NoDOGE,0,21,1.000000
3,NoDOGE,0,22,1.000000
3,NoDOGE,0,23,0.927954
3,NoDOGE,0,24,0.927954
3,NoDOGE,0,25,1.072892
3,NoDOGE,0,26,1.072892
3,NoDOGE,0,27,1.051519
3,NoDOGE,0,28,1.051519
3,NoDOGE,0,29,1.051519
3,NoDOGE,0,30,1.051519
3,NoDOGE,0,31,1.051519
3,NoDOGE,0,32,1.051519
3,NoDOGE,0,33,1.051519
