universe,window,strategy,symbol,return_pct,sharpe,max_dd,trades,win_rate,pass
Base5,W74,LONG_SKIP_CRISIS,BTC,0.4192,0.1342,13.6254,19,0.4211,PASS
Base5,W75,SHORT,BTC,-23.9848,-5.9217,23.9848,6,0.0000,FAIL
Base5,W75,LONG_SKIP_CRISIS,BTC,16.6431,1.2606,13.6254,17,0.5294,PASS
Base5,W76,SHORT,BTC,-23.9848,-6.0484,23.9848,6,0.0000,FAIL
Base5,W76,LONG_SKIP_CRISIS,BTC,25.6181,1.8991,13.6254,16,0.5625,PASS
Base5,W77,SHORT,BTC,-17.8749,-6.8302,17.8749,5,0.0000,FAIL
Base5,W77,LONG_SKIP_CRISIS,BTC,25.9067,2.6295,13.6254,13,0.5385,PASS
Base5,W78,SHORT,BTC,-17.8749,-7.2513,17.8749,5,0.0000,FAIL
Base5,W78,LONG_SKIP_CRISIS,BTC,10.2983,1.1239,19.0160,13,0.5385,PASS
Base5,W79,SHORT,BTC,-17.8749,-7.7614,17.8749,5,0.0000,FAIL
Base5,W79,LONG_SKIP_CRISIS,BTC,19.4987,2.2786,13.6254,11,0.5455,PASS
Base5,W80,SHORT,BTC,-15.3987,-7.0090,15.3987,4,0.0000,FAIL
Base5,W80,LONG_SKIP_CRISIS,BTC,19.1910,2.3663,13.6254,11,0.5455,PASS
Base5,W81,SHORT,BTC,-11.9341,-5.8063,11.9341,3,0.0000,FAIL
Base5,W81,LONG_SKIP_CRISIS,BTC,24.4109,3.2989,13.6254,9,0.6667,PASS
Base5,W82,SHORT,BTC,-11.9341,-6.3982,11.9341,3,0.0000,FAIL
Base5,W82,LONG_SKIP_CRISIS,BTC,17.8768,3.0622,13.4516,8,0.6250,PASS
Base5,W83,SHORT,BTC,-11.9341,-7.2181,11.9341,3,0.0000,FAIL
Base5,W83,LONG_SKIP_CRISIS,BTC,22.4846,4.1924,10.0684,7,0.7143,PASS
Base5,W84,SHORT,BTC,-13.7363,-8.7468,13.7363,3,0.0000,FAIL
Base5,W84,LONG_SKIP_CRISIS,BTC,36.1975,7.8567,0.7232,6,0.8333,PASS
Base5,W85,SHORT,BTC,-5.8327,-4.8268,5.8327,1,0.0000,FAIL
Base5,W85,LONG_SKIP_CRISIS,BTC,30.2129,9.9384,0.0000,4,1.0000,PASS
NoDOGE,W0,SHORT,BTC,23.6994,1.7964,19.2077,6,0.5000,PASS
NoDOGE,W0,LONG_SKIP_CRISIS,BTC,107.5981,3.9374,25.8671,17,0.5294,PASS
NoDOGE,W1,SHORT,BTC,4.1696,0.4131,26.1635,6,0.3333,PASS
NoDOGE,W1,LONG_SKIP_CRISIS,BTC,82.7432,2.9832,25.1360,20,0.5000,PASS
NoDOGE,W2,SHORT,BTC,-25.9225,-8.8453,25.9225,3,0.0000,FAIL
NoDOGE,W2,LONG_SKIP_CRISIS,BTC,131.2992,4.2706,23.1018,18,0.6111,PASS
NoDOGE,W3,SHORT,BTC,-18.9159,-5.7222,23.3633,3,0.3333,FAIL
NoDOGE,W3,LONG_SKIP_CRISIS,BTC,125.8436,4.3697,34.1414,14,0.4286,PASS
NoDOGE,W4,SHORT,BTC,-21.4900,-6.9716,23.3842,3,0.3333,FAIL
NoDOGE,W4,LONG_SKIP_CRISIS,BTC,103.0480,3.7565,32.2326,17,0.5294,PASS
NoDOGE,W5,SHORT,BTC,-0.3652,-0.0490,16.9380,3,0.3333,FAIL
NoDOGE,W5,LONG_SKIP_CRISIS,BTC,76.0031,3.0039,41.2796,19,0.5789,PASS
NoDOGE,W6,SHORT,BTC,-4.5442,-0.9942,16.9380,3,0.3333,FAIL
NoDOGE,W6,LONG_SKIP_CRISIS,BTC,48.4137,2.1336,45.9760,20,0.5000,PASS
NoDOGE,W7,SHORT,BTC,25.2496,3.1607,16.9380,4,0.5000,PASS
NoDOGE,W7,LONG_SKIP_CRISIS,BTC,28.6294,1.4151,49.7163,20,0.5000,PASS
NoDOGE,W8,SHORT,BTC,14.4268,2.4698,16.9380,5,0.6000,PASS
NoDOGE,W8,LONG_SKIP_CRISIS,BTC,-4.6000,-0.0616,51.8138,20,0.4000,FAIL
NoDOGE,W9,SHORT,BTC,11.4864,2.0043,16.9380,6,0.3333,PASS
NoDOGE,W9,LONG_SKIP_CRISIS,BTC,-9.3996,-0.3082,54.9341,19,0.4211,FAIL
NoDOGE,W10,SHORT,BTC,5.8502,0.9781,16.9380,6,0.3333,PASS
NoDOGE,W10,LONG_SKIP_CRISIS,BTC,-13.4329,-0.6450,54.9341,15,0.4000,FAIL
NoDOGE,W11,SHORT,BTC,5.8502,0.9781,16.9380,6,0.3333,PASS
NoDOGE,W11,LONG_SKIP_CRISIS,BTC,5.8489,0.4602,54.9341,13,0.4615,PASS
NoDOGE,W12,SHORT,BTC,16.5000,2.3863,16.9380,7,0.4286,PASS
NoDOGE,W12,LONG_SKIP_CRISIS,BTC,-42.4174,-4.4924,50.8428,12,0.3333,FAIL
NoDOGE,W13,SHORT,BTC,98.9907,3.5930,18.2162,8,0.3750,PASS
NoDOGE,W13,LONG_SKIP_CRISIS,BTC,-59.6584,-2.4319,60.3302,12,0.3333,FAIL
NoDOGE,W14,SHORT,BTC,116.0111,4.1449,24.7555,9,0.3333,PASS
NoDOGE,W14,LONG_SKIP_CRISIS,BTC,-53.7607,-2.0013,59.9864,12,0.3333,FAIL
NoDOGE,W15,SHORT,BTC,78.5023,2.9921,37.7631,9,0.3333,PASS
NoDOGE,W15,LONG_SKIP_CRISIS,BTC,-36.7365,-1.0223,57.6534,11,0.3636,FAIL
NoDOGE,W16,SHORT,BTC,52.2842,2.2704,37.7631,8,0.2500,PASS
NoDOGE,W16,LONG_SKIP_CRISIS,BTC,-18.2102,-0.2526,51.2349,12,0.4167,FAIL
NoDOGE,W17,SHORT,BTC,47.5716,2.1025,37.7631,8,0.2500,PASS
NoDOGE,W17,LONG_SKIP_CRISIS,BTC,-21.6928,-0.3864,51.2349,13,0.3846,FAIL
NoDOGE,W18,SHORT,BTC,50.3804,2.1958,39.8009,8,0.2500,PASS
NoDOGE,W18,LONG_SKIP_CRISIS,BTC,-18.7470,-0.2748,51.2349,11,0.3636,FAIL
NoDOGE,W19,SHORT,BTC,14.9532,0.8512,43.3888,7,0.1429,PASS
NoDOGE,W19,LONG_SKIP_CRISIS,BTC,9.7304,0.6351,51.2349,11,0.4545,PASS
NoDOGE,W20,SHORT,BTC,9.5346,0.5911,43.3888,7,0.1429,PASS
NoDOGE,W20,LONG_SKIP_CRISIS,BTC,21.5471,0.9550,51.2349,12,0.5000,PASS
NoDOGE,W21,SHORT,BTC,28.6799,1.4198,43.3888,6,0.3333,PASS
NoDOGE,W21,LONG_SKIP_CRISIS,BTC,-4.6332,0.2130,51.2349,13,0.4615,FAIL
NoDOGE,W22,SHORT,BTC,22.0507,1.1553,46.0663,7,0.2857,PASS
NoDOGE,W22,LONG_SKIP_CRISIS,BTC,-16.2518,-0.1874,51.2349,13,0.4615,FAIL
NoDOGE,W23,SHORT,BTC,15.4121,0.8748,48.7683,7,0.1429,PASS
NoDOGE,W23,LONG_SKIP_CRISIS,BTC,-2.2844,0.2862,51.2349,13,0.4615,FAIL
NoDOGE,W24,SHORT,BTC,-10.5511,-0.0556,48.7683,7,0.1429,FAIL
NoDOGE,W24,LONG_SKIP_CRISIS,BTC,53.3983,1.6826,39.7048,13,0.6154,PASS
NoDOGE,W25,SHORT,BTC,-32.2284,-8.8112,32.2284,4,0.0000,FAIL
NoDOGE,W25,LONG_SKIP_CRISIS,BTC,186.9523,13.1289,14.3871,14,0.6429,PASS
NoDOGE,W26,SHORT,BTC,-17.6827,-10.4870,17.6827,3,0.0000,FAIL
NoDOGE,W26,LONG_SKIP_CRISIS,BTC,259.4348,11.5864,14.3871,16,0.6875,PASS
NoDOGE,W27,SHORT,BTC,-17.6827,-10.4870,17.6827,3,0.0000,FAIL
NoDOGE,W27,LONG_SKIP_CRISIS,BTC,221.0251,8.3610,14.3871,20,0.6500,PASS
NoDOGE,W28,SHORT,BTC,-17.6827,-10.4870,17.6827,3,0.0000,FAIL
NoDOGE,W28,LONG_SKIP_CRISIS,BTC,226.3548,7.7160,21.2795,21,0.6190,PASS
NoDOGE,W29,SHORT,BTC,-17.6827,-10.4870,17.6827,3,0.0000,FAIL
NoDOGE,W29,LONG_SKIP_CRISIS,BTC,355.2585,8.9023,21.2795,22,0.6364,PASS
NoDOGE,W30,SHORT,BTC,-16.5118,-7.1683,16.5118,3,0.0000,FAIL
NoDOGE,W30,LONG_SKIP_CRISIS,BTC,509.1384,10.9849,21.2795,22,0.6818,PASS
NoDOGE,W31,SHORT,BTC,-9.5024,-6.7970,9.5024,2,0.0000,FAIL
NoDOGE,W31,LONG_SKIP_CRISIS,BTC,400.3841,9.7229,21.2795,21,0.7143,PASS
NoDOGE,W32,SHORT,BTC,-15.0076,-6.1758,15.0076,3,0.0000,FAIL
NoDOGE,W32,LONG_SKIP_CRISIS,BTC,350.5094,8.7644,21.2795,21,0.7143,PASS
NoDOGE,W33,SHORT,BTC,54.1351,2.5613,10.7882,5,0.6000,PASS
NoDOGE,W33,LONG_SKIP_CRISIS,BTC,319.2739,8.3729,21.2795,20,0.7000,PASS
NoDOGE,W34,SHORT,BTC,33.3348,1.7622,13.0744,5,0.4000,PASS
NoDOGE,W34,LONG_SKIP_CRISIS,BTC,334.6415,8.4785,21.2795,21,0.7143,PASS
NoDOGE,W35,SHORT,BTC,41.2212,2.1137,7.1469,5,0.6000,PASS
NoDOGE,W35,LONG_SKIP_CRISIS,BTC,218.0538,6.4680,29.4658,21,0.6190,PASS
NoDOGE,W36,SHORT,BTC,40.8413,2.0981,7.1469,5,0.6000,PASS
NoDOGE,W36,LONG_SKIP_CRISIS,BTC,137.2893,5.0540,29.4658,18,0.6111,PASS
NoDOGE,W37,SHORT,BTC,33.9462,1.8126,11.3216,5,0.4000,PASS
NoDOGE,W37,LONG_SKIP_CRISIS,BTC,231.4382,7.1737,29.4658,16,0.6250,PASS
