step,ep_10,ep_21,ep_30,ep_35,ep_44
192,9.982527,14.268779,6.183204,6.758430,6.059078
193,9.982527,14.268779,6.183204,6.758430,6.059078
194,9.982527,14.570046,6.183204,6.758430,6.393618
195,9.982527,14.570046,6.183204,6.758430,6.393618
196,9.982527,14.570046,6.183204,6.758430,6.393618
197,9.982527,14.570046,6.183204,6.758430,6.393618
198,9.982527,14.570046,6.183204,6.758430,6.393618
199,9.982527,14.570046,6.183204,6.758430,6.393618
200,9.982527,14.570046,6.183204,6.758430,6.393618
201,8.256218,14.570046,6.183204,6.758430,6.393618
202,8.256218,14.570046,6.183204,6.758430,6.393618
203,8.256218,14.570046,6.183204,6.758430,6.393618
204,8.256218,14.570046,6.183204,6.758430,6.393618
205,8.256218,14.570046,6.183204,6.758430,6.393618
206,8.256218,14.570046,6.593974,6.758430,6.393618
207,8.256218,14.570046,6.070742,6.758430,6.393618
208,8.776146,14.570046,6.070742,6.758430,6.393618
209,10.913368,14.570046,7.809027,6.758430,6.393618
210,10.913368,14.570046,15.649040,6.758430,6.393618
211,10.913368,14.570046,15.649040,6.758430,6.393618
212,10.913368,14.570046,15.649040,6.758430,6.393618
213,19.617412,14.570046,12.144106,6.758430,6.393618
214,19.617412,14.570046,12.144106,6.758430,6.393618
215,19.617412,14.570046,12.144106,6.758430,6.393618
216,19.617412,14.570046,12.144106,6.758430,6.393618
217,19.617412,14.570046,12.144106,6.758430,6.393618
218,19.617412,14.570046,12.144106,6.758430,6.393618
219,19.617412,14.570046,12.144106,6.758430,6.393618
220,19.617412,14.570046,12.144106,6.758430,6.393618
221,22.671031,14.570046,12.144106,6.758430,6.393618
222,22.671031,14.570046,12.144106,6.758430,6.393618
223,22.671031,14.923438,12.144106,6.758430,6.393618
224,23.858863,14.923438,12.144106,12.742794,6.393618
225,23.858863,14.923438,12.144106,25.536150,6.393618
226,23.858863,14.236571,12.400512,25.536150,6.393618
227,23.858863,14.236571,12.400512,25.536150,6.393618
228,24.301532,14.236571,12.400512,19.816788,6.393618
229,24.301532,14.236571,12.400512,19.816788,6.393618
230,24.301532,14.236571,12.400512,19.816788,6.393618
231,24.301532,14.740459,12.400512,19.816788,6.393618
232,24.301532,14.740459,12.400512,19.816788,12.054952
233,24.301532,14.740459,12.400512,19.816788,24.157738
234,24.301532,14.740459,12.400512,19.816788,24.157738
235,29.904927,14.740459,12.400512,19.816788,24.157738
236,25.884182,14.740459,12.400512,19.816788,18.747100
237,34.905210,14.740459,12.400512,19.816788,18.747100
238,29.845735,14.740459,12.400512,19.816788,18.747100
239,29.845735,14.740459,12.400512,19.816788,18.747100
240,29.845735,14.740459,12.400512,19.816788,18.747100
241,29.845735,14.740459,12.400512,20.235193,18.747100
242,29.845735,14.740459,12.400512,20.235193,18.747100
243,29.845735,14.740459,12.400512,20.235193,18.747100
244,29.845735,14.740459,12.400512,20.235193,18.747100
245,29.845735,14.740459,12.400512,20.235193,18.747100
246,29.845735,14.740459,12.400512,20.235193,18.747100
247,29.845735,14.740459,12.400512,20.235193,18.747100
248,29.845735,13.506130,12.400512,20.235193,18.747100
249,28.857904,13.506130,12.400512,20.235193,19.142921
250,25.960779,13.506130,12.400512,20.235193,19.142921
251,23.471601,15.287540,12.400512,20.235193,19.142921
252,23.471601,15.287540,12.400512,20.235193,19.142921
253,23.471601,15.287540,12.400512,20.235193,19.142921
254,23.471601,15.287540,12.400512,20.235193,19.142921
255,23.471601,15.287540,12.400512,20.235193,19.142921
256,23.471601,15.287540,12.496034,20.235193,19.142921
257,23.471601,15.287540,12.812359,20.235193,19.142921
