hm,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass,equity_final
120,Legacy4,0,39.15,3.2607,21.86,22,45.45,true,1.391460
180,Legacy4,0,39.15,3.2607,21.86,22,45.45,true,1.391460
5,Legacy4,1,50.46,3.9904,14.12,24,54.17,true,1.504632
8,Legacy4,1,6.00,1.1617,29.14,19,52.63,true,1.059958
10,Legacy4,1,19.93,2.4893,13.50,18,55.56,true,1.199251
12,Legacy4,1,30.91,3.3377,16.95,18,55.56,true,1.309141
15,Legacy4,1,45.72,4.0187,20.76,16,62.50,true,1.457191
18,Legacy4,1,42.87,4.3567,16.02,15,66.67,true,1.428740
20,Legacy4,1,42.87,4.3567,16.02,15,66.67,true,1.428740
22,Legacy4,1,42.87,4.3567,16.02,15,66.67,true,1.428740
