universe,window,threshold,return_pct,sharpe,max_dd_pct,trades,pass
Legacy5BNB,1,5.0,-0.3902,0.517012,19.0987,13,1
Legacy5BNB,2,5.0,232.1567,12.291254,11.8602,13,1
Legacy5BNB,3,5.0,204.2840,20.941090,3.8592,9,1
Legacy5BNB,4,5.0,-2.9500,-3.631871,7.3935,4,0
Legacy5BNB,5,5.0,22.7579,3.989682,29.3099,10,1
Legacy5BNB,6,5.0,35.1446,6.384386,14.1112,11,1
OldGuardNoBNB,0,5.0,44.3086,10.151166,10.0818,9,1
OldGuardNoBNB,1,5.0,13.9659,5.594693,7.1470,10,1
OldGuardNoBNB,2,5.0,218.2821,11.178780,11.8602,14,1
OldGuardNoBNB,3,5.0,130.7401,15.504165,7.1780,11,1
OldGuardNoBNB,4,5.0,8.4869,4.590372,9.7094,8,1
OldGuardNoBNB,5,5.0,-36.6070,-2.159445,50.9441,12,0
OldGuardNoBNB,6,5.0,35.1446,6.384386,14.1112,11,1
LargeCaps5,0,5.0,233.5520,11.870369,14.9762,10,1
LargeCaps5,1,5.0,14.2086,6.307059,10.4424,10,1
LargeCaps5,2,5.0,53.2703,10.010193,8.1217,12,1
LargeCaps5,3,5.0,301.8126,21.749662,3.8592,11,1
LargeCaps5,4,5.0,21.8350,6.431123,5.2585,10,1
LargeCaps5,5,5.0,41.6347,5.648296,26.0880,11,1
LargeCaps5,6,5.0,33.2741,9.436322,5.3993,9,1
Legacy3,0,5.0,78.3807,12.429251,11.1305,12,1
Legacy3,1,5.0,39.4228,7.527496,18.1901,13,1
Legacy3,2,5.0,129.8595,10.962111,15.0347,13,1
Legacy3,3,5.0,81.8661,10.670323,13.1397,10,1
Legacy3,4,5.0,-8.8294,-7.343733,14.2711,7,0
Legacy3,5,5.0,48.8508,5.481926,24.7428,12,1
Legacy3,6,5.0,17.9694,3.436523,16.4371,13,1
LowVolume5,0,5.0,10.1867,2.987798,20.5825,10,1
LowVolume5,1,5.0,-9.0392,-0.360395,42.6916,13,0
LowVolume5,2,5.0,97.6512,9.711411,14.4181,13,1
LowVolume5,3,5.0,51.2049,6.289410,28.9260,12,1
LowVolume5,4,5.0,-23.9085,-2.807064,35.3129,11,0
LowVolume5,5,5.0,-46.6337,-7.327286,46.6337,11,0
LowVolume5,6,5.0,21.6205,3.093213,25.2744,14,1
OldGuard4,0,5.0,-0.1045,0.674824,27.4532,11,1
OldGuard4,1,5.0,7.5002,2.499185,16.0120,12,1
OldGuard4,2,5.0,129.8595,10.962111,15.0347,13,1
OldGuard4,3,5.0,81.8661,10.670323,13.1397,10,1
OldGuard4,4,5.0,23.4133,6.439559,14.2711,9,1
OldGuard4,5,5.0,-23.8991,-1.430546,45.6198,12,0
OldGuard4,6,5.0,16.6326,3.257907,16.4371,13,1
Base5,0,6.0,277.9921,13.226661,14.9762,10,1
Base5,1,6.0,169.1850,5.125020,20.3498,13,1
Base5,2,6.0,57.3721,10.129396,8.3326,13,1
Base5,3,6.0,280.6095,22.603494,4.5050,12,1
Base5,4,6.0,21.8350,6.431123,5.2585,10,1
Base5,5,6.0,41.6347,5.648296,26.0880,11,1
Base5,6,6.0,6.3951,2.292807,24.6230,9,1
NoDOGE,0,6.0,277.9921,13.226661,14.9762,10,1
NoDOGE,1,6.0,14.2086,6.307059,10.4424,10,1
NoDOGE,2,6.0,53.2703,10.010193,8.1217,12,1
NoDOGE,3,6.0,280.6095,22.603494,4.5050,12,1
NoDOGE,4,6.0,21.8350,6.431123,5.2585,10,1
NoDOGE,5,6.0,41.6347,5.648296,26.0880,11,1
NoDOGE,6,6.0,33.2741,9.436322,5.3993,9,1
Legacy4,0,6.0,24.4013,7.258523,11.1305,10,1
Legacy4,1,6.0,7.6920,2.237207,19.0987,13,1
Legacy4,2,6.0,218.2821,11.178780,11.8602,14,1
Legacy4,3,6.0,130.7401,15.504165,7.1780,11,1
Legacy4,4,6.0,-1.9728,-1.371264,9.7094,7,0
Legacy4,5,6.0,26.0784,3.697705,46.7958,12,1
Legacy4,6,6.0,35.1446,6.384386,14.1112,11,1
Legacy5BNB,0,6.0,38.5968,14.403057,4.1287,8,1
Legacy5BNB,1,6.0,-0.3902,0.517012,19.0987,13,1
Legacy5BNB,2,6.0,232.1567,12.291254,11.8602,13,1
Legacy5BNB,3,6.0,204.2840,20.941090,3.8592,9,1
Legacy5BNB,4,6.0,-2.9500,-3.631871,7.3935,4,0
Legacy5BNB,5,6.0,22.7579,3.989682,29.3099,10,1
Legacy5BNB,6,6.0,35.1446,6.384386,14.1112,11,1
OldGuardNoBNB,0,6.0,44.3086,10.151166,10.0818,9,1
OldGuardNoBNB,1,6.0,13.9659,5.594693,7.1470,10,1
OldGuardNoBNB,2,6.0,218.2821,11.178780,11.8602,14,1
OldGuardNoBNB,3,6.0,130.7401,15.504165,7.1780,11,1
OldGuardNoBNB,4,6.0,8.4869,4.590372,9.7094,8,1
