atr_entry_mult,universe,window,train_end,test_end,ret_pct,sharpe,trades,win_rate_pct,max_dd_pct,pass
0.50,OldGuard4,6,1764,2016,-33.3779,-1.2886,42,45.2381,66.7054,1
0.75,Base5,0,252,504,1424.6870,6.3492,36,61.1111,54.2644,1
0.75,Base5,1,504,756,30.0173,2.3521,29,51.7241,61.0799,1
0.75,Base5,2,756,1008,22.4132,1.7600,34,47.0588,56.3764,1
0.75,Base5,3,1008,1260,-4.1293,1.0945,52,44.2308,69.4982,1
0.75,Base5,4,1260,1512,-13.7891,0.0695,29,44.8276,53.3315,1
0.75,Base5,5,1512,1764,48.6482,3.2874,23,47.8261,26.9800,1
0.75,Base5,6,1764,2016,110.8506,3.9955,30,53.3333,43.3938,1
0.75,NoDOGE,0,252,504,1424.6870,6.3492,36,61.1111,54.2644,1
0.75,NoDOGE,1,504,756,87.0945,4.0540,25,52.0000,48.5548,1
0.75,NoDOGE,2,756,1008,617.1976,5.8133,34,52.9412,41.0188,1
0.75,NoDOGE,3,1008,1260,18.2841,1.5361,52,46.1538,69.4982,1
0.75,NoDOGE,4,1260,1512,-13.7891,0.0695,29,44.8276,53.3315,1
0.75,NoDOGE,5,1512,1764,34.7006,3.0942,19,42.1053,20.9065,1
0.75,NoDOGE,6,1764,2016,-1.1701,0.6011,25,48.0000,40.5086,1
0.75,Legacy4,0,252,504,-25.1706,-0.3705,34,44.1176,44.2528,1
0.75,Legacy4,1,504,756,38.4604,2.1745,33,42.4242,63.0577,1
0.75,Legacy4,2,756,1008,231.5777,4.1307,37,45.9459,38.7989,1
0.75,Legacy4,3,1008,1260,93.2785,2.8096,43,51.1628,65.6752,1
0.75,Legacy4,4,1260,1512,-1.8581,0.8348,21,47.6190,52.0600,1
0.75,Legacy4,5,1512,1764,-23.0460,-1.7685,14,42.8571,26.7775,1
0.75,Legacy4,6,1764,2016,-25.8496,-1.5232,27,44.4444,49.4041,1
0.75,Legacy5BNB,0,252,504,47.9013,2.2282,41,51.2195,38.4179,1
0.75,Legacy5BNB,1,504,756,81.4618,3.2973,32,46.8750,54.8084,1
0.75,Legacy5BNB,2,756,1008,216.0318,3.8394,40,45.0000,38.7989,1
0.75,Legacy5BNB,3,1008,1260,1179.4833,5.3301,47,55.3191,65.6752,1
0.75,Legacy5BNB,4,1260,1512,150.3989,6.1349,25,60.0000,27.4456,1
0.75,Legacy5BNB,5,1512,1764,2.4970,0.9592,18,44.4444,22.8650,1
0.75,Legacy5BNB,6,1764,2016,-39.3129,-2.7064,30,40.0000,58.5907,1
0.75,OldGuardNoBNB,0,252,504,21.0804,1.5353,41,46.3415,46.0279,1
0.75,OldGuardNoBNB,1,504,756,78.9533,2.9067,37,48.6486,59.9870,1
0.75,OldGuardNoBNB,2,756,1008,231.5777,4.1307,37,45.9459,38.7989,1
0.75,OldGuardNoBNB,3,1008,1260,93.2785,2.8096,43,51.1628,65.6752,1
0.75,OldGuardNoBNB,4,1260,1512,-1.8581,0.8348,21,47.6190,52.0600,1
0.75,OldGuardNoBNB,5,1512,1764,-2.7453,1.1905,19,47.3684,26.7775,1
0.75,OldGuardNoBNB,6,1764,2016,-30.3157,-1.9109,28,42.8571,52.4515,1
0.75,LargeCaps5,0,252,504,1882.7465,6.3433,41,63.4146,54.2644,1
0.75,LargeCaps5,1,504,756,74.3477,3.6089,26,50.0000,48.5548,1
0.75,LargeCaps5,2,756,1008,682.5240,5.9235,35,54.2857,37.8033,1
0.75,LargeCaps5,3,1008,1260,367.3420,3.7004,50,48.0000,64.1817,1
0.75,LargeCaps5,4,1260,1512,115.0326,4.2034,33,54.5455,35.9544,1
0.75,LargeCaps5,5,1512,1764,34.7006,3.0942,19,42.1053,20.9065,1
0.75,LargeCaps5,6,1764,2016,-5.9986,0.2496,26,46.1538,43.4152,1
0.75,Legacy3,0,252,504,2.5069,1.0189,32,50.0000,38.9689,1
0.75,Legacy3,1,504,756,25.0094,1.7574,34,41.1765,52.6878,1
0.75,Legacy3,2,756,1008,83.1245,2.8773,32,40.6250,46.1059,1
0.75,Legacy3,3,1008,1260,157.3234,3.4609,42,52.3810,66.6034,1
0.75,Legacy3,4,1260,1512,-35.9329,-1.4735,23,39.1304,56.2435,1
0.75,Legacy3,5,1512,1764,-39.6444,-4.9503,14,35.7143,42.3482,1
0.75,Legacy3,6,1764,2016,-39.5984,-3.4196,26,42.3077,51.7040,1
0.75,LowVolume5,0,252,504,135.1177,3.4089,38,50.0000,33.4189,1
0.75,LowVolume5,1,504,756,2.4594,1.1119,31,38.7097,66.2007,1
0.75,LowVolume5,2,756,1008,527.8470,4.2869,48,47.9167,44.3836,1
0.75,LowVolume5,3,1008,1260,355.9864,4.2566,45,57.7778,68.9737,1
0.75,LowVolume5,4,1260,1512,-61.2905,-3.9549,22,27.2727,73.5121,1
0.75,LowVolume5,5,1512,1764,-27.8138,-0.1166,25,48.0000,41.3830,1
0.75,LowVolume5,6,1764,2016,-60.4028,-6.8430,23,26.0870,67.2108,1
0.75,OldGuard4,0,252,504,24.2699,1.6473,39,48.7179,38.7631,1
0.75,OldGuard4,1,504,756,-35.7012,-0.9561,35,40.0000,66.9357,1
0.75,OldGuard4,2,756,1008,62.7740,2.4978,34,41.1765,45.7543,1
0.75,OldGuard4,3,1008,1260,157.3234,3.4609,42,52.3810,66.6034,1
0.75,OldGuard4,4,1260,1512,-18.0563,0.2242,29,41.3793,65.1715,1
0.75,OldGuard4,5,1512,1764,-38.5840,-0.8035,23,39.1304,49.6707,1
0.75,OldGuard4,6,1764,2016,-52.0646,-4.3125,30,40.0000,64.4235,1
0.90,Base5,0,252,504,1411.7852,6.6697,33,60.6061,50.4187,1
0.90,Base5,1,504,756,6.0008,2.0663,25,48.0000,65.3307,1
0.90,Base5,2,756,1008,135.7168,3.5219,32,53.1250,48.8324,1
0.90,Base5,3,1008,1260,16.6539,1.4909,44,47.7273,49.1060,1
0.90,Base5,4,1260,1512,6.8236,1.3982,17,47.0588,35.2437,1
0.90,Base5,5,1512,1764,125.6517,7.0165,20,60.0000,16.0936,1
0.90,Base5,6,1764,2016,131.9456,5.1409,25,60.0000,38.2055,1
0.90,NoDOGE,0,252,504,1411.7852,6.6697,33,60.6061,50.4187,1
0.90,NoDOGE,1,504,756,19.7448,2.0627,20,45.0000,55.2290,1
0.90,NoDOGE,2,756,1008,788.1311,6.9593,30,60.0000,37.8033,1
0.90,NoDOGE,3,1008,1260,43.9261,2.0368,44,50.0000,49.1060,1
0.90,NoDOGE,4,1260,1512,6.8236,1.3982,17,47.0588,35.2437,1
0.90,NoDOGE,5,1512,1764,104.4789,8.0110,16,56.2500,12.9597,1
0.90,NoDOGE,6,1764,2016,8.7175,1.4747,20,55.0000,28.0501,1
0.90,Legacy4,0,252,504,-25.8038,-0.4909,31,41.9355,39.5653,1
0.90,Legacy4,1,504,756,14.1750,1.5517,27,40.7407,58.5785,1
0.90,Legacy4,2,756,1008,213.7598,4.1776,34,50.0000,61.0280,1
0.90,Legacy4,3,1008,1260,25.0333,1.9390,35,51.4286,63.6387,1
0.90,Legacy4,4,1260,1512,-5.2698,0.3803,12,50.0000,34.1135,1
0.90,Legacy4,5,1512,1764,12.3699,2.6031,10,50.0000,23.6282,1
0.90,Legacy4,6,1764,2016,16.1560,1.9939,22,54.5455,28.2766,1
0.90,Legacy5BNB,0,252,504,46.6498,2.2950,38,50.0000,33.2398,1
0.90,Legacy5BNB,1,504,756,47.8424,2.7021,28,46.4286,58.5785,1
0.90,Legacy5BNB,2,756,1008,220.4265,4.1001,36,50.0000,61.0280,1
0.90,Legacy5BNB,3,1008,1260,506.5807,4.9345,37,56.7568,63.6387,1
0.90,Legacy5BNB,4,1260,1512,143.9172,9.0353,17,70.5882,16.9381,1
0.90,Legacy5BNB,5,1512,1764,43.5285,6.1364,13,53.8462,7.8717,1
0.90,Legacy5BNB,6,1764,2016,9.2943,1.3963,23,52.1739,32.5136,1
0.90,OldGuardNoBNB,0,252,504,3.5255,1.0562,36,44.4444,43.7135,1
0.90,OldGuardNoBNB,1,504,756,-10.6981,0.5344,30,40.0000,71.0789,1
0.90,OldGuardNoBNB,2,756,1008,213.7598,4.1776,34,50.0000,61.0280,1
0.90,OldGuardNoBNB,3,1008,1260,25.0333,1.9390,35,51.4286,63.6387,1
0.90,OldGuardNoBNB,4,1260,1512,-5.2698,0.3803,12,50.0000,34.1135,1
0.90,OldGuardNoBNB,5,1512,1764,42.0135,3.2887,15,53.3333,23.6282,1
0.90,OldGuardNoBNB,6,1764,2016,9.1598,1.3853,23,52.1739,32.0628,1
0.90,LargeCaps5,0,252,504,1865.9686,6.6228,38,63.1579,50.4187,1
0.90,LargeCaps5,1,504,756,19.7448,2.0627,20,45.0000,55.2290,1
0.90,LargeCaps5,2,756,1008,869.0271,7.0634,31,61.2903,37.8033,1
0.90,LargeCaps5,3,1008,1260,311.1007,4.0708,39,51.2821,44.5620,1
0.90,LargeCaps5,4,1260,1512,123.7385,6.0594,23,60.8696,25.4390,1
0.90,LargeCaps5,5,1512,1764,104.4789,8.0110,16,56.2500,12.9597,1
0.90,LargeCaps5,6,1764,2016,8.7175,1.4747,20,55.0000,28.0501,1
0.90,Legacy3,0,252,504,28.3218,2.1747,26,50.0000,36.5545,1
0.90,Legacy3,1,504,756,48.8640,2.7481,27,44.4444,49.5041,1
0.90,Legacy3,2,756,1008,89.9626,3.1609,29,44.8276,49.4972,1
0.90,Legacy3,3,1008,1260,48.5589,2.4711,34,50.0000,68.4806,1
0.90,Legacy3,4,1260,1512,-34.6952,-2.0705,17,35.2941,53.2979,1
0.90,Legacy3,5,1512,1764,-30.7869,-4.3294,10,30.0000,30.7869,1
0.90,Legacy3,6,1764,2016,-0.2605,0.5416,21,52.3810,27.2600,1
0.90,LowVolume5,0,252,504,121.9640,3.5560,33,48.4848,36.4630,1
0.90,LowVolume5,1,504,756,-24.9576,-0.2261,24,29.1667,70.9469,1
0.90,LowVolume5,2,756,1008,839.8278,5.3492,42,52.3810,42.6696,1
0.90,LowVolume5,3,1008,1260,247.7730,4.4322,36,58.3333,70.7176,1
0.90,LowVolume5,4,1260,1512,-45.8747,-3.2189,17,29.4118,60.9248,1
0.90,LowVolume5,5,1512,1764,-12.4895,0.6837,19,47.3684,31.8727,1
0.90,LowVolume5,6,1764,2016,-44.2862,-5.3218,18,27.7778,54.7617,1
0.90,OldGuard4,0,252,504,4.8852,1.1255,33,45.4545,39.1168,1
0.90,OldGuard4,1,504,756,-45.2539,-2.1179,28,35.7143,69.1049,1
0.90,OldGuard4,2,756,1008,68.8522,2.7496,31,45.1613,49.4972,1
0.90,OldGuard4,3,1008,1260,48.5589,2.4711,34,50.0000,68.4806,1
0.90,OldGuard4,4,1260,1512,-22.1656,-0.3515,21,38.0952,57.9503,1
0.90,OldGuard4,5,1512,1764,-25.7961,-0.0908,17,35.2941,35.6387,1
0.90,OldGuard4,6,1764,2016,-20.8457,-1.3172,25,48.0000,46.4173,1
1.00,Base5,0,252,504,918.7889,6.2914,30,60.0000,50.4187,1
1.00,Base5,1,504,756,5.3997,2.0966,24,45.8333,65.3307,1
1.00,Base5,2,756,1008,63.0998,2.7401,30,53.3333,43.0982,1
1.00,Base5,3,1008,1260,33.6955,1.9042,40,45.0000,44.5620,1
1.00,Base5,4,1260,1512,13.6433,2.1952,14,57.1429,32.7146,1
1.00,Base5,5,1512,1764,52.9668,4.7232,18,55.5556,16.0936,1
1.00,Base5,6,1764,2016,79.7250,3.9405,24,54.1667,38.2055,1
1.00,NoDOGE,0,252,504,918.7889,6.2914,30,60.0000,50.4187,1
1.00,NoDOGE,1,504,756,-21.6662,-0.9420,17,35.2941,55.4828,1
1.00,NoDOGE,2,756,1008,450.3472,6.1996,29,58.6207,37.8033,1
