universe,cooldown,window,ret,sharpe,trades,max_dd,pass
LargeCaps5,28,4,22.94,0.823,15,23.04,true
LargeCaps5,28,5,-54.01,-1.705,18,70.46,false
LargeCaps5,28,6,24.32,0.764,23,45.51,true
LargeCaps5,28,7,88.21,1.158,19,27.18,true
LargeCaps5,28,8,-71.80,-2.785,25,72.31,false
LargeCaps5,28,9,234.63,2.218,15,15.02,true
Legacy3,0,0,119.70,1.438,27,39.27,true
Legacy3,0,1,-12.16,0.107,27,39.50,true
Legacy3,0,2,-70.36,-1.044,36,72.51,false
Legacy3,0,3,-11.48,0.605,34,71.89,true
Legacy3,0,4,-47.72,-1.164,20,64.14,false
Legacy3,0,5,-81.00,-4.108,30,83.90,false
Legacy3,0,6,-17.74,-0.123,24,42.94,false
Legacy3,0,7,-51.85,-0.712,33,54.21,false
Legacy3,0,8,23.48,0.743,32,42.09,true
Legacy3,0,9,74.54,1.430,14,28.51,true
Legacy3,10,0,68.37,1.142,21,40.43,true
Legacy3,10,1,-30.74,-0.846,22,41.08,false
Legacy3,10,2,-35.42,-0.116,24,58.31,false
Legacy3,10,3,118.83,1.283,22,40.60,true
Legacy3,10,4,-42.10,-1.125,16,51.11,false
Legacy3,10,5,-66.42,-3.138,21,70.29,false
Legacy3,10,6,30.20,0.906,17,23.86,true
Legacy3,10,7,-47.43,-0.962,22,52.25,false
Legacy3,10,8,67.20,1.135,24,36.48,true
Legacy3,10,9,78.28,1.473,13,26.98,true
Legacy3,4,0,189.37,1.790,24,27.25,true
Legacy3,4,1,-28.92,-0.427,26,40.31,false
Legacy3,4,2,-43.77,-0.250,27,62.13,false
Legacy3,4,3,69.28,1.047,28,49.11,true
Legacy3,4,4,-32.03,-0.657,17,54.23,false
Legacy3,4,5,-79.81,-3.993,26,82.65,false
Legacy3,4,6,-15.79,-0.066,23,43.57,false
Legacy3,4,7,-60.53,-1.203,31,60.53,false
Legacy3,4,8,97.52,1.203,26,36.48,true
Legacy3,4,9,78.28,1.473,13,26.98,true
Legacy3,28,0,154.49,1.885,16,22.30,true
Legacy3,28,1,-9.00,-0.103,14,29.81,false
Legacy3,28,2,-38.19,-0.764,14,49.29,false
Legacy3,28,3,70.14,1.244,14,44.72,true
Legacy3,28,4,-41.35,-1.513,11,41.35,false
Legacy3,28,5,-51.49,-2.826,15,57.25,false
Legacy3,28,6,0.40,0.253,14,42.39,true
Legacy3,28,7,-44.55,-0.972,17,44.55,false
Legacy3,28,8,-16.93,-0.279,16,32.81,false
Legacy3,28,9,94.41,1.716,8,16.93,true
LowVolume5,0,0,7.91,0.657,37,43.26,true
LowVolume5,0,1,-69.10,-1.343,35,73.54,false
LowVolume5,0,2,-60.46,-0.187,42,78.72,false
LowVolume5,0,3,-20.73,0.634,39,74.73,true
LowVolume5,0,4,-81.35,-3.108,27,81.90,false
LowVolume5,0,5,-71.08,-1.289,36,81.83,false
LowVolume5,0,6,-74.97,-2.395,33,77.84,false
LowVolume5,0,7,-81.98,-2.895,42,82.87,false
LowVolume5,0,8,-34.27,0.139,35,53.28,true
LowVolume5,0,9,98.24,1.655,14,15.47,true
LowVolume5,10,0,-48.13,-0.300,29,59.46,false
LowVolume5,10,1,-42.51,-0.856,28,46.07,false
LowVolume5,10,2,2.43,0.591,28,62.40,true
LowVolume5,10,3,217.85,1.633,27,39.31,true
LowVolume5,10,4,-72.30,-2.921,19,74.64,false
LowVolume5,10,5,-19.90,0.056,25,56.30,true
LowVolume5,10,6,-35.64,-0.662,24,50.01,false
LowVolume5,10,7,-69.33,-2.250,28,71.83,false
LowVolume5,10,8,9.17,0.582,24,49.19,true
LowVolume5,10,9,102.48,1.698,13,15.02,true
LowVolume5,4,0,74.60,1.183,32,38.05,true
LowVolume5,4,1,-64.94,-1.381,33,64.94,false
LowVolume5,4,2,20.69,0.793,32,70.81,true
LowVolume5,4,3,83.37,1.196,33,55.39,true
LowVolume5,4,4,-73.57,-2.846,21,75.81,false
LowVolume5,4,5,-59.92,-0.893,31,74.81,false
LowVolume5,4,6,-68.76,-2.017,30,72.86,false
LowVolume5,4,7,-82.71,-3.026,38,82.71,false
LowVolume5,4,8,-24.37,0.293,29,57.29,true
LowVolume5,4,9,102.48,1.698,13,15.02,true
LowVolume5,28,0,46.08,1.000,22,29.59,true
LowVolume5,28,1,6.39,0.430,15,31.08,true
LowVolume5,28,2,-21.26,0.057,17,50.82,true
LowVolume5,28,3,3.97,0.493,18,27.79,true
LowVolume5,28,4,-58.52,-2.518,13,58.52,false
LowVolume5,28,5,-55.12,-0.919,20,76.27,false
LowVolume5,28,6,-42.64,-1.411,20,53.12,false
LowVolume5,28,7,-59.29,-1.821,19,65.79,false
LowVolume5,28,8,-47.48,-1.296,16,52.47,false
LowVolume5,28,9,101.69,1.752,9,15.02,true
OldGuard4,0,0,144.31,1.523,34,55.84,true
OldGuard4,0,1,-61.83,-1.095,33,73.84,false
