mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.2,OldGuard4,1,-67.33,-6.4554,67.33,13,30.77,false
0.2,OldGuard4,2,-39.52,-0.9873,50.92,12,33.33,false
0.2,OldGuard4,3,35.04,2.7091,43.04,14,57.14,true
0.2,OldGuard4,4,2.51,1.3463,38.90,11,36.36,true
0.2,OldGuard4,5,2.40,1.4114,56.39,14,42.86,true
0.25,Base5,0,278.66,6.3121,27.57,12,75.00,true
0.25,Base5,1,173.08,3.8327,56.65,11,72.73,true
0.25,Base5,2,170.34,5.7167,28.09,12,66.67,true
0.25,Base5,3,6.52,2.2865,59.52,16,56.25,true
0.25,Base5,4,101.30,7.1148,9.24,9,66.67,true
0.25,Base5,5,62.66,3.9497,31.85,12,50.00,true
0.25,NoDOGE,0,278.66,6.3121,27.57,12,75.00,true
0.25,NoDOGE,1,-14.17,-0.5011,29.77,8,37.50,false
0.25,NoDOGE,2,192.82,5.0353,41.60,14,57.14,true
0.25,NoDOGE,3,183.78,6.1553,59.52,16,62.50,true
0.25,NoDOGE,4,101.30,7.1148,9.24,9,66.67,true
0.25,NoDOGE,5,3.71,1.1719,34.20,11,45.45,true
0.25,Legacy4,0,77.94,4.2293,38.88,15,53.33,true
0.25,Legacy4,1,-25.34,-1.4257,36.99,12,33.33,false
0.25,Legacy4,2,-4.05,0.4990,42.72,11,54.55,false
0.25,Legacy4,3,-7.41,1.4446,61.85,15,60.00,false
0.25,Legacy4,4,-11.33,-0.0856,33.96,9,44.44,false
0.25,Legacy4,5,15.97,1.9756,37.22,10,60.00,true
0.25,Legacy5BNB,0,112.39,5.0951,38.88,16,56.25,true
0.25,Legacy5BNB,1,-44.44,-4.0738,51.14,12,33.33,false
0.25,Legacy5BNB,2,-19.46,-0.4240,42.72,11,54.55,false
0.25,Legacy5BNB,3,12.74,2.3983,53.55,14,64.29,true
0.25,Legacy5BNB,4,45.05,4.6728,12.91,8,62.50,true
0.25,Legacy5BNB,5,-18.32,-0.8219,37.22,10,50.00,false
0.25,OldGuardNoBNB,0,33.10,3.1402,37.68,17,47.06,true
0.25,OldGuardNoBNB,1,-51.02,-4.6970,58.76,11,36.36,false
0.25,OldGuardNoBNB,2,-8.76,0.2299,42.72,11,54.55,false
0.25,OldGuardNoBNB,3,-7.41,1.4446,61.85,15,60.00,false
0.25,OldGuardNoBNB,4,-9.68,0.0491,33.96,10,50.00,false
0.25,OldGuardNoBNB,5,104.35,5.4913,37.22,12,66.67,true
0.25,LargeCaps5,0,375.95,7.1444,24.72,13,76.92,true
0.25,LargeCaps5,1,-14.17,-0.5011,29.77,8,37.50,false
0.25,LargeCaps5,2,192.82,5.0353,41.60,14,57.14,true
0.25,LargeCaps5,3,-9.58,1.4109,59.52,15,53.33,false
0.25,LargeCaps5,4,67.09,5.9892,12.91,9,66.67,true
0.25,LargeCaps5,5,3.71,1.1719,34.20,11,45.45,true
0.25,Legacy3,0,74.77,4.1018,28.95,14,50.00,true
0.25,Legacy3,1,50.18,4.1614,33.76,12,50.00,true
0.25,Legacy3,2,-41.75,-1.9472,45.95,11,36.36,false
0.25,Legacy3,3,32.77,2.4715,50.34,14,64.29,true
0.25,Legacy3,4,-21.19,-1.1630,30.40,10,30.00,false
0.25,Legacy3,5,-16.35,-0.5661,42.84,11,45.45,false
0.25,LowVolume5,0,7.81,1.9713,49.25,17,47.06,true
0.25,LowVolume5,1,3.51,1.4690,36.68,14,50.00,true
0.25,LowVolume5,2,545.65,7.0431,28.09,11,81.82,true
0.25,LowVolume5,3,183.65,5.4133,49.06,15,60.00,true
0.25,LowVolume5,4,-46.20,-5.1932,46.20,12,16.67,false
0.25,LowVolume5,5,-75.07,-4.0911,76.57,15,26.67,false
0.25,OldGuard4,0,150.12,5.4944,34.68,17,52.94,true
0.25,OldGuard4,1,-4.75,0.5655,36.22,12,58.33,false
0.25,OldGuard4,2,-24.88,-0.1103,43.45,11,45.45,false
0.25,OldGuard4,3,32.77,2.4715,50.34,14,64.29,true
0.25,OldGuard4,4,2.51,1.3463,38.90,11,36.36,true
0.25,OldGuard4,5,24.52,2.4763,50.17,14,42.86,true
0.3,Base5,0,254.84,6.0740,27.57,12,66.67,true
0.3,Base5,1,205.33,4.0154,52.95,11,72.73,true
0.3,Base5,2,148.54,5.3178,28.09,12,58.33,true
0.3,Base5,3,1.70,2.0729,59.52,16,56.25,true
0.3,Base5,4,101.30,7.1148,9.24,9,66.67,true
0.3,Base5,5,62.66,3.9497,31.85,12,50.00,true
0.3,NoDOGE,0,254.84,6.0740,27.57,12,66.67,true
0.3,NoDOGE,1,-20.53,-1.9646,30.12,8,37.50,false
0.3,NoDOGE,2,169.21,4.7690,41.60,14,50.00,true
0.3,NoDOGE,3,170.94,5.9777,59.52,16,62.50,true
0.3,NoDOGE,4,101.30,7.1148,9.24,9,66.67,true
0.3,NoDOGE,5,3.71,1.1719,34.20,11,45.45,true
0.3,Legacy4,0,45.51,3.2493,38.88,15,53.33,true
0.3,Legacy4,1,-58.07,-5.9611,63.12,13,15.38,false
0.3,Legacy4,2,-4.05,0.4990,42.72,11,54.55,false
0.3,Legacy4,3,72.21,3.5693,61.85,15,60.00,true
0.3,Legacy4,4,-11.33,-0.0856,33.96,9,44.44,false
0.3,Legacy4,5,15.97,1.9756,37.22,10,60.00,true
0.3,Legacy5BNB,0,50.01,3.4467,38.88,16,56.25,true
0.3,Legacy5BNB,1,-55.23,-5.4281,60.63,12,16.67,false
0.3,Legacy5BNB,2,-19.46,-0.4240,42.72,11,54.55,false
0.3,Legacy5BNB,3,109.67,4.2598,53.55,14,64.29,true
0.3,Legacy5BNB,4,45.05,4.6728,12.91,8,62.50,true
0.3,Legacy5BNB,5,-18.32,-0.8219,37.22,10,50.00,false
0.3,OldGuardNoBNB,0,30.66,3.0113,38.82,16,50.00,true
0.3,OldGuardNoBNB,1,-51.02,-4.6970,58.76,11,36.36,false
0.3,OldGuardNoBNB,2,-8.76,0.2299,42.72,11,54.55,false
0.3,OldGuardNoBNB,3,72.21,3.5693,61.85,15,60.00,true
0.3,OldGuardNoBNB,4,-9.68,0.0491,33.96,10,50.00,false
0.3,OldGuardNoBNB,5,104.35,5.4913,37.22,12,66.67,true
0.3,LargeCaps5,0,375.95,7.1444,24.72,13,76.92,true
0.3,LargeCaps5,1,-20.53,-1.9646,30.12,8,37.50,false
0.3,LargeCaps5,2,169.21,4.7690,41.60,14,50.00,true
0.3,LargeCaps5,3,-13.67,1.1831,59.52,15,53.33,false
0.3,LargeCaps5,4,67.09,5.9892,12.91,9,66.67,true
0.3,LargeCaps5,5,3.71,1.1719,34.20,11,45.45,true
0.3,Legacy3,0,42.93,3.1188,39.99,14,50.00,true
0.3,Legacy3,1,-20.14,-0.3894,52.75,13,38.46,false
0.3,Legacy3,2,-41.75,-1.9472,45.95,11,36.36,false
