hedge_atr_period,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
31,Legacy3,4,0.86543051,-13.4569,-1.047187,25.9615,44,40.9091,false
31,Legacy3,5,1.06218580,6.2186,1.203200,6.4753,34,29.4118,true
31,Legacy3,6,1.02086530,2.0865,0.548596,4.1013,48,47.9167,true
31,LowVolume5,0,1.23050114,23.0501,1.704773,9.0450,45,51.1111,true
31,LowVolume5,1,1.12052090,12.0521,1.573556,9.5251,65,50.7692,true
31,LowVolume5,2,1.18638354,18.6384,1.624632,6.4931,47,44.6809,true
31,LowVolume5,3,0.92611222,-7.3888,-0.353329,21.5918,45,42.2222,false
31,LowVolume5,4,0.83822042,-16.1780,-1.094845,27.1522,49,38.7755,false
31,LowVolume5,5,1.23832395,23.8324,2.368775,6.9682,46,39.1304,true
31,LowVolume5,6,0.91986396,-8.0136,-1.768210,8.6797,45,40.0000,false
31,OldGuard4,0,1.17870927,17.8709,1.502020,8.4533,37,45.9459,true
31,OldGuard4,1,1.20110204,20.1102,2.685863,4.4304,58,56.8966,true
31,OldGuard4,2,1.32388151,32.3882,2.505482,4.7841,44,47.7273,true
31,OldGuard4,3,1.03832222,3.8322,0.361733,14.6409,40,47.5000,true
31,OldGuard4,4,0.88999364,-11.0006,-0.677828,30.4537,51,39.2157,false
31,OldGuard4,5,1.03917476,3.9175,0.717507,7.1572,42,30.9524,true
31,OldGuard4,6,0.97649224,-2.3508,-0.505539,5.4496,54,42.5926,false
32,Base5,0,1.54018553,54.0186,2.689811,5.3383,55,47.2727,true
32,Base5,1,1.18461405,18.4614,1.604207,8.2966,77,49.3506,true
32,Base5,2,1.63515522,63.5155,3.713643,4.9794,67,64.1791,true
32,Base5,3,0.99452603,-0.5474,0.041030,17.2380,36,55.5556,false
32,Base5,4,1.01424743,1.4247,0.220623,15.7072,61,50.8197,true
32,Base5,5,1.23747776,23.7478,2.339401,5.1254,54,48.1481,true
32,NoDOGE,0,1.33164760,33.1648,2.107903,5.6809,44,47.7273,true
32,NoDOGE,1,1.18373975,18.3740,1.614659,7.7838,71,50.7042,true
32,NoDOGE,2,1.46882138,46.8821,3.054925,6.9757,60,61.6667,true
32,NoDOGE,3,0.96799748,-3.2003,-0.194476,18.0266,31,54.8387,false
32,NoDOGE,4,0.94886463,-5.1135,-0.147237,19.8182,50,50.0000,false
32,NoDOGE,5,1.20029188,20.0292,2.105926,4.6954,41,46.3415,true
32,Legacy4,0,1.48550895,48.5509,2.834629,6.8028,40,52.5000,true
32,Legacy4,1,1.33528132,33.5281,3.284264,4.3924,64,60.9375,true
32,Legacy4,2,1.46809371,46.8094,2.767932,5.8794,43,55.8140,true
32,Legacy4,3,0.97381632,-2.6184,-0.162144,8.6028,30,56.6667,false
32,Legacy4,4,0.83911559,-16.0884,-0.888353,28.9646,55,40.0000,false
32,Legacy4,5,1.05748982,5.7490,1.019492,6.4808,39,30.7692,true
32,Legacy4,6,1.03400451,3.4005,0.738002,5.5245,56,46.4286,true
32,Legacy5BNB,0,1.67117350,67.1174,3.154346,6.8028,47,55.3191,true
32,Legacy5BNB,1,1.27711299,27.7113,2.712339,4.5448,74,54.0541,true
32,Legacy5BNB,2,1.51813812,51.8138,2.684482,7.5456,55,52.7273,true
32,Legacy5BNB,3,0.93195068,-6.8049,-0.396125,13.6142,37,54.0541,false
32,Legacy5BNB,4,0.98043663,-1.9563,0.027015,26.3902,57,45.6140,false
32,Legacy5BNB,5,1.05928733,5.9287,1.033940,6.0887,43,30.2326,true
32,Legacy5BNB,6,1.05981081,5.9811,1.183020,5.0630,68,48.5294,true
32,OldGuardNoBNB,0,1.41164834,41.1648,2.418823,7.8431,43,51.1628,true
32,OldGuardNoBNB,1,1.28332193,28.3322,2.810561,4.8377,66,57.5758,true
32,OldGuardNoBNB,2,1.52276160,52.2762,2.916222,5.8794,52,50.0000,true
32,OldGuardNoBNB,3,1.05466391,5.4664,0.464539,12.6254,44,50.0000,true
32,OldGuardNoBNB,4,0.87833431,-12.1666,-0.546096,33.0764,61,39.3443,false
32,OldGuardNoBNB,5,1.04016318,4.0163,0.706176,6.8457,46,32.6087,true
32,OldGuardNoBNB,6,1.00922513,0.9225,0.215628,7.0152,62,45.1613,true
32,LargeCaps5,0,1.47278243,47.2782,2.679061,5.6809,53,49.0566,true
32,LargeCaps5,1,1.14781686,14.7817,1.313359,7.7868,80,47.5000,true
32,LargeCaps5,2,1.57335485,57.3355,3.202698,8.1018,72,58.3333,true
32,LargeCaps5,3,0.92638200,-7.3618,-0.547632,17.3388,38,52.6316,false
32,LargeCaps5,4,1.15759987,15.7600,0.910259,19.0614,54,53.7037,true
32,LargeCaps5,5,1.19078566,19.0786,2.013356,4.6954,46,43.4783,true
32,Legacy3,0,1.26119070,26.1191,2.223793,6.2433,33,48.4848,true
32,Legacy3,1,1.25010986,25.0110,3.349709,4.4304,55,60.0000,true
32,Legacy3,2,1.26018761,26.0188,2.242496,3.9350,34,52.9412,true
32,Legacy3,3,0.95872734,-4.1273,-0.315739,9.5233,26,53.8462,false
32,Legacy3,4,0.86543051,-13.4569,-1.047187,25.9615,44,40.9091,false
32,Legacy3,5,1.06218580,6.2186,1.203200,6.4753,34,29.4118,true
32,Legacy3,6,1.02086530,2.0865,0.548596,4.1013,48,47.9167,true
32,LowVolume5,0,1.26641103,26.6411,1.889073,9.0450,45,51.1111,true
32,LowVolume5,1,1.12052090,12.0521,1.573556,9.5251,65,50.7692,true
32,LowVolume5,2,1.18638354,18.6384,1.624632,6.4931,47,44.6809,true
32,LowVolume5,3,0.92611222,-7.3888,-0.353329,21.5918,45,42.2222,false
32,LowVolume5,4,0.83822042,-16.1780,-1.094845,27.1522,49,38.7755,false
32,LowVolume5,5,1.22830932,22.8309,2.217802,6.9682,46,39.1304,true
32,LowVolume5,6,0.91986396,-8.0136,-1.768210,8.6797,45,40.0000,false
32,OldGuard4,0,1.17870927,17.8709,1.502020,8.4533,37,45.9459,true
32,OldGuard4,1,1.20110204,20.1102,2.685863,4.4304,58,56.8966,true
32,OldGuard4,2,1.32388151,32.3882,2.505482,4.7841,44,47.7273,true
32,OldGuard4,3,1.03832222,3.8322,0.361733,14.6409,40,47.5000,true
32,OldGuard4,4,0.88999364,-11.0006,-0.677828,30.4537,51,39.2157,false
32,OldGuard4,5,1.03917476,3.9175,0.717507,7.1572,42,30.9524,true
32,OldGuard4,6,0.97649224,-2.3508,-0.505539,5.4496,54,42.5926,false
33,Base5,0,1.54018553,54.0186,2.689811,5.3383,55,47.2727,true
33,Base5,1,1.18461405,18.4614,1.604207,8.2966,77,49.3506,true
33,Base5,2,1.63515522,63.5155,3.713643,4.9794,67,64.1791,true
33,Base5,3,1.03458346,3.4583,0.408064,13.9046,36,55.5556,true
33,Base5,4,1.00391989,0.3920,0.175548,15.7072,61,50.8197,true
33,Base5,5,1.23747776,23.7478,2.339401,5.1254,54,48.1481,true
33,NoDOGE,0,1.33164760,33.1648,2.107903,5.6809,44,47.7273,true
33,NoDOGE,1,1.18373975,18.3740,1.614659,7.7838,71,50.7042,true
33,NoDOGE,2,1.46882138,46.8821,3.054925,6.9757,60,61.6667,true
33,NoDOGE,3,1.00698640,0.6986,0.145165,14.7248,31,54.8387,true
33,NoDOGE,4,0.93920284,-6.0797,-0.188350,20.0534,50,50.0000,false
33,NoDOGE,5,1.20029188,20.0292,2.105926,4.6954,41,46.3415,true
33,Legacy4,0,1.48550895,48.5509,2.834629,6.8028,40,52.5000,true
33,Legacy4,1,1.33528132,33.5281,3.284264,4.3924,64,60.9375,true
33,Legacy4,2,1.46809371,46.8094,2.767932,5.8794,43,55.8140,true
33,Legacy4,3,0.95902526,-4.0975,-0.330058,8.6680,30,56.6667,false
33,Legacy4,4,0.83491901,-16.5081,-0.907402,28.9646,55,40.0000,false
33,Legacy4,5,1.05748982,5.7490,1.019492,6.4808,39,30.7692,true
33,Legacy4,6,1.04951836,4.9518,0.966177,5.5245,56,46.4286,true
33,Legacy5BNB,0,1.67117350,67.1174,3.154346,6.8028,47,55.3191,true
33,Legacy5BNB,1,1.27711299,27.7113,2.712339,4.5448,74,54.0541,true
33,Legacy5BNB,2,1.51813812,51.8138,2.684482,7.5456,55,52.7273,true
33,Legacy5BNB,3,0.91779551,-8.2204,-0.538416,13.6142,37,54.0541,false
33,Legacy5BNB,4,0.97553327,-2.4467,0.001786,26.3902,57,45.6140,false
33,Legacy5BNB,5,1.05928733,5.9287,1.033940,6.0887,43,30.2326,true
33,Legacy5BNB,6,1.07571185,7.5712,1.368597,5.0630,68,48.5294,true
33,OldGuardNoBNB,0,1.41164834,41.1648,2.418823,7.8431,43,51.1628,true
33,OldGuardNoBNB,1,1.28332193,28.3322,2.810561,4.8377,66,57.5758,true
33,OldGuardNoBNB,2,1.52276160,52.2762,2.916222,5.8794,52,50.0000,true
33,OldGuardNoBNB,3,1.05497493,5.4975,0.476567,12.1052,44,50.0000,true
