atr_period,universe,window,day,equity
100,Legacy4,2,210,1.000000
100,Legacy4,2,220,1.000000
100,Legacy4,2,230,1.000000
100,Legacy4,2,240,1.000000
100,Legacy4,2,250,1.000000
100,Legacy4,3,0,1.000000
100,Legacy4,3,10,1.000000
100,Legacy4,3,20,1.000000
100,Legacy4,3,30,1.000000
100,Legacy4,3,40,1.000000
100,Legacy4,3,50,1.000000
100,Legacy4,3,60,1.000000
100,Legacy4,3,70,1.000000
100,Legacy4,3,80,1.000000
100,Legacy4,3,90,1.000000
100,Legacy4,3,100,1.000000
100,Legacy4,3,110,1.000000
100,Legacy4,3,120,1.000000
100,Legacy4,3,130,1.000000
100,Legacy4,3,140,1.000000
100,Legacy4,3,150,1.000000
100,Legacy4,3,160,1.000000
100,Legacy4,3,170,1.000000
100,Legacy4,3,180,1.000000
100,Legacy4,3,190,1.000000
100,Legacy4,3,200,1.000000
100,Legacy4,3,210,1.000000
100,Legacy4,3,220,1.000000
100,Legacy4,3,230,1.000000
100,Legacy4,3,240,1.000000
100,Legacy4,3,250,1.000000
100,Legacy4,4,0,1.000000
100,Legacy4,4,10,1.000000
100,Legacy4,4,20,1.000000
100,Legacy4,4,30,1.000000
100,Legacy4,4,40,1.000000
100,Legacy4,4,50,1.000000
100,Legacy4,4,60,1.000000
100,Legacy4,4,70,1.000000
100,Legacy4,4,80,1.000000
100,Legacy4,4,90,1.000000
100,Legacy4,4,100,1.000000
100,Legacy4,4,110,1.000000
100,Legacy4,4,120,1.000000
100,Legacy4,4,130,1.000000
100,Legacy4,4,140,1.000000
100,Legacy4,4,150,1.000000
100,Legacy4,4,160,1.000000
100,Legacy4,4,170,1.000000
100,Legacy4,4,180,1.000000
100,Legacy4,4,190,1.000000
100,Legacy4,4,200,1.000000
100,Legacy4,4,210,1.000000
100,Legacy4,4,220,1.000000
100,Legacy4,4,230,1.000000
100,Legacy4,4,240,1.000000
100,Legacy4,4,250,1.000000
100,Legacy4,5,0,1.000000
100,Legacy4,5,10,1.000000
100,Legacy4,5,20,1.000000
100,Legacy4,5,30,1.000000
100,Legacy4,5,40,1.000000
100,Legacy4,5,50,1.000000
100,Legacy4,5,60,1.000000
100,Legacy4,5,70,1.000000
100,Legacy4,5,80,1.000000
100,Legacy4,5,90,1.000000
100,Legacy4,5,100,1.000000
100,Legacy4,5,110,1.000000
100,Legacy4,5,120,1.000000
100,Legacy4,5,130,1.000000
100,Legacy4,5,140,1.000000
100,Legacy4,5,150,1.000000
100,Legacy4,5,160,1.000000
100,Legacy4,5,170,1.000000
100,Legacy4,5,180,1.000000
100,Legacy4,5,190,1.000000
100,Legacy4,5,200,1.000000
100,Legacy4,5,210,1.000000
100,Legacy4,5,220,1.000000
100,Legacy4,5,230,1.000000
100,Legacy4,5,240,1.000000
100,Legacy4,5,250,1.000000
100,Legacy4,6,0,1.000000
100,Legacy4,6,10,1.000000
100,Legacy4,6,20,1.000000
100,Legacy4,6,30,1.000000
100,Legacy4,6,40,1.000000
100,Legacy4,6,50,1.000000
100,Legacy4,6,60,1.000000
