universe,window,step,equity,atr_lookback,atr_trend_pct,label
Base5,0,107,1.012950,100,0.30,candidate_lb100_p0.3
Base5,0,108,1.012950,100,0.30,candidate_lb100_p0.3
Base5,0,109,1.012950,100,0.30,candidate_lb100_p0.3
Base5,0,110,1.012950,100,0.30,candidate_lb100_p0.3
Base5,0,111,1.012950,100,0.30,candidate_lb100_p0.3
Base5,0,112,1.012950,100,0.30,candidate_lb100_p0.3
Base5,0,113,1.012950,100,0.30,candidate_lb100_p0.3
Base5,0,114,1.012950,100,0.30,candidate_lb100_p0.3
Base5,0,115,1.012950,100,0.30,candidate_lb100_p0.3
Base5,0,116,1.012950,100,0.30,candidate_lb100_p0.3
Base5,0,117,0.871180,100,0.30,candidate_lb100_p0.3
Base5,0,118,0.871180,100,0.30,candidate_lb100_p0.3
Base5,0,119,0.871180,100,0.30,candidate_lb100_p0.3
Base5,0,120,0.871180,100,0.30,candidate_lb100_p0.3
Base5,0,121,0.871180,100,0.30,candidate_lb100_p0.3
Base5,0,122,0.871180,100,0.30,candidate_lb100_p0.3
Base5,0,123,0.871180,100,0.30,candidate_lb100_p0.3
Base5,0,124,0.871180,100,0.30,candidate_lb100_p0.3
Base5,0,125,0.871180,100,0.30,candidate_lb100_p0.3
Base5,0,126,0.871180,100,0.30,candidate_lb100_p0.3
Base5,0,127,0.871180,100,0.30,candidate_lb100_p0.3
Base5,0,128,0.866600,100,0.30,candidate_lb100_p0.3
Base5,0,129,0.866600,100,0.30,candidate_lb100_p0.3
Base5,0,130,0.866600,100,0.30,candidate_lb100_p0.3
Base5,0,131,0.866600,100,0.30,candidate_lb100_p0.3
Base5,0,132,0.866600,100,0.30,candidate_lb100_p0.3
Base5,0,133,0.866600,100,0.30,candidate_lb100_p0.3
Base5,0,134,0.866600,100,0.30,candidate_lb100_p0.3
Base5,0,135,0.866600,100,0.30,candidate_lb100_p0.3
Base5,0,136,0.866600,100,0.30,candidate_lb100_p0.3
Base5,0,137,0.866600,100,0.30,candidate_lb100_p0.3
Base5,0,138,0.866600,100,0.30,candidate_lb100_p0.3
Base5,0,139,0.844399,100,0.30,candidate_lb100_p0.3
Base5,0,140,0.844399,100,0.30,candidate_lb100_p0.3
Base5,0,141,0.844399,100,0.30,candidate_lb100_p0.3
Base5,0,142,0.844399,100,0.30,candidate_lb100_p0.3
Base5,0,143,0.844399,100,0.30,candidate_lb100_p0.3
Base5,0,144,0.844399,100,0.30,candidate_lb100_p0.3
Base5,0,145,0.844399,100,0.30,candidate_lb100_p0.3
Base5,0,146,0.844399,100,0.30,candidate_lb100_p0.3
Base5,0,147,1.019142,100,0.30,candidate_lb100_p0.3
Base5,0,148,0.962179,100,0.30,candidate_lb100_p0.3
Base5,0,149,0.962179,100,0.30,candidate_lb100_p0.3
Base5,0,150,0.962179,100,0.30,candidate_lb100_p0.3
Base5,0,151,0.962179,100,0.30,candidate_lb100_p0.3
Base5,0,152,0.962179,100,0.30,candidate_lb100_p0.3
Base5,0,153,0.962179,100,0.30,candidate_lb100_p0.3
Base5,0,154,0.962179,100,0.30,candidate_lb100_p0.3
Base5,0,155,0.962179,100,0.30,candidate_lb100_p0.3
Base5,0,156,0.962179,100,0.30,candidate_lb100_p0.3
Base5,0,157,0.906487,100,0.30,candidate_lb100_p0.3
Base5,0,158,0.906487,100,0.30,candidate_lb100_p0.3
Base5,0,159,0.906487,100,0.30,candidate_lb100_p0.3
Base5,0,160,0.906487,100,0.30,candidate_lb100_p0.3
Base5,0,161,0.906487,100,0.30,candidate_lb100_p0.3
Base5,0,162,0.906487,100,0.30,candidate_lb100_p0.3
Base5,0,163,0.906487,100,0.30,candidate_lb100_p0.3
Base5,0,164,0.906487,100,0.30,candidate_lb100_p0.3
Base5,0,165,0.906487,100,0.30,candidate_lb100_p0.3
Base5,0,166,0.906487,100,0.30,candidate_lb100_p0.3
Base5,0,167,0.906487,100,0.30,candidate_lb100_p0.3
Base5,0,168,0.906487,100,0.30,candidate_lb100_p0.3
Base5,0,169,1.165948,100,0.30,candidate_lb100_p0.3
Base5,0,0,1.000000,50,0.25,candidate_lb50_p0.25
Base5,0,1,1.000000,50,0.25,candidate_lb50_p0.25
Base5,0,2,1.260974,50,0.25,candidate_lb50_p0.25
Base5,0,3,1.260974,50,0.25,candidate_lb50_p0.25
Base5,0,4,1.260974,50,0.25,candidate_lb50_p0.25
Base5,0,5,1.260974,50,0.25,candidate_lb50_p0.25
Base5,0,6,1.260974,50,0.25,candidate_lb50_p0.25
Base5,0,7,0.788162,50,0.25,candidate_lb50_p0.25
Base5,0,8,0.788162,50,0.25,candidate_lb50_p0.25
Base5,0,9,0.788162,50,0.25,candidate_lb50_p0.25
Base5,0,10,0.788162,50,0.25,candidate_lb50_p0.25
Base5,0,11,0.788162,50,0.25,candidate_lb50_p0.25
Base5,0,12,0.788162,50,0.25,candidate_lb50_p0.25
Base5,0,13,0.788162,50,0.25,candidate_lb50_p0.25
Base5,0,14,0.788162,50,0.25,candidate_lb50_p0.25
Base5,0,15,0.788162,50,0.25,candidate_lb50_p0.25
Base5,0,16,0.788162,50,0.25,candidate_lb50_p0.25
Base5,0,17,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,18,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,19,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,20,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,21,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,22,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,23,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,24,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,25,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,26,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,27,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,28,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,29,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,30,0.727506,50,0.25,candidate_lb50_p0.25
Base5,0,31,0.727506,50,0.25,candidate_lb50_p0.25
