atr_period,universe,pass,total,pass_pct,avg_sharpe,avg_ret,avg_dd,avg_trades,win_rate,universe_pass
28,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,38.5,false
32,Base5,0,13,0.0,0.000,-102.7,102.7,4,53.4,false
32,NoDOGE,0,13,0.0,0.000,-102.7,102.7,5,49.7,false
32,Legacy4,0,13,0.0,0.000,-100.4,100.4,4,46.8,false
32,Legacy5BNB,0,13,0.0,0.000,-101.1,101.1,4,46.8,false
32,OldGuardNoBNB,0,13,0.0,0.000,-100.5,100.5,4,47.9,false
32,LargeCaps5,0,13,0.0,0.000,-103.3,103.4,4,48.3,false
32,Legacy3,0,13,0.0,0.000,-103.1,103.2,3,28.5,false
32,LowVolume5,0,13,0.0,0.000,-101.5,101.9,5,47.5,false
32,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,41.2,false
36,Base5,0,13,0.0,0.000,-102.7,102.7,4,53.4,false
36,NoDOGE,0,13,0.0,0.000,-102.7,102.7,5,49.7,false
36,Legacy4,0,13,0.0,0.000,-100.3,100.3,6,44.7,false
36,Legacy5BNB,0,13,0.0,0.000,-101.0,101.1,4,45.1,false
36,OldGuardNoBNB,0,13,0.0,0.000,-100.3,100.4,6,50.3,false
36,LargeCaps5,0,13,0.0,0.000,-103.3,103.4,4,48.3,false
36,Legacy3,0,13,0.0,0.000,-103.1,103.2,3,25.7,false
36,LowVolume5,0,13,0.0,0.000,-101.7,102.1,5,38.3,false
36,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,39.6,false
42,Base5,0,13,0.0,0.000,-105.6,105.6,4,45.0,false
42,NoDOGE,0,13,0.0,0.000,-105.6,105.6,4,41.4,false
42,Legacy4,0,13,0.0,0.000,-100.3,100.3,5,47.2,false
42,Legacy5BNB,0,13,0.0,0.000,-101.0,101.0,5,47.2,false
42,OldGuardNoBNB,0,13,0.0,0.000,-100.3,100.4,5,51.9,false
42,LargeCaps5,0,13,0.0,0.000,-106.2,106.3,4,40.0,false
42,Legacy3,0,13,0.0,0.000,-103.1,103.2,3,28.5,false
42,LowVolume5,0,13,0.0,0.000,-101.7,102.1,4,40.2,false
42,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,41.7,false
48,Base5,0,13,0.0,0.000,-110.0,110.2,3,30.4,false
48,NoDOGE,0,13,0.0,0.000,-110.3,110.3,3,23.1,false
48,Legacy4,0,13,0.0,0.000,-100.4,100.4,4,44.0,false
48,Legacy5BNB,0,13,0.0,0.000,-101.1,101.1,4,42.0,false
48,OldGuardNoBNB,0,13,0.0,0.000,-100.8,101.1,4,50.7,false
48,LargeCaps5,0,13,0.0,0.000,-110.9,111.0,3,21.7,false
48,Legacy3,0,13,0.0,0.000,-104.5,104.6,2,21.2,false
48,LowVolume5,0,13,0.0,0.000,-106.1,106.4,2,24.4,false
