atr_period,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
20,NoDOGE,6,957.3815,47.5258,31.1172,74,52.70,true
20,Legacy4,0,34923.2423,13.2487,21.2203,88,73.86,true
20,Legacy4,1,1282.4643,21.3258,26.6866,72,58.33,true
20,Legacy4,2,385406.3681,7.4850,21.8618,76,78.95,true
20,Legacy4,3,576771.6822,12.4288,15.7923,99,71.72,true
20,Legacy4,4,1815.6025,33.5650,17.1894,53,69.81,true
20,Legacy4,5,29.8033,91.5408,29.4309,46,36.96,true
20,Legacy4,6,1312.6016,33.8224,30.2297,72,59.72,true
20,Legacy5BNB,0,77319.6924,12.8116,34.3703,104,72.12,true
20,Legacy5BNB,1,563.9500,24.5059,26.3525,65,60.00,true
20,Legacy5BNB,2,265258.8276,7.4901,21.8618,76,77.63,true
20,Legacy5BNB,3,9037974.2156,10.6990,25.5565,99,72.73,true
20,Legacy5BNB,4,4429.3308,26.4374,11.4933,56,76.79,true
20,Legacy5BNB,5,203.9869,41.6523,21.4268,47,46.81,true
20,Legacy5BNB,6,1250.1589,34.4631,33.3138,73,58.90,true
20,OldGuardNoBNB,0,93489.1846,9.9199,22.5037,98,72.45,true
20,OldGuardNoBNB,1,672.9260,22.5170,26.3525,67,58.21,true
20,OldGuardNoBNB,2,385406.3681,7.4850,21.8618,76,78.95,true
20,OldGuardNoBNB,3,576771.6822,12.4288,15.7923,99,71.72,true
20,OldGuardNoBNB,4,1797.8982,33.9694,17.3025,54,68.52,true
20,OldGuardNoBNB,5,1245.7857,34.0636,25.9528,55,43.64,true
20,OldGuardNoBNB,6,1770.9302,31.9880,30.4206,79,59.49,true
20,LargeCaps5,0,28136438.9965,11.5118,27.2580,96,69.79,true
20,LargeCaps5,1,285.4720,34.9530,19.8144,53,52.83,true
20,LargeCaps5,2,1195765.0225,7.3699,21.8618,77,79.22,true
20,LargeCaps5,3,12315534.5172,11.8639,25.7839,113,69.03,true
20,LargeCaps5,4,6748.1828,25.2924,11.4933,74,70.27,true
20,LargeCaps5,5,190.5537,48.9014,26.1821,56,41.07,true
20,LargeCaps5,6,957.3815,47.5258,31.1172,74,52.70,true
20,Legacy3,0,42912.1042,13.1367,20.0840,87,77.01,true
20,Legacy3,1,1676.8458,22.3420,23.5347,74,62.16,true
20,Legacy3,2,798455.3239,7.2869,18.6217,75,77.33,true
20,Legacy3,3,445712.9631,11.8703,15.2218,86,76.74,true
20,Legacy3,4,375.9003,46.6873,32.7138,48,60.42,true
20,Legacy3,5,-12.7236,119.0305,50.3379,49,34.69,true
20,Legacy3,6,1371.7091,37.2669,21.2524,75,57.33,true
