bar,equity,btc_buyhold,drawdown,bh_drawdown
128,8104.829294001848,5468.441163699522,18.95170705998152,45.315588363004785
129,8104.829294001848,5538.923143725575,18.95170705998152,44.610768562744255
130,8104.829294001848,5428.198002605297,18.95170705998152,45.71801997394703
131,8104.829294001848,5396.934433347807,18.95170705998152,46.03065566652194
132,8104.829294001848,5429.43117672601,18.95170705998152,45.7056882327399
133,9577.532508139935,5517.160225792444,4.224674918600649,44.82839774207556
134,9577.532508139935,5838.775510204082,4.224674918600649,41.61224489795919
135,9577.532508139935,6354.702561875813,4.224674918600649,36.452974381241866
136,9577.532508139935,6410.681719496309,4.224674918600649,35.89318280503691
137,9577.532508139935,6483.899261832392,4.224674918600649,35.16100738167608
138,8614.15641096051,6372.149370386452,13.858435890394905,36.27850629613548
139,8614.15641096051,6425.340859748154,13.858435890394905,35.74659140251846
140,8614.15641096051,6421.875814155449,13.858435890394905,35.78124185844551
141,8614.15641096051,6705.175857577074,13.858435890394905,32.948241424229266
142,8614.15641096051,7292.435953104646,13.858435890394905,27.075640468953544
143,8614.15641096051,7099.991315675207,13.858435890394905,29.000086843247928
144,8614.15641096051,6877.985236647851,13.858435890394905,31.220147633521496
145,8614.15641096051,7111.220147633521,13.858435890394905,28.887798523664788
146,8614.15641096051,7142.891880156319,13.858435890394905,28.571081198436815
147,9772.963060479802,7130.699088145897,2.270369395201979,28.69300911854103
148,9772.963060479802,7098.4976118106815,2.270369395201979,29.015023881893185
149,9772.963060479802,6713.790707772471,2.270369395201979,32.86209292227529
150,9772.963060479802,6604.064264003474,2.270369395201979,33.95935735996526
151,15421.738754627364,6535.570994355188,0,34.64429005644812
152,15421.738754627364,6442.709509335649,0,35.57290490664351
153,15421.738754627364,6087.572731220148,0,39.12427268779852
154,15421.738754627364,6100.034737299175,0,38.99965262700825
155,15421.738754627364,6022.422926617455,0,39.775770733825446
156,15421.738754627364,5835.91836734694,0,41.640816326530604
157,15421.738754627364,5458.098132870169,0,45.41901867129831
158,15421.738754627364,5670.681719496309,0,43.29318280503691
159,15244.960190745252,5335.657837603126,1.1462946344430083,46.64342162396874
160,15244.960190745252,5412.37516283109,1.1462946344430083,45.8762483716891
161,15244.960190745252,5478.358662613981,1.1462946344430083,45.216413373860185
162,15244.960190745252,5424.533217542336,1.1462946344430083,45.754667824576636
163,15244.960190745252,5373.9296569691705,1.1462946344430083,46.26070343030829
164,19410.92663981187,5442.605297438125,0,45.57394702561876
165,19410.92663981187,5481.328701693443,0,45.186712983065576
166,19410.92663981187,5718.1849761181065,0,42.81815023881894
167,19410.92663981187,5547.5119409465915,0,44.52488059053408
168,19410.92663981187,5625.297438124186,0,43.747025618758144
169,18618.371197475804,5431.906209292228,4.0830376470051295,45.68093790707772
170,18618.371197475804,5627.442466348241,4.0830376470051295,43.725575336517586
171,18618.371197475804,5524.003473729918,4.0830376470051295,44.75996526270082
172,18618.371197475804,5666.530612244897,4.0830376470051295,43.334693877551025
173,18618.371197475804,5802.553191489363,4.0830376470051295,41.97446808510637
174,18618.371197475804,5847.711680416848,4.0830376470051295,41.52288319583152
175,18618.371197475804,5818.4976118106815,4.0830376470051295,41.81502388189319
176,18618.371197475804,5999.687364307426,4.0830376470051295,40.00312635692574
177,18618.371197475804,6145.123751628311,4.0830376470051295,38.54876248371689
178,18618.371197475804,6106.13981762918,4.0830376470051295,38.938601823708204
179,18618.371197475804,6065.86191923578,4.0830376470051295,39.3413808076422
180,18618.371197475804,6088.7624837168905,4.0830376470051295,39.11237516283109
181,18618.371197475804,6252.72253582284,4.0830376470051295,37.4727746417716
182,18618.371197475804,6341.302648719063,4.0830376470051295,36.58697351280937
