bar,date,equity
555,2022-02-17 00:00:00,1.1085077360
556,2022-02-18 00:00:00,1.1085077360
557,2022-02-19 00:00:00,1.1085077360
558,2022-02-20 00:00:00,1.1085077360
559,2022-02-21 00:00:00,1.1085077360
560,2022-02-22 00:00:00,1.1085077360
561,2022-02-23 00:00:00,1.1085077360
562,2022-02-24 00:00:00,1.1085077360
563,2022-02-25 00:00:00,1.1085077360
564,2022-02-26 00:00:00,1.1085077360
565,2022-02-27 00:00:00,1.1085077360
566,2022-02-28 00:00:00,1.1085077360
567,2022-03-01 00:00:00,1.1085077360
568,2022-03-02 00:00:00,1.1085077360
569,2022-03-03 00:00:00,1.1085077360
570,2022-03-04 00:00:00,1.1085077360
571,2022-03-05 00:00:00,1.1085077360
572,2022-03-06 00:00:00,1.1085077360
573,2022-03-07 00:00:00,1.1085077360
574,2022-03-08 00:00:00,1.1085077360
575,2022-03-09 00:00:00,1.1085077360
576,2022-03-10 00:00:00,1.1085077360
577,2022-03-11 00:00:00,1.1085077360
578,2022-03-12 00:00:00,1.1085077360
579,2022-03-13 00:00:00,1.1085077360
580,2022-03-14 00:00:00,1.1085077360
581,2022-03-15 00:00:00,1.1085077360
582,2022-03-16 00:00:00,1.1085077360
583,2022-03-17 00:00:00,1.1085077360
584,2022-03-18 00:00:00,1.1085077360
585,2022-03-19 00:00:00,1.1083895425
586,2022-03-20 00:00:00,1.1059203518
587,2022-03-21 00:00:00,1.1116157114
588,2022-03-22 00:00:00,1.1113713548
589,2022-03-23 00:00:00,1.1145562456
590,2022-03-24 00:00:00,1.1287568968
591,2022-03-25 00:00:00,1.1276915507
592,2022-03-26 00:00:00,1.1331147310
593,2022-03-27 00:00:00,1.1651108331
594,2022-03-28 00:00:00,1.1705988461
595,2022-03-29 00:00:00,1.1758664615
596,2022-03-30 00:00:00,1.1719524939
597,2022-03-31 00:00:00,1.1529445635
598,2022-04-01 00:00:00,1.2062232983
599,2022-04-02 00:00:00,1.2056173614
600,2022-04-03 00:00:00,1.2094336922
601,2022-04-04 00:00:00,1.1954238688
602,2022-04-05 00:00:00,1.1799129930
603,2022-04-06 00:00:00,1.1389430896
604,2022-04-07 00:00:00,1.1389430896
605,2022-04-08 00:00:00,1.1389430896
606,2022-04-09 00:00:00,1.1389430896
607,2022-04-10 00:00:00,1.1389430896
608,2022-04-11 00:00:00,1.1389430896
609,2022-04-12 00:00:00,1.1389430896
610,2022-04-13 00:00:00,1.1389430896
611,2022-04-14 00:00:00,1.1389430896
612,2022-04-15 00:00:00,1.1389430896
613,2022-04-16 00:00:00,1.1389430896
614,2022-04-17 00:00:00,1.1389430896
615,2022-04-18 00:00:00,1.1389430896
616,2022-04-19 00:00:00,1.1389430896
617,2022-04-20 00:00:00,1.1389430896
618,2022-04-21 00:00:00,1.1389430896
619,2022-04-22 00:00:00,1.1389430896
620,2022-04-23 00:00:00,1.1389430896
621,2022-04-24 00:00:00,1.1389430896
622,2022-04-25 00:00:00,1.1389430896
623,2022-04-26 00:00:00,1.1389430896
624,2022-04-27 00:00:00,1.1389430896
625,2022-04-28 00:00:00,1.1389430896
626,2022-04-29 00:00:00,1.1389430896
627,2022-04-30 00:00:00,1.1389430896
628,2022-05-01 00:00:00,1.1389430896
