universe,window,atr_mult,vol_lb,vol_mult,vol_label,ret_pct,sharpe,max_dd,trades,win_rate,pass
Base5,W5,1.00,10,1.00,SMA10_1.00,-28.25,-2.3325,28.25,6,0.0,false
Base5,W5,1.50,0,0.00,none,-7.50,-1.2107,7.50,1,0.0,false
Base5,W5,1.50,20,1.00,SMA20_1.00,-7.50,-1.2107,7.50,1,0.0,false
Base5,W5,1.50,20,1.25,SMA20_1.25,-7.50,-1.2107,7.50,1,0.0,false
Base5,W5,1.50,10,1.00,SMA10_1.00,-7.50,-1.2107,7.50,1,0.0,false
Base5,W5,2.00,0,0.00,none,-7.50,-1.2107,7.50,1,0.0,false
Base5,W5,2.00,20,1.00,SMA20_1.00,-7.50,-1.2107,7.50,1,0.0,false
Base5,W5,2.00,20,1.25,SMA20_1.25,-7.50,-1.2107,7.50,1,0.0,false
Base5,W5,2.00,10,1.00,SMA10_1.00,-7.50,-1.2107,7.50,1,0.0,false
Base5,W5,4.00,0,0.00,none,0.00,0.0000,0.00,0,0.0,false
Base5,W5,4.00,20,1.00,SMA20_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W5,4.00,20,1.25,SMA20_1.25,0.00,0.0000,0.00,0,0.0,false
Base5,W5,4.00,10,1.00,SMA10_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W6,0.00,0,0.00,none,-60.17,-2.0562,60.17,46,21.7,false
Base5,W6,0.00,20,1.00,SMA20_1.00,-20.65,-0.4177,30.61,23,26.1,false
Base5,W6,0.00,20,1.25,SMA20_1.25,-6.54,0.0160,23.20,16,25.0,true
Base5,W6,0.00,10,1.00,SMA10_1.00,-11.91,-0.1561,22.37,21,28.6,false
Base5,W6,0.10,0,0.00,none,-42.62,-1.2728,50.00,33,24.2,false
Base5,W6,0.10,20,1.00,SMA20_1.00,-18.40,-0.3643,28.90,20,25.0,false
Base5,W6,0.10,20,1.25,SMA20_1.25,-9.95,-0.1052,23.20,15,20.0,false
Base5,W6,0.10,10,1.00,SMA10_1.00,-9.42,-0.0919,20.45,18,27.8,false
Base5,W6,0.20,0,0.00,none,-33.26,-0.8994,41.39,26,23.1,false
Base5,W6,0.20,20,1.00,SMA20_1.00,-17.32,-0.3272,27.40,18,22.2,false
Base5,W6,0.20,20,1.25,SMA20_1.25,-8.05,-0.0428,21.58,14,21.4,false
Base5,W6,0.20,10,1.00,SMA10_1.00,-9.42,-0.0919,20.45,18,27.8,false
Base5,W6,0.30,0,0.00,none,-20.87,-0.5077,34.55,19,21.1,false
Base5,W6,0.30,20,1.00,SMA20_1.00,-8.25,-0.0701,24.11,12,16.7,false
Base5,W6,0.30,20,1.25,SMA20_1.25,-4.53,0.0526,21.04,11,18.2,true
Base5,W6,0.30,10,1.00,SMA10_1.00,-4.42,0.0526,20.94,13,23.1,true
Base5,W6,0.50,0,0.00,none,-21.54,-0.5337,35.10,18,16.7,false
Base5,W6,0.50,20,1.00,SMA20_1.00,-8.25,-0.0701,24.11,12,16.7,false
Base5,W6,0.50,20,1.25,SMA20_1.25,-4.53,0.0526,21.04,11,18.2,true
Base5,W6,0.50,10,1.00,SMA10_1.00,-4.42,0.0526,20.94,13,23.1,true
Base5,W6,0.75,0,0.00,none,-2.00,0.1339,23.92,12,25.0,true
Base5,W6,0.75,20,1.00,SMA20_1.00,6.53,0.3973,17.30,9,22.2,true
Base5,W6,0.75,20,1.25,SMA20_1.25,10.84,0.5266,13.95,8,25.0,true
Base5,W6,0.75,10,1.00,SMA10_1.00,13.85,0.6155,12.83,8,37.5,true
Base5,W6,1.00,0,0.00,none,20.31,0.8005,16.27,8,37.5,true
Base5,W6,1.00,20,1.00,SMA20_1.00,27.12,0.9947,11.53,6,33.3,true
Base5,W6,1.00,20,1.25,SMA20_1.25,27.12,0.9947,11.53,6,33.3,true
Base5,W6,1.00,10,1.00,SMA10_1.00,35.85,1.2346,5.45,5,60.0,true
Base5,W6,1.50,0,0.00,none,-9.78,-1.5489,9.78,3,0.0,false
Base5,W6,1.50,20,1.00,SMA20_1.00,-4.14,-1.6628,4.14,2,0.0,false
Base5,W6,1.50,20,1.25,SMA20_1.25,-4.14,-1.6628,4.14,2,0.0,false
Base5,W6,1.50,10,1.00,SMA10_1.00,-2.62,-1.2107,2.62,1,0.0,false
Base5,W6,2.00,0,0.00,none,-4.14,-1.6628,4.14,2,0.0,false
Base5,W6,2.00,20,1.00,SMA20_1.00,-4.14,-1.6628,4.14,2,0.0,false
Base5,W6,2.00,20,1.25,SMA20_1.25,-4.14,-1.6628,4.14,2,0.0,false
Base5,W6,2.00,10,1.00,SMA10_1.00,-2.62,-1.2107,2.62,1,0.0,false
Base5,W6,4.00,0,0.00,none,0.00,0.0000,0.00,0,0.0,false
Base5,W6,4.00,20,1.00,SMA20_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W6,4.00,20,1.25,SMA20_1.25,0.00,0.0000,0.00,0,0.0,false
Base5,W6,4.00,10,1.00,SMA10_1.00,0.00,0.0000,0.00,0,0.0,false
NoDOGE,W0,0.00,0,0.00,none,-10.29,0.1453,56.75,40,42.5,true
NoDOGE,W0,0.00,20,1.00,SMA20_1.00,20.22,0.7396,34.26,23,47.8,true
NoDOGE,W0,0.00,20,1.25,SMA20_1.25,-3.72,0.0916,39.36,19,42.1,true
NoDOGE,W0,0.00,10,1.00,SMA10_1.00,33.77,1.0244,32.51,20,45.0,true
NoDOGE,W0,0.10,0,0.00,none,1.25,0.3529,42.91,29,41.4,true
NoDOGE,W0,0.10,20,1.00,SMA20_1.00,2.72,0.3259,31.77,18,44.4,true
NoDOGE,W0,0.10,20,1.25,SMA20_1.25,-17.74,-0.5812,36.55,14,35.7,false
NoDOGE,W0,0.10,10,1.00,SMA10_1.00,16.89,0.6918,31.77,16,43.8,true
NoDOGE,W0,0.20,0,0.00,none,-7.39,0.1542,42.91,26,38.5,true
NoDOGE,W0,0.20,20,1.00,SMA20_1.00,2.72,0.3259,31.77,18,44.4,true
NoDOGE,W0,0.20,20,1.25,SMA20_1.25,-17.74,-0.5812,36.55,14,35.7,false
NoDOGE,W0,0.20,10,1.00,SMA10_1.00,16.89,0.6918,31.77,16,43.8,true
NoDOGE,W0,0.30,0,0.00,none,-14.70,-0.0834,41.11,22,36.4,false
NoDOGE,W0,0.30,20,1.00,SMA20_1.00,-11.60,-0.1734,29.63,15,40.0,false
NoDOGE,W0,0.30,20,1.25,SMA20_1.25,-29.01,-1.7321,34.55,12,33.3,false
NoDOGE,W0,0.30,10,1.00,SMA10_1.00,0.88,0.2349,29.63,14,42.9,true
