fee_bps,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
2.0,OldGuardNoBNB,1,-53.17,-10.9135,53.17,12,16.67,false
2.0,OldGuardNoBNB,2,144.46,6.4013,16.41,13,53.85,true
2.0,OldGuardNoBNB,3,377.25,8.3672,34.90,14,64.29,true
2.0,OldGuardNoBNB,4,6.36,1.5879,28.67,12,58.33,true
2.0,OldGuardNoBNB,5,27.40,3.6838,25.35,12,41.67,true
2.0,LargeCaps5,0,259.26,8.1121,58.64,14,57.14,true
2.0,LargeCaps5,1,-32.30,-4.8985,32.30,11,36.36,false
2.0,LargeCaps5,2,153.85,6.4917,16.41,14,64.29,true
2.0,LargeCaps5,3,209.85,11.9691,24.96,13,69.23,true
2.0,LargeCaps5,4,108.88,9.8496,14.87,12,75.00,true
2.0,LargeCaps5,5,-14.30,-1.0376,37.14,13,38.46,false
2.0,Legacy3,0,293.42,11.9809,12.07,15,66.67,true
2.0,Legacy3,1,28.00,3.1920,25.95,13,53.85,true
2.0,Legacy3,2,-39.72,-3.1295,49.47,16,31.25,false
2.0,Legacy3,3,45.41,3.7866,70.38,15,33.33,true
2.0,Legacy3,4,-33.07,-3.4980,51.74,13,46.15,false
2.0,Legacy3,5,-46.82,-4.2109,53.12,17,23.53,false
2.0,LowVolume5,0,204.93,8.2542,24.43,16,56.25,true
2.0,LowVolume5,1,-9.16,0.1388,40.09,14,50.00,false
2.0,LowVolume5,2,460.78,10.7561,31.78,15,60.00,true
2.0,LowVolume5,3,445.49,9.5799,46.49,14,50.00,true
2.0,LowVolume5,4,-48.83,-4.6314,49.67,13,30.77,false
2.0,LowVolume5,5,-71.56,-6.4953,79.44,18,22.22,false
2.0,OldGuard4,0,209.40,8.2720,29.05,17,58.82,true
2.0,OldGuard4,1,-26.85,-2.6275,33.52,13,38.46,false
2.0,OldGuard4,2,-37.41,-2.8228,48.67,16,37.50,false
2.0,OldGuard4,3,45.41,3.7866,70.38,15,33.33,true
2.0,OldGuard4,4,-13.14,-0.7441,34.67,14,50.00,false
2.0,OldGuard4,5,-41.87,-2.0152,59.87,19,26.32,false
3.0,Base5,0,258.26,8.1004,58.68,14,57.14,true
3.0,Base5,1,760.61,7.2876,19.06,11,63.64,true
3.0,Base5,2,44.28,2.6707,29.78,15,60.00,true
3.0,Base5,3,147.53,8.8369,31.95,14,71.43,true
3.0,Base5,4,93.95,8.9792,14.89,12,75.00,true
3.0,Base5,5,-33.37,-4.7683,49.61,13,23.08,false
3.0,NoDOGE,0,258.26,8.1004,58.68,14,57.14,true
3.0,NoDOGE,1,-22.20,-3.3418,24.71,10,40.00,false
3.0,NoDOGE,2,153.14,6.4748,16.43,14,64.29,true
3.0,NoDOGE,3,172.63,9.4778,31.95,14,71.43,true
3.0,NoDOGE,4,93.95,8.9792,14.89,12,75.00,true
3.0,NoDOGE,5,-14.53,-1.0693,37.25,13,38.46,false
3.0,Legacy4,0,114.12,7.9497,19.73,16,62.50,true
3.0,Legacy4,1,-27.81,-1.3082,36.21,14,35.71,false
3.0,Legacy4,2,143.83,6.3861,16.43,13,53.85,true
3.0,Legacy4,3,375.92,8.3568,34.94,14,64.29,true
3.0,Legacy4,4,6.11,1.5573,28.78,12,58.33,true
3.0,Legacy4,5,-21.20,-1.6253,30.85,13,23.08,false
3.0,Legacy5BNB,0,254.06,12.1702,19.73,15,66.67,true
3.0,Legacy5BNB,1,-34.18,-3.1183,39.12,12,25.00,false
3.0,Legacy5BNB,2,25.66,2.5824,17.97,13,53.85,true
3.0,Legacy5BNB,3,588.40,10.4881,17.68,13,69.23,true
3.0,Legacy5BNB,4,39.63,4.6952,32.36,11,63.64,true
3.0,Legacy5BNB,5,-39.52,-4.5862,47.58,13,30.77,false
3.0,OldGuardNoBNB,0,164.10,7.7419,36.46,15,46.67,true
3.0,OldGuardNoBNB,1,-53.28,-10.9512,53.28,12,16.67,false
3.0,OldGuardNoBNB,2,143.83,6.3861,16.43,13,53.85,true
3.0,OldGuardNoBNB,3,375.92,8.3568,34.94,14,64.29,true
3.0,OldGuardNoBNB,4,6.11,1.5573,28.78,12,58.33,true
