cooldown,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
29,OldGuardNoBNB,6,0.95033869,-4.9661,-1.034472,10.0049,30,40.0000,false
29,LargeCaps5,0,1.29009584,29.0096,2.295227,4.4562,24,66.6667,true
29,LargeCaps5,1,1.05236258,5.2363,0.649234,8.2049,31,45.1613,true
29,LargeCaps5,2,1.45811502,45.8115,3.758050,2.7623,26,69.2308,true
29,LargeCaps5,3,1.22530179,22.5302,1.930531,5.5609,22,68.1818,true
29,LargeCaps5,4,1.15096305,15.0963,1.137084,14.9264,29,55.1724,true
29,LargeCaps5,5,1.10968654,10.9687,1.448987,4.6532,25,48.0000,true
29,Legacy3,0,1.11106691,11.1067,1.177866,5.5639,18,61.1111,true
29,Legacy3,1,1.13681023,13.6810,2.196706,3.5165,20,60.0000,true
29,Legacy3,2,1.33269736,33.2697,3.075402,3.9394,17,70.5882,true
29,Legacy3,3,1.11899604,11.8996,1.187384,8.1814,14,71.4286,true
29,Legacy3,4,0.94970810,-5.0292,-0.654005,12.5706,20,35.0000,false
29,Legacy3,5,1.01545278,1.5453,0.515808,3.6647,15,46.6667,true
29,Legacy3,6,0.95301364,-4.6986,-1.377981,6.1682,20,35.0000,false
29,LowVolume5,0,1.14234988,14.2350,1.259957,9.0450,21,61.9048,true
29,LowVolume5,1,1.08361135,8.3611,1.279288,7.9206,23,52.1739,true
29,LowVolume5,2,1.33093732,33.0937,2.990465,3.1641,20,60.0000,true
29,LowVolume5,3,1.03518458,3.5185,0.351567,11.6944,20,55.0000,true
29,LowVolume5,4,0.95097791,-4.9022,-0.350803,23.0001,25,44.0000,false
29,LowVolume5,5,1.12881887,12.8819,1.655484,4.8580,23,47.8261,true
29,LowVolume5,6,0.90465516,-9.5345,-2.206082,10.9712,23,30.4348,false
29,OldGuard4,0,1.07736798,7.7368,0.813640,10.2873,20,60.0000,true
29,OldGuard4,1,1.08078344,8.0783,1.288334,3.9164,23,52.1739,true
29,OldGuard4,2,1.33437416,33.4374,3.093545,4.6484,22,59.0909,true
29,OldGuard4,3,1.16181484,16.1815,1.246117,8.1814,19,63.1579,true
29,OldGuard4,4,0.98052710,-1.9473,-0.110467,20.6255,25,36.0000,false
29,OldGuard4,5,1.00250739,0.2507,0.096771,5.5970,20,45.0000,true
29,OldGuard4,6,0.94596320,-5.4037,-1.262158,8.3082,25,36.0000,false
30,Base5,0,1.12012712,12.0127,1.027778,7.0619,23,60.8696,true
30,Base5,1,1.09192593,9.1926,1.077479,6.7948,27,51.8519,true
30,Base5,2,1.35415905,35.4159,3.341288,2.5839,24,66.6667,true
30,Base5,3,1.28279360,28.2794,2.384523,7.9999,22,63.6364,true
30,Base5,4,1.09739498,9.7395,0.741518,11.8431,29,58.6207,true
30,Base5,5,1.16702112,16.7021,1.882376,5.9932,28,57.1429,true
30,NoDOGE,0,1.19442665,19.4427,1.838560,4.2963,20,70.0000,true
30,NoDOGE,1,1.10086772,10.0868,1.178232,6.7948,24,54.1667,true
30,NoDOGE,2,1.29405702,29.4057,2.899701,4.2320,21,66.6667,true
30,NoDOGE,3,1.25146511,25.1465,2.216292,7.9999,19,68.4211,true
30,NoDOGE,4,1.07635133,7.6351,0.681771,12.9725,25,56.0000,true
30,NoDOGE,5,1.17447952,17.4480,2.089124,4.4320,22,59.0909,true
30,Legacy4,0,1.15090478,15.0905,1.411500,6.0982,22,63.6364,true
30,Legacy4,1,1.06696234,6.6962,1.067905,4.8681,25,52.0000,true
30,Legacy4,2,1.49798161,49.7982,4.145503,4.9949,20,70.0000,true
30,Legacy4,3,1.13595831,13.5958,1.278455,8.1814,17,70.5882,true
30,Legacy4,4,0.97362707,-2.6373,-0.202626,12.2309,25,40.0000,false
30,Legacy4,5,1.04749587,4.7496,0.977980,3.6274,19,47.3684,true
30,Legacy4,6,0.98940273,-1.0597,-0.221113,7.4889,22,50.0000,false
30,Legacy5BNB,0,1.19278676,19.2787,1.577827,6.0982,25,64.0000,true
30,Legacy5BNB,1,1.02158022,2.1580,0.378546,4.3739,31,45.1613,true
30,Legacy5BNB,2,1.70664032,70.6640,4.662586,4.9949,24,75.0000,true
30,Legacy5BNB,3,1.11220980,11.2210,0.879593,13.3995,20,70.0000,true
30,Legacy5BNB,4,1.04189784,4.1898,0.464348,14.1055,28,42.8571,true
30,Legacy5BNB,5,1.03398012,3.3980,0.704460,4.1093,22,40.9091,true
30,Legacy5BNB,6,0.99873394,-0.1266,0.006899,6.3144,28,53.5714,false
30,OldGuardNoBNB,0,1.11599756,11.5998,1.064333,7.2048,24,62.5000,true
30,OldGuardNoBNB,1,1.01437795,1.4378,0.263280,5.9681,28,46.4286,true
30,OldGuardNoBNB,2,1.49986638,49.9866,4.164591,5.6961,25,60.0000,true
30,OldGuardNoBNB,3,1.17942618,17.9426,1.326198,8.1814,22,63.6364,true
30,OldGuardNoBNB,4,1.04801815,4.8018,0.471371,16.7536,29,41.3793,true
30,OldGuardNoBNB,5,1.03414199,3.4142,0.665863,5.4843,24,45.8333,true
30,OldGuardNoBNB,6,0.98208307,-1.7917,-0.343751,9.4366,27,48.1481,false
