universe,window,bar,equity
Base5_4,4,67,1.443858
Base5_4,4,68,1.443858
Base5_4,4,69,1.443858
Base5_4,4,70,1.443858
Base5_4,4,71,1.443858
Base5_4,4,72,1.443858
Base5_4,4,73,1.443858
Base5_4,4,74,1.443858
Base5_4,4,75,1.443858
Base5_4,4,76,1.443858
Base5_4,4,77,1.443858
Base5_4,4,78,1.443858
Base5_4,4,79,1.443858
Base5_4,4,80,1.443858
Base5_4,4,81,1.555558
Base5_4,4,82,1.555558
Base5_4,4,83,1.555558
Base5_4,4,84,1.555558
Base5_4,4,85,1.555558
Base5_4,4,86,1.555558
Base5_4,4,87,1.555558
Base5_4,4,88,1.555558
Base5_4,4,89,1.555558
Base5_4,4,90,1.555558
Base5_4,4,91,1.555558
Base5_4,4,92,1.555558
Base5_4,4,93,1.555558
Base5_4,4,94,1.555558
Base5_4,4,95,1.555558
Base5_4,4,96,1.555558
Base5_4,4,97,1.555558
Base5_4,4,98,1.555558
Base5_4,4,99,1.555558
Base5_4,4,100,1.555558
Base5_4,4,101,1.487098
Base5_4,4,102,1.487098
Base5_4,4,103,1.487098
Base5_4,4,104,1.487098
Base5_4,4,105,1.487098
Base5_4,4,106,1.487098
Base5_4,4,107,1.487098
Base5_4,4,108,1.487098
Base5_4,4,109,1.487098
Base5_4,4,110,1.487098
Base5_4,4,111,1.487098
Base5_4,4,112,1.487098
Base5_4,4,113,1.487098
Base5_4,4,114,1.487098
Base5_4,4,115,1.487098
Base5_4,4,116,1.487098
Base5_4,4,117,1.487098
Base5_4,4,118,1.487098
Base5_4,4,119,1.487098
Base5_4,4,120,1.510411
Base5_5,5,0,1.000000
Base5_5,5,1,1.000000
Base5_5,5,2,1.000000
Base5_5,5,3,1.066968
Base5_5,5,4,1.109102
Base5_5,5,5,1.109102
Base5_5,5,6,1.109102
Base5_5,5,7,1.109102
Base5_5,5,8,1.109102
Base5_5,5,9,1.391979
Base5_5,5,10,1.391979
Base5_5,5,11,1.391979
Base5_5,5,12,1.391979
Base5_5,5,13,1.391979
Base5_5,5,14,1.391979
Base5_5,5,15,1.391979
Base5_5,5,16,1.391979
Base5_5,5,17,1.391979
Base5_5,5,18,1.391979
Base5_5,5,19,1.391979
Base5_5,5,20,1.391979
Base5_5,5,21,1.391979
Base5_5,5,22,1.391979
Base5_5,5,23,1.391979
Base5_5,5,24,1.391979
Base5_5,5,25,1.276076
Base5_5,5,26,1.276076
Base5_5,5,27,1.276076
Base5_5,5,28,1.276076
Base5_5,5,29,1.276076
Base5_5,5,30,1.276076
Base5_5,5,31,1.503551
Base5_5,5,32,1.503551
Base5_5,5,33,1.503551
Base5_5,5,34,1.503551
Base5_5,5,35,1.503551
Base5_5,5,36,1.503551
Base5_5,5,37,1.503551
Base5_5,5,38,1.503551
Base5_5,5,39,1.503551
Base5_5,5,40,1.503551
Base5_5,5,41,1.503551
Base5_5,5,42,1.490880
Base5_5,5,43,1.436531
Base5_5,5,44,1.436531
Base5_5,5,45,1.436531
Base5_5,5,46,1.436531
Base5_5,5,47,1.436531
Base5_5,5,48,1.436531
Base5_5,5,49,1.436531
Base5_5,5,50,1.436531
Base5_5,5,51,1.526525
Base5_5,5,52,1.526525
Base5_5,5,53,1.501580
Base5_5,5,54,1.501580
Base5_5,5,55,1.501580
Base5_5,5,56,1.501580
Base5_5,5,57,1.501580
Base5_5,5,58,1.501580
Base5_5,5,59,1.501580
Base5_5,5,60,1.501580
Base5_5,5,61,1.501580
Base5_5,5,62,1.501580
Base5_5,5,63,1.501580
Base5_5,5,64,1.501580
Base5_5,5,65,1.501580
Base5_5,5,66,1.501580
Base5_5,5,67,1.501580
Base5_5,5,68,1.501580
Base5_5,5,69,1.501580
Base5_5,5,70,1.501580
Base5_5,5,71,1.501580
Base5_5,5,72,1.501580
Base5_5,5,73,1.501580
Base5_5,5,74,1.375885
Base5_5,5,75,1.375885
Base5_5,5,76,1.375885
Base5_5,5,77,1.375885
Base5_5,5,78,1.375885
Base5_5,5,79,1.375885
Base5_5,5,80,1.375885
Base5_5,5,81,1.375885
Base5_5,5,82,1.375885
Base5_5,5,83,1.654221
Base5_5,5,84,1.816865
Base5_5,5,85,1.816865
Base5_5,5,86,1.816865
Base5_5,5,87,1.816865
Base5_5,5,88,1.816865
Base5_5,5,89,1.708426
Base5_5,5,90,1.710113
Base5_5,5,91,1.710113
Base5_5,5,92,1.524189
Base5_5,5,93,1.524189
Base5_5,5,94,1.524189
Base5_5,5,95,1.524189
Base5_5,5,96,1.524189
Base5_5,5,97,1.524189
Base5_5,5,98,1.524189
Base5_5,5,99,1.524189
Base5_5,5,100,1.524189
Base5_5,5,101,1.524189
Base5_5,5,102,1.524189
Base5_5,5,103,1.524189
Base5_5,5,104,1.524189
Base5_5,5,105,1.524189
Base5_5,5,106,1.524189
Base5_5,5,107,1.524189
Base5_5,5,108,1.524189
Legacy4_0,0,0,1.000000
Legacy4_0,0,1,1.000000
Legacy4_0,0,2,1.000000
Legacy4_0,0,3,1.000000
Legacy4_0,0,4,1.000000
Legacy4_0,0,5,1.296484
Legacy4_0,0,6,1.296484
Legacy4_0,0,7,1.296484
Legacy4_0,0,8,1.296484
Legacy4_0,0,9,1.296484
Legacy4_0,0,10,1.296484
Legacy4_0,0,11,1.296484
Legacy4_0,0,12,1.296484
Legacy4_0,0,13,1.296484
Legacy4_0,0,14,1.296484
Legacy4_0,0,15,1.237927
Legacy4_0,0,16,1.237927
Legacy4_0,0,17,1.237927
Legacy4_0,0,18,1.237927
Legacy4_0,0,19,1.237927
Legacy4_0,0,20,1.144219
Legacy4_0,0,21,1.144219
Legacy4_0,0,22,1.144219
Legacy4_0,0,23,1.144219
Legacy4_0,0,24,1.144219
Legacy4_0,0,25,1.144219
Legacy4_0,0,26,1.144219
Legacy4_0,0,27,1.401096
Legacy4_0,0,28,1.401096
Legacy4_0,0,29,1.392678
Legacy4_0,0,30,1.392678
Legacy4_0,0,31,1.392678
Legacy4_0,0,32,1.392678
Legacy4_0,0,33,1.392678
Legacy4_0,0,34,1.392678
Legacy4_0,0,35,1.392678
Legacy4_0,0,36,1.392678
Legacy4_0,0,37,1.392678
Legacy4_0,0,38,1.392678
Legacy4_0,0,39,1.392678
Legacy4_0,0,40,1.377244
Legacy4_0,0,41,1.377244
Legacy4_0,0,42,1.336850
Legacy4_0,0,43,1.336850
Legacy4_0,0,44,1.210121
Legacy4_0,0,45,0.982742
Legacy4_0,0,46,1.095823
Legacy4_0,0,47,1.095823
Legacy4_0,0,48,1.095823
Legacy4_0,0,49,1.095823
Legacy4_0,0,50,1.095823
Legacy4_0,0,51,1.095823
Legacy4_0,0,52,1.095823
Legacy4_0,0,53,1.095823
Legacy4_0,0,54,1.095823
Legacy4_0,0,55,1.167624
Legacy4_0,0,56,0.912422
Legacy4_0,0,57,0.912422
Legacy4_0,0,58,0.912422
Legacy4_0,0,59,1.178950
Legacy4_0,0,60,1.199293
Legacy4_0,0,61,1.199293
Legacy4_0,0,62,1.199293
Legacy4_0,0,63,1.199293
Legacy4_0,0,64,1.199293
Legacy4_0,0,65,1.199293
Legacy4_0,0,66,1.199293
Legacy4_0,0,67,1.199293
Legacy4_0,0,68,1.199293
Legacy4_0,0,69,1.199293
Legacy4_0,0,70,1.199293
Legacy4_0,0,71,1.800947
Legacy4_0,0,72,1.800947
Legacy4_0,0,73,1.805416
Legacy4_0,0,74,1.805416
Legacy4_0,0,75,1.805416
Legacy4_0,0,76,1.805416
Legacy4_0,0,77,1.805416
Legacy4_0,0,78,1.805416
Legacy4_0,0,79,1.805416
Legacy4_0,0,80,1.805416
Legacy4_0,0,81,1.805416
Legacy4_0,0,82,1.805416
Legacy4_0,0,83,1.805416
Legacy4_0,0,84,2.348062
Legacy4_0,0,85,2.216820
Legacy4_0,0,86,2.216820
Legacy4_0,0,87,2.216820
Legacy4_0,0,88,2.216820
Legacy4_0,0,89,2.216820
Legacy4_0,0,90,2.216820
Legacy4_0,0,91,2.216820
Legacy4_0,0,92,2.216820
Legacy4_0,0,93,2.206887
Legacy4_0,0,94,2.206887
Legacy4_0,0,95,2.206887
Legacy4_0,0,96,2.193651
Legacy4_1,1,0,1.000000
Legacy4_1,1,1,1.265450
Legacy4_1,1,2,1.265450
Legacy4_1,1,3,1.265450
Legacy4_1,1,4,1.265450
Legacy4_1,1,5,1.265450
Legacy4_1,1,6,1.265450
Legacy4_1,1,7,1.265450
Legacy4_1,1,8,1.265450
Legacy4_1,1,9,1.265450
Legacy4_1,1,10,1.265450
Legacy4_1,1,11,1.170854
Legacy4_1,1,12,1.170854
Legacy4_1,1,13,1.170854
Legacy4_1,1,14,1.170854
Legacy4_1,1,15,1.170854
Legacy4_1,1,16,1.170854
Legacy4_1,1,17,1.170854
Legacy4_1,1,18,1.170854
Legacy4_1,1,19,1.170854
Legacy4_1,1,20,1.170854
Legacy4_1,1,21,1.170854
Legacy4_1,1,22,1.170854
Legacy4_1,1,23,1.040134
Legacy4_1,1,24,0.957821
Legacy4_1,1,25,0.957821
Legacy4_1,1,26,0.957821
Legacy4_1,1,27,0.957821
Legacy4_1,1,28,0.957821
Legacy4_1,1,29,0.957821
Legacy4_1,1,30,0.957821
Legacy4_1,1,31,0.957821
Legacy4_1,1,32,0.957821
Legacy4_1,1,33,0.957821
Legacy4_1,1,34,0.957821
Legacy4_1,1,35,0.957821
Legacy4_1,1,36,0.957821
Legacy4_1,1,37,0.957821
Legacy4_1,1,38,0.957821
Legacy4_1,1,39,0.957821
Legacy4_1,1,40,0.957821
Legacy4_1,1,41,0.957821
Legacy4_1,1,42,0.957821
Legacy4_1,1,43,0.957821
Legacy4_1,1,44,0.957821
Legacy4_1,1,45,0.957821
Legacy4_1,1,46,0.957821
Legacy4_1,1,47,0.957821
Legacy4_1,1,48,0.957821
Legacy4_1,1,49,0.957821
Legacy4_1,1,50,1.213489
Legacy4_1,1,51,1.213489
Legacy4_1,1,52,1.213489
Legacy4_1,1,53,1.213489
Legacy4_1,1,54,1.213489
Legacy4_1,1,55,1.213489
Legacy4_1,1,56,1.213489
Legacy4_1,1,57,1.213489
Legacy4_1,1,58,1.451675
Legacy4_1,1,59,1.451675
Legacy4_1,1,60,1.451675
Legacy4_1,1,61,1.451675
Legacy4_1,1,62,1.451675
Legacy4_1,1,63,1.451675
Legacy4_1,1,64,1.451675
Legacy4_1,1,65,1.548115
Legacy4_1,1,66,1.425272
Legacy4_1,1,67,1.338995
Legacy4_1,1,68,1.338995
Legacy4_1,1,69,1.338995
Legacy4_1,1,70,1.338995
Legacy4_1,1,71,1.338995
Legacy4_1,1,72,1.338995
Legacy4_1,1,73,1.338995
Legacy4_1,1,74,1.338995
Legacy4_1,1,75,1.338995
Legacy4_1,1,76,1.338995
