em,universe,window,bar_idx,equity
1.26,LargeCaps5,0,90,3.53555493
1.26,LargeCaps5,0,100,3.53555493
1.26,LargeCaps5,0,110,3.53555493
1.26,LargeCaps5,0,120,3.65592136
1.26,LargeCaps5,0,130,4.11504142
1.26,LargeCaps5,0,140,4.11504142
1.26,LargeCaps5,0,150,4.11504142
1.26,LargeCaps5,1,0,1.00000000
1.26,LargeCaps5,1,10,1.00000000
1.26,LargeCaps5,1,20,1.00000000
1.26,LargeCaps5,1,30,1.00000000
1.26,LargeCaps5,1,40,1.00000000
1.26,LargeCaps5,1,50,1.00000000
1.26,LargeCaps5,1,60,1.00000000
1.26,LargeCaps5,1,70,1.00000000
1.26,LargeCaps5,1,80,1.00000000
1.26,LargeCaps5,1,90,1.00000000
1.26,LargeCaps5,1,100,0.93486178
1.26,LargeCaps5,1,110,0.93486178
1.26,LargeCaps5,1,120,0.93346404
1.26,LargeCaps5,1,130,0.84268545
1.26,LargeCaps5,1,140,0.84268545
1.26,LargeCaps5,1,150,0.84268545
1.26,LargeCaps5,1,160,0.84268545
1.26,LargeCaps5,1,170,0.97503647
1.26,LargeCaps5,1,180,0.97503647
1.26,LargeCaps5,1,190,1.35221836
1.26,LargeCaps5,2,0,1.00000000
1.26,LargeCaps5,2,10,1.00000000
1.26,LargeCaps5,2,20,1.00000000
1.26,LargeCaps5,2,30,1.00000000
1.26,LargeCaps5,2,40,0.66639367
1.26,LargeCaps5,2,50,0.66639367
1.26,LargeCaps5,2,60,0.66639367
1.26,LargeCaps5,2,70,0.64968323
1.26,LargeCaps5,2,80,0.64968323
1.26,LargeCaps5,2,90,1.42987205
1.26,LargeCaps5,2,100,1.42987205
1.26,LargeCaps5,2,110,1.42987205
1.26,LargeCaps5,2,120,2.73249411
1.26,LargeCaps5,2,130,2.73249411
1.26,LargeCaps5,2,140,2.73249411
1.26,LargeCaps5,2,150,2.73249411
1.26,LargeCaps5,3,0,1.00000000
1.26,LargeCaps5,3,10,1.02695755
1.26,LargeCaps5,3,20,1.06690624
1.26,LargeCaps5,3,30,0.87561132
1.26,LargeCaps5,3,40,0.87561132
1.26,LargeCaps5,3,50,0.68403392
1.26,LargeCaps5,3,60,0.68403392
1.26,LargeCaps5,3,70,0.68403392
1.26,LargeCaps5,3,80,0.79515893
1.26,LargeCaps5,3,90,0.79515893
1.26,LargeCaps5,3,100,0.79515893
1.26,LargeCaps5,3,110,0.79515893
1.26,LargeCaps5,3,120,0.79515893
1.26,LargeCaps5,3,130,0.79515893
1.26,LargeCaps5,3,140,0.79515893
1.26,LargeCaps5,4,0,1.00000000
1.26,LargeCaps5,4,10,1.00000000
1.26,LargeCaps5,4,20,1.03939803
1.26,LargeCaps5,4,30,1.01145702
1.26,LargeCaps5,4,40,1.29650225
1.26,LargeCaps5,4,50,1.29650225
1.26,LargeCaps5,4,60,1.29650225
1.26,LargeCaps5,4,70,1.29650225
1.26,LargeCaps5,4,80,1.29650225
1.26,LargeCaps5,4,90,1.29650225
1.26,LargeCaps5,4,100,1.29650225
1.26,LargeCaps5,4,110,1.29650225
1.26,LargeCaps5,4,120,1.29650225
1.26,LargeCaps5,4,130,1.29650225
1.26,LargeCaps5,4,140,1.29650225
1.26,LargeCaps5,4,150,1.29650225
1.26,LargeCaps5,4,160,1.29650225
1.26,LargeCaps5,4,170,1.29650225
1.26,LargeCaps5,4,180,1.29650225
1.26,LargeCaps5,5,0,1.00000000
1.26,LargeCaps5,5,10,1.00000000
1.26,LargeCaps5,5,20,1.00000000
1.26,LargeCaps5,5,30,1.00000000
1.26,LargeCaps5,5,40,1.00000000
1.26,LargeCaps5,5,50,1.00000000
1.26,LargeCaps5,5,60,1.00000000
1.26,LargeCaps5,5,70,1.00000000
1.26,LargeCaps5,5,80,1.00000000
1.26,LargeCaps5,5,90,1.00000000
