chand_period,chand_mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
10,3,NoDOGE,1,-5.43,-1.0380,17.07,6,50.00,false
10,3,NoDOGE,2,867.70,13.7214,16.93,6,50.00,true
10,3,NoDOGE,3,134.05,9.0206,14.25,7,71.43,true
10,3,NoDOGE,4,145.80,22.8830,5.11,4,50.00,true
10,3,NoDOGE,5,29.24,6.0696,20.94,6,66.67,true
10,3,Legacy4,0,100.66,14.1614,11.60,8,62.50,true
10,3,Legacy4,1,25.75,5.1490,35.18,7,42.86,true
10,3,Legacy4,2,-24.68,-8.0929,34.08,6,33.33,false
10,3,Legacy4,3,45.03,7.1349,29.17,6,33.33,true
10,3,Legacy4,4,-41.21,-18.9606,41.21,5,0.00,false
10,3,Legacy4,5,15.15,4.2568,25.36,7,57.14,true
10,3,Legacy5BNB,0,139.96,13.3566,11.60,9,55.56,true
10,3,Legacy5BNB,1,-10.35,-0.3600,38.05,7,42.86,false
10,3,Legacy5BNB,2,-27.81,-11.0466,34.08,6,33.33,false
10,3,Legacy5BNB,3,65.20,8.8646,15.32,5,40.00,true
10,3,Legacy5BNB,4,-28.97,-6.2145,28.97,5,20.00,false
10,3,Legacy5BNB,5,-8.98,0.0182,26.96,8,37.50,false
10,3,OldGuardNoBNB,0,6.12,2.2172,17.81,10,40.00,true
10,3,OldGuardNoBNB,1,-74.09,-11.0652,75.19,8,37.50,false
10,3,OldGuardNoBNB,2,-24.68,-8.0929,34.08,6,33.33,false
10,3,OldGuardNoBNB,3,45.03,7.1349,29.17,6,33.33,true
10,3,OldGuardNoBNB,4,-41.21,-18.9606,41.21,5,0.00,false
10,3,OldGuardNoBNB,5,24.26,6.7570,17.61,7,57.14,true
10,3,LargeCaps5,0,137.21,7.9965,36.31,7,42.86,true
10,3,LargeCaps5,1,-3.85,-0.8084,15.69,6,50.00,false
10,3,LargeCaps5,2,745.39,13.3309,16.93,6,50.00,true
10,3,LargeCaps5,3,61.79,5.7700,16.72,7,57.14,true
10,3,LargeCaps5,4,145.80,22.8830,5.11,4,50.00,true
10,3,LargeCaps5,5,29.24,6.0696,20.94,6,66.67,true
10,3,Legacy3,0,43.26,6.2853,18.48,8,50.00,true
10,3,Legacy3,1,10.05,2.9960,30.96,6,50.00,true
10,3,Legacy3,2,-29.17,-7.7018,34.75,7,28.57,false
10,3,Legacy3,3,5.84,2.6949,40.54,7,42.86,true
10,3,Legacy3,4,-24.46,-7.9635,26.10,5,20.00,false
10,3,Legacy3,5,-1.10,1.1188,19.17,5,40.00,false
