universe,window,bar_idx,equity
Base5,0,66,1.577703
Base5,0,67,1.577703
Base5,0,68,1.577703
Base5,0,69,1.577703
Base5,0,70,1.577703
Base5,0,71,1.577703
Base5,0,72,1.577703
Base5,0,73,1.628900
Base5,0,74,1.628900
Base5,0,75,1.628900
Base5,0,76,1.628900
Base5,0,77,1.628900
Base5,0,78,1.628900
Base5,0,79,1.628900
Base5,0,80,1.752635
Base5,0,81,1.752635
Base5,0,82,2.374970
Base5,0,83,2.374970
Base5,0,84,2.374970
Base5,0,85,2.374970
Base5,0,86,2.374970
Base5,0,87,2.374970
Base5,0,88,2.232819
Base5,0,89,2.232819
Base5,0,90,2.232819
Base5,0,91,2.232819
Base5,0,92,2.232819
Base5,0,93,2.232819
Base5,0,94,2.232819
Base5,0,95,2.865757
Base5,0,96,2.865757
Base5,0,97,2.865757
Base5,0,98,2.298317
Base5,0,99,2.298317
Base5,0,100,2.298317
Base5,0,101,2.298317
Base5,0,102,2.298317
Base5,0,103,2.298317
Base5,0,104,2.298317
Base5,0,105,2.298317
Base5,0,106,2.298317
Base5,0,107,2.298317
Base5,0,108,2.298317
Base5,0,109,2.298317
Base5,0,110,2.298317
Base5,0,111,2.298317
Base5,0,112,2.298317
Base5,0,113,2.298317
Base5,0,114,2.298317
Base5,0,115,2.298317
Base5,0,116,2.298317
Base5,0,117,2.298317
Base5,0,118,2.298317
Base5,0,119,2.190325
Base5,0,120,2.190325
Base5,0,121,2.190325
Base5,0,122,2.190325
Base5,0,123,2.190325
Base5,0,124,2.190325
Base5,0,125,2.190325
Base5,0,126,2.190325
Base5,0,127,2.190325
Base5,0,128,2.190325
Base5,0,129,2.190325
Base5,0,130,2.190325
Base5,0,131,2.190325
Base5,0,132,2.190325
Base5,0,133,2.190325
Base5,0,134,2.190325
Base5,0,135,2.190325
Base5,0,136,2.190325
Base5,0,137,2.190325
Base5,0,138,2.190325
Base5,0,139,2.190325
Base5,0,140,2.190325
Base5,0,141,2.190325
Base5,0,142,2.190325
Base5,0,143,2.190325
Base5,0,144,2.190325
Base5,0,145,2.190325
Base5,0,146,2.190325
