hedge_threshold,size_mult,hedge_atr_p,pass_count,total_windows,pass_rate,avg_sharpe,avg_return,avg_dd,total_trades
35,0.50,40,64,63,101.59,8.3459,94.72,20.72,787
90,0.50,60,64,63,101.59,8.3416,134.83,25.75,787
70,0.50,60,64,63,101.59,8.3356,117.75,24.59,787
10,0.55,5,64,63,101.59,8.3347,96.06,18.78,787
55,0.55,45,64,63,101.59,8.3291,114.02,23.95,787
70,0.50,55,64,63,101.59,8.3275,118.51,24.54,787
60,0.50,30,64,63,101.59,8.3218,102.28,24.14,787
0,0.55,60,64,63,101.59,8.3180,95.51,18.35,787
95,0.50,60,64,63,101.59,8.3179,132.51,26.27,787
70,0.65,15,64,63,101.59,8.3164,132.48,26.20,787
25,0.50,20,64,63,101.59,8.3152,94.22,18.96,787
70,0.50,40,64,63,101.59,8.3067,108.12,24.85,787
5,0.55,10,64,63,101.59,8.3045,94.12,18.50,787
40,0.65,15,64,63,101.59,8.2943,127.10,23.84,787
65,0.65,20,64,63,101.59,8.2926,130.60,26.00,787
60,0.65,10,64,63,101.59,8.2905,133.58,25.05,787
45,0.50,5,64,63,101.59,8.2857,96.87,20.75,787
60,0.50,25,64,63,101.59,8.2811,104.20,24.12,787
55,0.55,35,64,63,101.59,8.2792,109.49,24.20,787
60,0.65,20,64,63,101.59,8.2744,129.50,25.73,787
65,0.50,55,64,63,101.59,8.2704,114.39,23.66,787
70,0.55,10,64,63,101.59,8.2672,118.56,25.77,787
30,0.50,45,64,63,101.59,8.2605,92.37,20.54,787
40,0.50,30,64,63,101.59,8.2492,95.82,21.19,787
60,0.75,10,64,63,101.59,8.2440,139.68,25.69,787
75,0.50,25,64,63,101.59,8.2407,125.02,24.72,787
80,0.50,55,64,63,101.59,8.2305,126.46,25.55,787
75,0.50,50,64,63,101.59,8.2303,124.77,25.54,787
35,0.50,35,64,63,101.59,8.2274,93.15,20.67,787
80,0.50,45,64,63,101.59,8.2115,125.27,25.59,787
75,0.50,55,64,63,101.59,8.2074,122.74,25.52,787
80,0.50,60,64,63,101.59,8.2067,124.00,25.32,787
75,0.50,60,64,63,101.59,8.1780,122.63,25.30,787
75,0.50,20,64,63,101.59,8.1701,115.98,25.03,787
80,0.50,50,64,63,101.59,8.1496,123.65,25.71,787
75,0.50,30,64,63,101.59,8.1415,121.36,24.81,787
80,0.50,25,64,63,101.59,8.1321,128.38,25.35,787
20,0.50,25,64,63,101.59,8.1288,90.28,19.13,787
80,0.50,20,64,63,101.59,8.1276,128.46,25.20,787
30,0.50,60,64,63,101.59,8.1268,91.60,20.71,787
15,0.50,15,64,63,101.59,8.1220,78.19,17.98,787
30,0.50,50,64,63,101.59,8.1142,91.25,20.67,787
65,0.50,60,64,63,101.59,8.1121,112.30,24.17,787
30,0.50,55,64,63,101.59,8.0764,89.95,20.74,787
70,0.50,25,64,63,101.59,8.0759,113.41,24.75,787
70,0.50,30,64,63,101.59,8.0628,120.21,24.75,787
35,0.50,60,64,63,101.59,8.0510,92.67,21.40,787
30,0.50,25,64,63,101.59,8.0504,94.06,21.08,787
0,0.50,15,64,63,101.59,8.0441,69.75,15.54,787
40,0.50,5,64,63,101.59,8.0155,89.31,20.49,787
60,0.50,55,64,63,101.59,7.9941,111.28,23.74,787
75,0.50,5,63,63,100.00,8.5954,124.72,24.57,787
80,0.50,5,63,63,100.00,8.5631,132.48,25.06,787
75,0.55,5,63,63,100.00,8.5062,134.11,25.39,787
60,0.55,40,63,63,100.00,8.4858,114.89,24.54,787
80,0.55,5,63,63,100.00,8.4690,139.93,25.78,787
65,0.55,50,63,63,100.00,8.4596,118.87,24.72,787
70,0.55,5,63,63,100.00,8.4513,125.48,24.57,787
65,0.55,40,63,63,100.00,8.4411,114.77,25.20,787
60,0.55,35,63,63,100.00,8.4253,114.27,24.55,787
70,0.55,20,63,63,100.00,8.4242,120.59,25.39,787
55,0.50,50,63,63,100.00,8.4239,103.96,22.90,787
70,0.55,35,63,63,100.00,8.4201,124.43,25.53,787
60,0.55,45,63,63,100.00,8.4191,115.74,24.66,787
65,0.55,35,63,63,100.00,8.4114,120.36,24.72,787
65,0.55,45,63,63,100.00,8.4038,115.75,24.98,787
20,0.55,5,63,63,100.00,8.4017,98.30,19.30,787
75,0.65,5,63,63,100.00,8.3971,143.68,26.29,787
75,0.55,40,63,63,100.00,8.3802,125.91,26.01,787
60,0.55,50,63,63,100.00,8.3797,116.68,24.70,787
60,0.65,40,63,63,100.00,8.3701,127.91,25.67,787
15,0.55,35,63,63,100.00,8.3680,101.79,20.41,787
80,0.65,5,63,63,100.00,8.3633,147.75,26.58,787
5,0.50,10,63,63,100.00,8.3625,77.96,15.80,787
75,0.55,35,63,63,100.00,8.3597,124.30,26.02,787
70,0.65,5,63,63,100.00,8.3566,136.75,25.67,787
65,0.65,5,63,63,100.00,8.3532,132.75,24.94,787
65,0.65,50,63,63,100.00,8.3513,131.01,25.82,787
65,0.65,10,63,63,100.00,8.3489,136.15,25.62,787
70,0.55,45,63,63,100.00,8.3456,116.02,25.46,787
65,0.65,40,63,63,100.00,8.3406,127.80,26.16,787
25,0.55,5,63,63,100.00,8.3387,101.65,20.38,787
75,0.75,5,63,63,100.00,8.3386,148.52,26.75,787
55,0.55,50,63,63,100.00,8.3385,115.99,24.11,787
0,0.50,50,63,63,100.00,8.3354,77.31,15.91,787
70,0.55,50,63,63,100.00,8.3351,116.01,25.72,787
60,0.65,5,63,63,100.00,8.3323,132.10,24.91,787
70,0.65,35,63,63,100.00,8.3312,135.72,26.41,787
80,0.75,10,63,63,100.00,8.3289,142.59,27.00,787
50,0.55,60,63,63,100.00,8.3282,116.33,24.07,787
60,0.65,35,63,63,100.00,8.3277,127.47,25.67,787
