cp,universe,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,equity_final,pass
7,Legacy3,4,-9.5211,-0.167255,27.38,12,41.67,0.904789,false
7,Legacy3,5,-35.9526,-3.218037,49.06,16,25.00,0.640474,false
7,LowVolume5,0,105.7940,5.151013,29.89,19,47.37,2.057940,true
7,LowVolume5,1,-25.8522,-0.810124,56.41,16,43.75,0.741478,false
7,LowVolume5,2,228.8269,7.081020,24.93,16,50.00,3.288269,true
7,LowVolume5,3,747.8295,11.860334,33.74,14,64.29,8.478295,true
7,LowVolume5,4,-71.9715,-8.263426,73.91,15,20.00,0.280285,false
7,LowVolume5,5,-83.1800,-10.430065,83.54,19,15.79,0.168200,false
7,OldGuard4,0,451.9941,10.936359,20.88,19,68.42,5.519941,true
7,OldGuard4,1,60.5175,7.207939,18.17,12,66.67,1.605175,true
7,OldGuard4,2,154.3851,7.578262,29.51,13,53.85,2.543851,true
7,OldGuard4,3,25.5556,3.348813,32.66,14,42.86,1.255556,true
7,OldGuard4,4,-34.6292,-3.485284,43.94,13,30.77,0.653708,false
7,OldGuard4,5,-62.0363,-6.386129,66.55,18,16.67,0.379637,false
8,Base5,0,185.8953,6.867232,49.01,16,50.00,2.858953,true
8,Base5,1,961.1629,6.920583,8.73,12,75.00,10.611629,true
8,Base5,2,799.2922,14.846088,10.71,12,83.33,8.992922,true
8,Base5,3,423.0398,11.041523,23.98,15,60.00,5.230398,true
8,Base5,4,21.3935,3.790094,22.08,11,36.36,1.213935,true
8,Base5,5,-7.8534,0.660116,42.45,15,33.33,0.921466,false
8,NoDOGE,0,185.8953,6.867232,49.01,16,50.00,2.858953,true
8,NoDOGE,1,-25.0371,-2.540472,42.59,10,40.00,0.749629,false
8,NoDOGE,2,257.1164,8.225379,21.92,15,46.67,3.571164,true
8,NoDOGE,3,578.3551,11.826769,23.98,15,66.67,6.783551,true
8,NoDOGE,4,21.3935,3.790094,22.08,11,36.36,1.213935,true
8,NoDOGE,5,-36.0213,-4.049399,50.17,15,33.33,0.639787,false
8,Legacy4,0,197.1495,9.349435,22.62,17,64.71,2.971495,true
8,Legacy4,1,5.4742,1.878810,42.77,13,46.15,1.054742,true
8,Legacy4,2,297.3987,10.001741,11.43,11,72.73,3.973987,true
8,Legacy4,3,178.9970,8.238730,38.72,15,53.33,2.789970,true
8,Legacy4,4,46.5812,5.576067,27.05,11,54.55,1.465812,true
8,Legacy4,5,-5.9059,0.676715,21.68,14,35.71,0.940941,false
8,Legacy5BNB,0,222.7216,9.806740,22.62,17,64.71,3.227216,true
8,Legacy5BNB,1,-41.4668,-5.703987,43.34,14,35.71,0.585332,false
8,Legacy5BNB,2,334.3525,10.605052,11.43,11,72.73,4.343525,true
8,Legacy5BNB,3,188.3159,7.307243,54.77,14,50.00,2.883159,true
8,Legacy5BNB,4,72.0951,9.282721,14.84,9,66.67,1.720951,true
8,Legacy5BNB,5,-3.3865,0.606234,22.69,11,36.36,0.966135,false
8,OldGuardNoBNB,0,191.0276,6.160008,45.76,19,68.42,2.910276,true
8,OldGuardNoBNB,1,-39.6753,-3.914999,53.80,13,38.46,0.603247,false
8,OldGuardNoBNB,2,297.3987,10.001741,11.43,11,72.73,3.973987,true
8,OldGuardNoBNB,3,178.9970,8.238730,38.72,15,53.33,2.789970,true
8,OldGuardNoBNB,4,27.9402,3.742289,27.05,12,50.00,1.279402,true
8,OldGuardNoBNB,5,-30.1040,-2.398349,37.22,14,35.71,0.698960,false
8,LargeCaps5,0,107.4672,5.334634,49.01,16,50.00,2.074672,true
8,LargeCaps5,1,-25.0371,-2.540472,42.59,10,40.00,0.749629,false
8,LargeCaps5,2,272.0777,8.448469,21.92,15,46.67,3.720777,true
8,LargeCaps5,3,343.7158,9.140244,38.19,14,57.14,4.437158,true
8,LargeCaps5,4,35.1777,5.241441,13.00,11,45.45,1.351777,true
8,LargeCaps5,5,-38.9041,-4.621071,50.17,15,26.67,0.610959,false
8,Legacy3,0,248.8047,11.451013,20.38,16,68.75,3.488047,true
8,Legacy3,1,56.7380,5.806855,18.88,13,61.54,1.567380,true
8,Legacy3,2,126.5642,6.530977,26.40,14,42.86,2.265642,true
8,Legacy3,3,3.7636,2.139746,44.35,14,42.86,1.037636,true
