atr_period,bar,equity
100,198,104.634315
100,199,103.177514
100,200,103.594686
100,201,97.579500
100,202,87.983301
100,203,91.663080
100,204,87.727613
100,205,133.008728
100,206,124.834912
100,207,121.077023
100,208,121.077023
100,209,122.471929
100,210,138.825655
100,211,121.697953
100,212,110.788428
100,213,109.940531
100,214,115.089039
100,215,112.849762
100,216,110.858402
100,217,110.858402
100,218,106.933245
100,219,112.193124
100,220,131.670861
100,221,138.056757
100,222,155.037926
100,223,154.841760
100,224,144.342712
100,225,170.822633
100,226,161.593668
100,227,157.319831
100,228,155.459977
100,229,161.415639
100,230,159.115454
100,231,155.964932
100,232,132.308846
100,233,124.366045
100,234,124.366045
100,235,127.583443
100,236,124.870151
100,237,131.280473
100,238,116.991632
100,239,116.991632
100,240,113.182848
100,241,192.054304
100,242,270.152463
100,243,275.570797
100,244,265.923001
100,245,265.923001
100,246,268.776802
100,247,232.453835
100,248,227.173263
100,249,229.998434
100,250,229.446321
100,251,226.773964
90,0,1.000000
90,1,1.000000
90,2,1.000000
90,3,1.117681
90,4,1.169847
90,5,1.169847
90,6,1.169847
90,7,1.169847
90,8,1.549371
90,9,1.568876
90,10,1.568876
90,11,1.568876
90,12,1.568876
90,13,1.568876
90,14,1.424524
90,15,1.273453
90,16,1.273453
90,17,1.079577
90,18,1.079577
90,19,1.017485
90,20,1.017508
90,21,1.017508
90,22,1.017508
90,23,1.017508
90,24,1.017508
90,25,1.017508
90,26,1.023483
90,27,1.359943
90,28,1.359943
90,29,1.359943
90,30,1.359943
90,31,1.249595
90,32,1.249595
90,33,1.249595
90,34,1.146445
90,35,1.146445
90,36,1.146445
90,37,1.146445
90,38,1.145542
90,39,1.167014
90,40,1.219118
90,41,1.216052
90,42,1.216052
90,43,1.216052
90,44,1.216052
90,45,1.216052
90,46,1.216052
90,47,1.193045
90,48,1.124303
90,49,1.051174
90,50,0.958034
90,51,0.959055
90,52,0.948523
90,53,0.948523
90,54,0.948523
90,55,0.948523
90,56,1.236763
90,57,1.236763
90,58,1.187093
90,59,1.753283
90,60,1.753283
90,61,1.753283
90,62,2.846146
90,63,2.846146
90,64,2.857653
90,65,2.896258
90,66,4.986576
90,67,4.986576
90,68,5.157901
90,69,5.471197
90,70,5.051035
90,71,5.323029
90,72,3.271572
90,73,3.271572
90,74,3.271572
90,75,3.229684
90,76,3.451729
90,77,2.942585
90,78,2.595440
90,79,1.975243
90,80,2.667659
90,81,2.625051
90,82,2.153965
90,83,1.868787
90,84,1.775972
90,85,1.775972
90,86,1.792298
90,87,1.701891
90,88,1.574258
90,89,1.574258
90,90,1.656626
90,91,1.526139
90,92,1.848782
90,93,1.921981
90,94,1.953204
90,95,2.138187
90,96,2.103782
90,97,2.092230
90,98,2.017391
90,99,2.017391
90,100,2.727801
90,101,3.228649
90,102,3.228649
90,103,3.663505
90,104,3.512258
90,105,3.545744
90,106,3.545744
90,107,3.635712
90,108,3.626993
90,109,3.539458
90,110,3.243543
90,111,3.976056
90,112,3.976056
90,113,3.976056
90,114,4.068057
90,115,4.160743
90,116,4.160743
90,117,4.103800
90,118,7.424266
90,119,7.527689
90,120,7.710536
90,121,7.843363
90,122,7.578228
90,123,7.610149
90,124,7.377053
90,125,6.645176
90,126,8.064088
90,127,8.740764
90,128,9.277445
90,129,9.373719
90,130,11.546057
90,131,15.772190
90,132,14.356079
90,133,13.925276
90,134,16.888421
90,135,16.479000
90,136,16.565936
90,137,16.344988
90,138,14.541560
90,139,12.453236
90,140,11.531815
90,141,12.169132
90,142,12.331730
90,143,12.402861
90,144,12.402861
90,145,12.402861
90,146,12.402861
90,147,11.386621
90,148,10.983190
90,149,10.983190
90,150,10.983190
90,151,10.983190
90,152,11.097253
90,153,10.453737
90,154,10.453737
90,155,10.453737
90,156,10.453737
90,157,10.268502
90,158,10.268502
90,159,14.217610
90,160,14.217610
90,161,12.604484
90,162,12.309221
90,163,12.309221
90,164,11.972445
90,165,11.666484
90,166,18.937127
90,167,18.543694
90,168,18.302547
90,169,18.302547
90,170,21.147136
90,171,20.653197
90,172,21.165550
90,173,20.840659
90,174,20.706928
90,175,21.065685
90,176,25.537595
90,177,27.696815
90,178,28.699824
90,179,27.782977
90,180,37.424411
90,181,33.367116
90,182,33.367116
90,183,33.367116
90,184,33.191994
90,185,29.188208
90,186,29.188208
90,187,29.188208
90,188,29.188208
90,189,35.063665
90,190,36.049516
90,191,40.334600
90,192,40.445626
90,193,37.305368
90,194,46.459644
90,195,46.459644
90,196,46.459644
90,197,46.289864
90,198,52.857763
90,199,52.121835
90,200,52.332577
90,201,49.293906
90,202,44.446226
90,203,46.305128
