symbol,entry_bar,exit_bar,bars_held,entry_price,exit_price,gross_pct,net_pct,fee_pct,by_turtle,by_maxhold
BTCUSDT,1460,1461,1,44544.86,40515.7,-9.045173786605243,-9.226901711107526,0.18172792450228314,1,0
ETHUSDT,1496,1508,12,3036,3406.99,12.219696969696958,11.995481790936346,0.2242151787606126,0,1
SOLUSDT,1531,1536,5,159.79,164.9,3.197947305838933,2.9917576009321767,0.20618970490675625,1,0
SOLUSDT,1540,1543,3,178.29,166.1,-6.837175388412131,-7.023314898125587,0.18613950971345616,1,0
SOLUSDT,1549,1555,6,186.59,215.13,15.295567822498523,15.065207047628416,0.23036077487010687,1,0
SOLUSDT,1560,1563,3,237.47,256.37,7.958900071587993,7.743197973542881,0.21570209804511187,1,0
ETHUSDT,1619,1620,1,1597.7,1449.12,-9.299618201164183,-9.480837745217785,0.18121954405360263,1,0
SOLUSDT,1621,1621,1,219.51,261.97,19.343082319712114,19.104634602789595,0.23844771692251854,1,0
ETHUSDT,1622,1634,12,1635.74,1702.76,4.097228165845435,3.889241695983614,0.20798646986182057,0,1
BTCUSDT,1691,1699,8,20337.82,19375.13,-4.733496510442114,-4.923839174756905,0.19034266431479097,1,0
BTCUSDT,1722,1725,3,21148.52,18547.23,-12.300104215330443,-12.475328782332774,0.17522456700233136,1,0
SOLUSDT,1732,1736,4,164.46,183.75,11.729295877417002,11.506060521018568,0.22323535639843328,1,0
SOLUSDT,1737,1738,1,183.75,169.16,-7.940136054421776,-8.12407184652082,0.1839357920990441,1,0
BTCUSDT,1793,1794,1,20954.92,21185.65,1.1010779330104858,0.8990777773002057,0.20200015571028018,1,0
BTCUSDT,1795,1796,1,21185.65,20677.47,-2.398699119451142,-2.5937067136180603,0.19500759416691826,1,0
BTCUSDT,1799,1803,4,22667.21,23060.94,1.737002480675831,1.53373174644873,0.20327073422710118,1,0
BTCUSDT,1804,1816,12,23060.94,23240.46,0.7784591608147817,0.5771035980559169,0.2013555627588648,0,1
ETHUSDT,1817,1818,1,1671.03,1545.35,-7.521109734714527,-7.7058827422375575,0.18477300752303094,1,0
BTCUSDT,1825,1825,1,24324.05,23517.72,-3.3149496074872276,-3.5081265313483767,0.19317692386114915,1,0
BTCUSDT,1827,1833,6,24569.97,23185.29,-5.635660116801122,-5.824200256427881,0.18854013962675875,1,0
SOLUSDT,1839,1840,1,204.14,187.2,-8.29822670716175,-8.481447033421151,0.1832203262594021,1,0
SOLUSDT,1844,1856,12,214.43,224.07,4.495639602667523,4.286857105958908,0.20878249670861493,0,1
BTCUSDT,1857,1869,12,27972.87,28452.73,1.7154478607307677,1.5122201926773604,0.2032276680534073,0,1
ETHUSDT,1873,1885,12,1870.37,2074,10.887150670722923,10.665597922130065,0.2215527485928579,0,1
BTCUSDT,1950,1950,1,28307.99,29993.89,5.95556236949355,5.743862944179878,0.2116994253136717,1,0
BTCUSDT,1951,1963,12,29993.89,30766.51,2.575924629982973,2.3709777276253563,0.2049469023576167,0,1
DOGEUSDT,1968,1970,2,0.41277,0.39264,-4.876807907551428,-5.066864235408463,0.19005632785703508,1,0
BTCUSDT,1973,1976,3,31454.23,30138,-4.184588209598516,-4.376027593795106,0.19143938419659,1,0
DOGEUSDT,1977,1984,7,0.44045,0.41403,-5.998410716312863,-6.186226079517021,0.18781536320415793,1,0
DOGEUSDT,2024,2025,1,0.41525,0.3584,-13.690547862733293,-13.862994320550005,0.17244645781671153,1,0
ETHUSDT,2050,2053,3,1652.99,1662.4,0.5692714414485378,0.36833383617091986,0.20093760527761795,1,0
BTCUSDT,2068,2071,3,28500.78,29669.04,4.099045710327931,3.891055609008598,0.20799010131933304,1,0
BTCUSDT,2072,2074,2,29669.04,33069.99,11.46295936774495,11.240256152224992,0.22270321551995842,1,0
BTCUSDT,2075,2075,1,33069.99,33922.73,2.578591647593509,2.373639416529394,0.20495223106411498,1,0
BTCUSDT,2076,2088,12,33922.73,35046.09,3.3115259296642385,3.105109294440145,0.2064166352240937,0,1
ETHUSDT,2089,2091,2,1900.95,2121.32,11.59262474026146,11.36966245306812,0.2229622871933401,1,0
