ep,cp,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
28,19,0,-36.5838,-0.4133,58.41,29,31.03,0
28,19,1,1940.8320,8.3368,30.62,32,59.38,1
28,20,0,-4.3619,1.2517,59.74,29,27.59,0
28,20,1,1887.8520,9.1371,30.62,32,62.50,1
29,5,0,126.3030,4.5225,57.29,25,44.00,1
29,5,1,1161.7855,8.9041,42.87,29,65.52,1
29,6,0,71.1559,3.3931,58.32,26,42.31,1
29,6,1,1555.5392,9.4019,38.19,29,68.97,1
29,7,0,71.1559,3.3931,58.32,26,42.31,1
29,7,1,2645.7277,10.1228,38.19,29,68.97,1
29,8,0,5.9812,1.5463,57.29,26,42.31,1
29,8,1,2374.1883,9.8728,38.19,29,65.52,1
29,9,0,-0.6698,1.2215,56.19,26,42.31,0
29,9,1,2439.9362,9.9737,38.19,29,65.52,1
29,10,0,-0.6698,1.2215,56.19,26,42.31,0
29,10,1,2534.1571,10.0798,38.19,29,65.52,1
29,11,0,-2.2724,1.1298,55.52,26,42.31,0
29,11,1,2521.5965,9.7117,35.65,30,60.00,1
29,12,0,-31.5277,-0.1595,57.75,27,37.04,0
29,12,1,1662.4296,8.4929,32.26,31,54.84,1
29,13,0,-31.5277,-0.1595,57.75,27,37.04,0
29,13,1,1724.4459,8.3748,32.26,31,54.84,1
29,14,0,-12.5386,0.7532,55.52,27,37.04,0
29,14,1,1088.6910,7.5384,32.26,32,56.25,1
29,15,0,2.7322,1.3083,55.52,27,37.04,1
29,15,1,1404.5501,8.1927,32.26,31,58.06,1
29,16,0,3.4325,1.3999,64.51,29,34.48,1
29,16,1,2184.9193,8.3771,30.62,31,61.29,1
29,17,0,-33.6122,-0.2704,65.28,29,34.48,0
29,17,1,1727.2341,7.9690,30.62,32,59.38,1
29,18,0,1.9444,1.1650,62.84,30,43.33,1
29,18,1,1864.7110,8.1572,30.62,32,59.38,1
29,19,0,-8.7949,0.8464,62.84,30,40.00,0
29,19,1,1940.8320,8.3368,30.62,32,59.38,1
29,20,0,25.6542,1.8372,64.51,31,38.71,1
29,20,1,1887.8520,9.1371,30.62,32,62.50,1
30,5,0,231.7347,5.9306,46.01,23,52.17,1
