ep,cp,avg_sharpe,avg_ret_pct,avg_max_dd_pct,total_trades,pass_count,total_windows
29,16,4.8885,1094.1759,47.57,60,2,2
29,17,3.8493,846.8110,47.95,61,1,2
29,18,4.6611,933.3277,46.73,62,2,2
29,19,4.5916,966.0185,46.73,62,1,2
29,20,5.4872,956.7531,47.56,63,2,2
30,5,7.2554,697.9009,45.03,52,2,2
30,6,6.8815,854.7139,42.75,53,2,2
30,7,7.3931,1373.4226,42.75,53,2,2
30,8,6.4549,1192.3448,42.10,53,2,2
30,9,6.3093,1217.9163,42.10,53,2,2
30,10,6.3623,1264.1727,42.10,53,2,2
30,11,6.1269,1256.8612,40.42,54,2,2
30,12,4.8240,814.1627,40.10,56,1,2
30,13,4.7662,844.6087,40.10,56,1,2
30,14,4.8241,546.0619,38.72,57,2,2
30,15,5.3416,712.0393,38.72,56,2,2
30,16,5.2765,1095.6506,43.44,58,2,2
30,17,4.4198,844.4882,43.91,59,1,2
30,18,5.1781,937.3857,42.41,60,2,2
30,19,5.1018,967.0829,42.41,60,2,2
30,20,5.8467,965.6872,43.44,61,2,2
